household_id_1,household_id_2,timestep,link_type
2,12,0,2
3,181,0,1
4,54,0,1
4,50,0,2
4,43,0,2
4,192,0,2
4,51,0,2
5,167,0,2
6,14,0,2
6,160,0,2
6,110,0,2
7,97,0,2
7,38,0,2
7,28,0,2
7,58,0,2
9,190,0,1
9,59,0,2
9,87,0,2
9,71,0,2
10,52,0,2
10,188,0,2
12,168,0,2
12,148,0,2
12,17,0,2
12,179,0,2
12,59,0,2
12,38,0,2
12,144,0,2
13,170,0,2
13,118,0,2
14,122,0,1
14,185,0,2
18,90,0,2
19,151,0,1
19,110,0,2
20,187,0,2
22,180,0,2
22,134,0,2
24,168,0,2
24,156,0,2
25,66,0,2
26,128,0,1
26,90,0,2
26,184,0,2
28,111,0,2
28,134,0,2
28,153,0,2
32,59,0,2
33,200,0,2
33,140,0,2
34,93,0,2
35,200,0,2
36,66,0,2
38,177,0,2
39,189,0,2
39,90,0,2
43,73,0,2
43,80,0,2
44,79,0,2
45,112,0,2
47,87,0,2
47,52,0,2
49,120,0,2
49,109,0,2
49,65,0,2
50,83,0,1
50,160,0,2
51,77,0,2
52,160,0,2
52,157,0,2
54,83,0,1
56,137,0,2
57,188,0,2
57,101,0,2
58,110,0,2
59,87,0,2
61,164,0,2
62,170,0,2
62,183,0,2
63,64,0,2
64,197,0,2
65,120,0,2
65,101,0,2
65,189,0,2
66,183,0,2
68,193,0,2
68,95,0,2
69,74,0,2
69,122,0,2
71,183,0,2
74,200,0,2
77,197,0,2
77,182,0,2
77,147,0,2
79,140,0,2
79,169,0,2
80,193,0,2
80,129,0,2
81,161,0,2
85,181,0,2
85,147,0,2
87,153,0,2
90,197,0,1
90,190,0,2
92,167,0,2
93,99,0,2
93,168,0,2
95,169,0,2
97,147,0,1
101,131,0,2
101,121,0,2
101,188,0,2
101,120,0,2
102,195,0,2
102,116,0,2
102,149,0,2
105,137,0,2
105,197,0,2
105,168,0,2
106,200,0,2
107,147,0,2
107,195,0,2
109,187,0,2
109,182,0,2
109,147,0,2
110,166,0,2
111,137,0,2
112,174,0,2
115,185,0,2
120,131,0,2
120,191,0,2
121,133,0,2
124,161,0,2
124,153,0,2
125,180,0,2
127,143,0,2
127,179,0,2
130,195,0,2
134,193,0,2
136,197,0,2
137,193,0,1
138,180,0,1
139,192,0,2
139,153,0,2
141,199,0,2
141,167,0,2
142,183,0,1
142,184,0,2
143,188,0,2
147,168,0,2
148,163,0,1
149,173,0,2
149,156,0,2
149,198,0,2
152,199,0,2
152,167,0,2
154,163,0,2
156,168,0,2
161,170,0,1
164,175,0,2
167,192,0,2
179,188,0,1
189,197,0,2
2,12,1,2
3,181,1,1
4,54,1,1
4,50,1,2
4,192,1,2
4,51,1,2
5,167,1,2
6,14,1,2
6,160,1,2
7,97,1,2
7,38,1,2
7,28,1,2
7,58,1,2
9,190,1,1
9,59,1,2
9,87,1,2
9,71,1,2
10,52,1,2
10,188,1,2
12,148,1,2
12,17,1,2
12,179,1,2
12,59,1,2
12,38,1,2
12,144,1,2
13,170,1,2
13,118,1,2
14,122,1,1
14,185,1,2
18,90,1,2
19,151,1,1
20,187,1,2
22,180,1,2
22,134,1,2
24,156,1,2
26,128,1,1
26,90,1,2
26,184,1,2
28,111,1,2
28,134,1,2
28,153,1,2
32,59,1,2
33,200,1,2
33,140,1,2
34,93,1,2
35,200,1,2
36,66,1,2
38,177,1,2
39,189,1,2
39,90,1,2
44,79,1,2
45,112,1,2
47,87,1,2
47,52,1,2
49,120,1,2
49,109,1,2
49,65,1,2
50,83,1,1
50,160,1,2
51,77,1,2
52,160,1,2
52,157,1,2
54,83,1,1
57,188,1,2
57,101,1,2
59,87,1,2
60,110,1,2
61,164,1,2
62,170,1,2
62,183,1,2
63,64,1,2
64,197,1,2
65,120,1,2
65,101,1,2
65,189,1,2
66,183,1,2
68,193,1,2
68,95,1,2
69,74,1,2
69,122,1,2
71,183,1,2
74,200,1,2
77,197,1,2
77,182,1,2
77,147,1,2
79,140,1,2
79,169,1,2
80,193,1,2
80,129,1,2
85,181,1,2
85,147,1,2
87,153,1,2
