household_id_1,household_id_2,timestep,link_type
2,106,0,2
2,190,0,2
3,171,0,2
4,168,0,2
5,157,0,1
5,185,0,2
8,165,0,1
8,191,0,2
8,128,0,2
8,73,0,2
9,181,0,2
9,115,0,2
10,149,0,2
10,76,0,2
11,139,0,2
13,86,0,2
15,196,0,2
16,92,0,2
17,190,0,2
17,107,0,2
17,132,0,2
17,172,0,2
17,170,0,2
18,199,0,2
18,82,0,2
20,24,0,2
23,50,0,2
24,187,0,2
24,110,0,2
25,184,0,2
25,52,0,2
25,188,0,2
25,86,0,2
25,108,0,2
25,171,0,2
25,106,0,2
30,100,0,2
31,66,0,2
32,36,0,2
32,163,0,2
32,140,0,2
32,155,0,2
32,185,0,2
33,110,0,2
33,43,0,2
33,127,0,2
33,91,0,2
34,184,0,2
34,148,0,2
34,199,0,2
34,173,0,2
34,197,0,2
35,36,0,1
35,105,0,2
35,100,0,2
35,155,0,2
36,152,0,1
36,139,0,2
36,102,0,2
37,142,0,2
37,158,0,2
41,85,0,1
41,191,0,2
41,142,0,2
41,168,0,2
43,158,0,2
44,165,0,2
44,132,0,2
44,107,0,2
44,130,0,2
44,170,0,2
44,167,0,2
45,102,0,2
45,188,0,2
45,163,0,2
45,86,0,2
46,115,0,2
46,184,0,2
46,85,0,2
47,113,0,2
48,136,0,2
48,76,0,2
49,182,0,2
50,91,0,2
51,107,0,2
51,160,0,2
52,119,0,2
52,171,0,2
53,115,0,2
53,171,0,2
53,102,0,2
56,131,0,2
56,155,0,2
56,151,0,2
56,185,0,2
56,181,0,2
56,88,0,2
56,172,0,2
58,171,0,2
58,118,0,2
59,110,0,2
59,159,0,2
59,152,0,2
60,188,0,2
60,103,0,2
61,157,0,2
62,78,0,2
63,173,0,2
63,92,0,2
64,125,0,1
66,88,0,2
66,71,0,2
66,107,0,2
68,86,0,2
69,88,0,2
70,108,0,2
71,163,0,2
71,155,0,2
75,143,0,2
76,136,0,2
77,92,0,2
78,88,0,2
78,87,0,2
78,108,0,2
78,167,0,2
78,82,0,2
78,106,0,2
79,99,0,2
79,136,0,2
79,140,0,2
80,149,0,2
82,99,0,2
82,107,0,2
82,166,0,2
82,196,0,2
83,105,0,2
83,168,0,2
84,159,0,2
85,100,0,2
85,184,0,2
85,200,0,2
87,158,0,2
88,107,0,2
89,190,0,2
90,139,0,2
90,132,0,2
90,191,0,2
91,168,0,2
91,121,0,2
91,123,0,2
96,115,0,1
96,132,0,2
97,159,0,2
98,123,0,2
100,173,0,2
100,121,0,2
100,124,0,2
101,184,0,2
101,167,0,2
103,113,0,2
103,152,0,2
103,199,0,2
103,185,0,2
105,108,0,2
105,174,0,2
105,136,0,2
105,149,0,2
106,199,0,2
106,107,0,2
106,187,0,2
106,124,0,2
110,123,0,2
110,185,0,2
110,183,0,2
115,200,0,2
116,139,0,2
118,153,0,2
118,142,0,2
119,160,0,2
120,149,0,2
122,173,0,2
122,197,0,2
123,160,0,2
124,199,0,2
125,200,0,2
125,186,0,2
126,137,0,2
127,139,0,2
128,158,0,2
128,168,0,2
128,142,0,2
129,157,0,2
130,199,0,2
131,139,0,2
134,142,0,1
136,178,0,2
136,149,0,2
136,155,0,2
137,152,0,2
140,197,0,2
142,168,0,2
142,158,0,2
143,168,0,2
145,149,0,2
147,181,0,2
150,188,0,2
152,172,0,2
152,163,0,2
153,154,0,2
155,185,0,2
155,181,0,2
158,166,0,2
159,177,0,2
161,190,0,2
163,195,0,2
163,184,0,2
163,197,0,2
163,188,0,2
165,181,0,2
167,168,0,2
171,184,0,2
174,199,0,2
178,191,0,1
178,188,0,2
183,195,0,2
183,190,0,2
187,200,0,2
190,194,0,2
2,107,1,2
2,106,1,2
2,44,1,2
2,160,1,2
3,119,1,1
3,171,1,2
5,75,1,2
5,24,1,2
5,180,1,2
5,153,1,2
7,158,1,2
8,151,1,2
8,168,1,2
8,123,1,2
8,159,1,2
8,73,1,2
9,181,1,2
9,157,1,2
9,200,1,2
10,149,1,2
10,76,1,2
13,86,1,2
13,163,1,2
14,188,1,2
15,196,1,2
15,86,1,2
16,92,1,2
17,167,1,2
17,155,1,2
17,107,1,2
17,132,1,2
17,172,1,2
17,98,1,2
17,66,1,2
17,63,1,2
17,170,1,2
18,142,1,2
20,185,1,2
20,24,1,2
24,187,1,2
24,41,1,2
24,110,1,2
24,200,1,2
25,86,1,2
25,106,1,2
25,185,1,2
27,200,1,2
31,66,1,2
31,102,1,2
32,36,1,2
32,86,1,2
32,140,1,2
33,127,1,2
34,148,1,2
34,173,1,2
35,152,1,1
35,197,1,2
35,100,1,2
35,155,1,2
36,152,1,1
36,147,1,2
36,155,1,2
36,56,1,2
36,102,1,2
37,143,1,2
39,185,1,2
40,178,1,2
41,187,1,2
41,191,1,2
41,121,1,2
41,89,1,2
43,149,1,2
43,185,1,2
44,107,1,2
44,191,1,2
44,178,1,2
44,130,1,2
45,188,1,2
45,197,1,2
45,86,1,2
46,47,1,2
46,184,1,2
47,61,1,2
47,115,1,2
47,113,1,2
48,136,1,2
48,76,1,2
51,107,1,2
51,160,1,2
52,119,1,2
53,115,1,2
53,171,1,2
53,102,1,2
55,120,1,2
56,181,1,2
56,88,1,2
56,190,1,2
56,107,1,2
57,115,1,1
58,171,1,2
59,159,1,2
59,152,1,2
60,188,1,2
61,76,1,2
61,180,1,2
62,178,1,2
62,86,1,2
63,92,1,2
66,181,1,2
66,88,1,2
66,170,1,2
66,71,1,2
66,124,1,2
67,168,1,2
70,121,1,2
70,150,1,2
71,155,1,2
75,110,1,2
75,143,1,2
76,136,1,2
76,93,1,2
77,92,1,2
79,99,1,2
79,136,1,2
79,181,1,2
80,126,1,2
81,110,1,2
82,99,1,2
82,87,1,2
83,168,1,2
84,183,1,2
84,159,1,2
86,140,1,2
86,157,1,2
88,153,1,2
90,132,1,2
90,191,1,2
92,131,1,2
95,120,1,2
96,115,1,1
96,155,1,2
96,132,1,2
97,159,1,2
98,160,1,2
98,123,1,2
100,173,1,2
100,121,1,2
100,120,1,2
100,124,1,2
100,187,1,2
101,184,1,2
101,167,1,2
102,147,1,2
102,136,1,2
103,172,1,1
103,113,1,2
103,152,1,2
103,135,1,2
106,187,1,2
106,188,1,2
107,190,1,2
107,123,1,2
109,178,1,2
110,185,1,2
112,155,1,2
115,135,1,2
119,160,1,2
120,149,1,2
122,197,1,2
123,160,1,2
125,186,1,2
126,127,1,2
126,137,1,2
127,156,1,2
127,181,1,2
128,158,1,2
128,168,1,2
128,142,1,2
129,157,1,2
133,183,1,2
136,178,1,2
136,149,1,2
137,153,1,2
137,171,1,2
139,149,1,2
