time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,107,2,0.0
1,1,repair,106,2,0.0
1,1,repair,44,2,0.0
1,1,repair,190,2,0.0
1,1,repair,160,2,0.0
1,1,repair,17,2,0.0
1,0,vacant,107,2,0.0
1,0,vacant,106,2,0.0
1,0,vacant,44,2,0.0
1,0,vacant,190,2,0.0
1,0,vacant,160,2,0.0
1,0,vacant,17,2,0.0
1,2,sell,107,2,0.0
1,2,sell,106,2,0.0
1,2,sell,44,2,0.0
1,2,sell,190,2,0.0
1,2,sell,160,2,0.0
1,2,sell,17,2,0.0
1,1,repair,119,3,0.0
1,1,repair,171,3,0.0
1,0,vacant,119,3,0.0
1,0,vacant,171,3,0.0
1,2,sell,119,3,0.0
1,2,sell,171,3,0.034667831831477605
1,1,repair,168,4,0.0
1,0,vacant,168,4,0.0
1,2,sell,168,4,0.0
1,0,vacant,157,5,0.0
1,0,vacant,75,5,0.0
1,0,vacant,24,5,0.0
1,0,vacant,180,5,0.0
1,0,vacant,153,5,0.0
1,0,vacant,185,5,0.0
1,2,sell,157,5,0.0
1,2,sell,75,5,0.0
1,2,sell,24,5,0.0
1,2,sell,180,5,0.0
1,2,sell,153,5,0.0
1,2,sell,185,5,0.0
1,1,repair,158,7,0.0
1,0,vacant,158,7,0.0
1,2,sell,158,7,0.0
1,1,repair,165,8,0.0
1,1,repair,110,8,0.12427030331486533
1,1,repair,151,8,0.0
1,1,repair,168,8,0.0
1,1,repair,191,8,0.0
1,1,repair,128,8,0.0
1,1,repair,181,8,0.0
1,1,repair,123,8,0.0
1,1,repair,33,8,0.0
1,1,repair,159,8,0.0
1,1,repair,73,8,0.0
1,1,repair,121,8,0.0
1,0,vacant,165,8,0.0
1,0,vacant,110,8,0.0
1,0,vacant,151,8,0.0
1,0,vacant,168,8,0.0
1,0,vacant,191,8,0.0
1,0,vacant,128,8,0.0
1,0,vacant,181,8,0.0
1,0,vacant,123,8,0.0
1,0,vacant,33,8,0.0
1,0,vacant,159,8,0.0
1,0,vacant,73,8,0.0
1,0,vacant,121,8,0.0
1,2,sell,165,8,0.0
1,2,sell,110,8,0.0
1,2,sell,151,8,0.0
1,2,sell,168,8,0.0
1,2,sell,191,8,0.0
1,2,sell,128,8,0.0
1,2,sell,181,8,0.0
1,2,sell,123,8,0.0
1,2,sell,33,8,0.0
1,2,sell,159,8,0.0
1,2,sell,73,8,0.0
1,2,sell,121,8,0.0
1,0,vacant,22,9,0.0
1,0,vacant,181,9,0.0
1,0,vacant,115,9,0.0
1,0,vacant,157,9,0.0
1,0,vacant,143,9,0.0
1,0,vacant,200,9,0.0
1,2,sell,22,9,0.0
1,2,sell,181,9,0.0
1,2,sell,115,9,0.0
1,2,sell,157,9,0.0
1,2,sell,143,9,0.0
1,2,sell,200,9,0.0
1,1,repair,149,10,0.0
1,1,repair,76,10,0.0
1,1,repair,180,10,0.0
1,0,vacant,149,10,0.0
1,0,vacant,76,10,0.0
1,0,vacant,180,10,0.0
1,2,sell,149,10,0.0
1,2,sell,76,10,0.0
1,2,sell,180,10,0.0
1,1,repair,139,11,0.0
1,0,vacant,139,11,0.0
1,2,sell,139,11,0.0
1,1,repair,86,13,0.0
1,1,repair,163,13,0.0
1,1,repair,140,13,0.0
1,0,vacant,86,13,0.0
1,0,vacant,163,13,0.0
1,0,vacant,140,13,0.0
1,2,sell,86,13,0.0
1,2,sell,163,13,0.0
1,2,sell,140,13,0.0
1,1,repair,188,14,0.0
1,0,vacant,188,14,0.0
1,2,sell,188,14,0.0
1,1,repair,163,15,0.0
1,1,repair,196,15,0.0
1,1,repair,86,15,0.0
1,0,vacant,163,15,0.0
1,0,vacant,196,15,0.0
1,0,vacant,86,15,0.0
1,2,sell,163,15,0.0
1,2,sell,196,15,0.0
1,2,sell,86,15,0.0
1,1,repair,92,16,0.0
1,0,vacant,92,16,0.0
1,2,sell,92,16,0.0
1,1,repair,161,17,0.0
1,1,repair,190,17,0.0
1,1,repair,167,17,0.0
1,1,repair,155,17,0.13385057186587346
1,1,repair,107,17,0.0
1,1,repair,132,17,0.0
1,1,repair,188,17,0.0
1,1,repair,172,17,0.0
1,1,repair,187,17,0.0
1,1,repair,98,17,0.0
1,1,repair,66,17,0.0
1,1,repair,78,17,0.0
1,1,repair,178,17,0.0
1,1,repair,63,17,0.0
1,1,repair,2,17,0.0
1,1,repair,170,17,0.0
1,0,vacant,161,17,0.0
1,0,vacant,190,17,0.0
1,0,vacant,167,17,0.0
1,0,vacant,155,17,0.0
1,0,vacant,107,17,0.0
1,0,vacant,132,17,0.0
1,0,vacant,188,17,0.0
1,0,vacant,172,17,0.0
1,0,vacant,187,17,0.0
1,0,vacant,98,17,0.0
1,0,vacant,66,17,0.0
1,0,vacant,78,17,0.12375285052317242
1,0,vacant,178,17,0.0
1,0,vacant,63,17,0.0
1,0,vacant,2,17,0.0
1,0,vacant,170,17,0.0
1,2,sell,161,17,0.0
1,2,sell,190,17,0.0
1,2,sell,167,17,0.0
1,2,sell,155,17,0.0
1,2,sell,107,17,0.0
1,2,sell,132,17,0.0
1,2,sell,188,17,0.0
1,2,sell,172,17,0.0
1,2,sell,187,17,0.0
1,2,sell,98,17,0.0
1,2,sell,66,17,0.0
1,2,sell,78,17,0.0
1,2,sell,178,17,0.0
1,2,sell,63,17,0.0
1,2,sell,2,17,0.0
1,2,sell,170,17,0.0
1,0,vacant,199,18,0.0
1,0,vacant,82,18,0.0
1,0,vacant,142,18,0.0
1,2,sell,199,18,0.0
1,2,sell,82,18,0.0
1,2,sell,142,18,0.0
1,1,repair,82,19,0.0
1,1,repair,197,19,0.0
1,0,vacant,82,19,0.0
1,0,vacant,197,19,0.0
1,2,sell,82,19,0.0
1,2,sell,197,19,0.0
1,1,repair,185,20,0.0
1,1,repair,24,20,0.0
1,1,repair,142,20,0.0
1,0,vacant,185,20,0.0
1,0,vacant,24,20,0.0
1,0,vacant,142,20,0.0
1,2,sell,185,20,0.0
1,2,sell,24,20,0.0
1,2,sell,142,20,0.0
1,1,repair,37,21,0.0
1,0,vacant,37,21,0.0
1,2,sell,37,21,0.0
1,1,repair,9,22,0.0
1,0,vacant,9,22,0.0
1,2,sell,9,22,0.0
1,1,repair,49,23,0.0
1,1,repair,50,23,0.0
1,2,sell,49,23,0.0
1,2,sell,50,23,0.0
1,1,repair,5,24,0.118827808195859
1,1,repair,187,24,0.0
1,1,repair,142,24,0.0
1,1,repair,41,24,0.0
1,1,repair,75,24,0.0
1,1,repair,20,24,0.0
1,1,repair,110,24,0.13329103527730576
1,1,repair,125,24,0.0
1,1,repair,200,24,0.0
1,0,vacant,5,24,0.0
1,0,vacant,187,24,0.0
1,0,vacant,142,24,0.0
1,0,vacant,41,24,0.0
1,0,vacant,75,24,0.0
1,0,vacant,20,24,0.0
1,0,vacant,110,24,0.0
1,0,vacant,125,24,0.0
1,0,vacant,200,24,0.0
1,2,sell,5,24,0.0
1,2,sell,187,24,0.0
1,2,sell,142,24,0.0
1,2,sell,41,24,0.0
1,2,sell,75,24,0.0
1,2,sell,20,24,0.0
1,2,sell,110,24,0.0
1,2,sell,125,24,0.0
1,2,sell,200,24,0.0
