household_id_1,household_id_2,timestep,link_type
1,170,0,2
2,16,0,2
4,59,0,2
5,142,0,1
5,88,0,1
5,195,0,2
5,149,0,2
7,172,0,2
7,163,0,2
7,30,0,2
7,125,0,2
10,136,0,2
10,20,0,2
10,39,0,2
10,163,0,2
12,96,0,2
14,163,0,2
15,103,0,2
15,148,0,2
15,74,0,2
16,127,0,2
16,112,0,2
16,179,0,2
16,76,0,2
17,141,0,2
17,180,0,2
17,120,0,2
17,61,0,2
17,148,0,2
17,103,0,2
17,156,0,2
17,80,0,2
18,168,0,2
18,20,0,2
18,96,0,2
19,59,0,2
19,152,0,2
20,163,0,2
20,68,0,2
20,199,0,2
20,161,0,2
20,189,0,2
21,120,0,2
22,48,0,2
23,187,0,2
23,194,0,2
23,170,0,2
23,182,0,2
26,103,0,2
26,74,0,2
26,120,0,2
27,144,0,2
28,200,0,2
29,48,0,2
30,32,0,1
30,113,0,2
31,103,0,1
32,137,0,2
32,69,0,2
32,179,0,2
32,113,0,2
32,40,0,2
32,146,0,2
32,194,0,2
34,155,0,2
36,148,0,2
36,136,0,2
36,130,0,2
38,142,0,2
39,154,0,2
39,143,0,2
42,156,0,2
43,191,0,2
46,111,0,2
46,72,0,2
47,191,0,2
47,183,0,2
48,114,0,1
48,140,0,1
48,136,0,2
48,137,0,2
48,145,0,2
48,70,0,2
49,200,0,2
49,152,0,2
50,148,0,2
53,142,0,2
55,200,0,2
55,76,0,2
55,71,0,2
55,179,0,2
55,166,0,2
56,67,0,2
56,64,0,2
56,69,0,2
56,134,0,2
57,142,0,2
59,92,0,1
59,131,0,2
59,120,0,2
60,129,0,2
60,68,0,2
60,133,0,2
60,148,0,2
60,63,0,2
60,139,0,2
61,109,0,2
63,133,0,2
64,199,0,2
64,92,0,2
65,149,0,1
65,142,0,2
67,150,0,2
67,88,0,2
68,198,0,2
68,120,0,2
68,169,0,2
68,194,0,2
68,148,0,2
70,114,0,2
70,191,0,2
70,120,0,2
71,123,0,2
71,72,0,2
72,148,0,1
72,166,0,2
72,102,0,2
74,136,0,2
74,200,0,2
76,108,0,1
76,200,0,2
77,170,0,2
80,120,0,2
82,194,0,2
83,155,0,2
83,156,0,2
87,148,0,2
87,103,0,2
87,163,0,2
87,95,0,2
88,149,0,1
88,195,0,2
88,170,0,2
89,194,0,2
89,163,0,2
90,200,0,2
92,138,0,2
92,192,0,2
92,131,0,2
93,96,0,2
93,170,0,2
95,117,0,2
95,170,0,2
95,150,0,2
96,199,0,1
96,173,0,2
96,170,0,2
100,150,0,1
101,188,0,2
101,187,0,2
101,194,0,2
101,120,0,2
101,123,0,2
102,148,0,2
103,120,0,2
103,167,0,2
103,143,0,2
103,183,0,2
103,152,0,2
103,106,0,2
104,144,0,2
105,144,0,2
107,137,0,2
108,168,0,1
108,161,0,2
109,141,0,2
109,149,0,2
111,176,0,2
112,192,0,2
114,136,0,2
118,152,0,2
120,194,0,2
120,188,0,2
121,155,0,2
125,136,0,2
127,200,0,2
128,187,0,2
128,160,0,2
128,193,0,2
129,139,0,2
130,193,0,2
130,194,0,2
130,198,0,2
130,187,0,2
135,144,0,1
135,188,0,2
136,147,0,2
136,198,0,2
137,160,0,2
138,153,0,1
138,193,0,2
138,142,0,2
138,194,0,2
138,160,0,2
139,200,0,2
142,171,0,2
142,192,0,2
143,146,0,2
143,163,0,2
143,183,0,2
144,156,0,2
144,181,0,2
148,156,0,2
148,152,0,2
148,162,0,2
149,195,0,2
149,176,0,2
152,198,0,2
153,193,0,2
156,188,0,2
156,159,0,2
161,200,0,1
163,190,0,1
163,172,0,2
165,172,0,2
168,200,0,2
170,199,0,2
185,194,0,2
187,188,0,2
187,193,0,2
194,198,0,2
1,170,1,2
2,16,1,2
4,59,1,2
5,142,1,1
5,88,1,1
5,195,1,2
5,149,1,2
7,172,1,2
7,163,1,2
7,30,1,2
7,125,1,2
10,39,1,2
10,163,1,2
12,96,1,2
14,163,1,2
15,148,1,2
15,74,1,2
16,127,1,2
16,112,1,2
16,179,1,2
16,76,1,2
17,141,1,2
17,180,1,2
17,120,1,2
17,61,1,2
17,148,1,2
17,156,1,2
17,80,1,2
18,168,1,2
18,96,1,2
19,59,1,2
19,152,1,2
21,120,1,2
22,48,1,2
23,187,1,2
23,194,1,2
23,170,1,2
23,182,1,2
26,74,1,2
26,120,1,2
27,144,1,2
28,200,1,2
29,48,1,2
30,32,1,1
30,113,1,2
31,103,1,1
32,137,1,2
32,69,1,2
32,179,1,2
32,113,1,2
32,40,1,2
32,194,1,2
34,155,1,2
36,148,1,2
36,130,1,2
