household_id_1,household_id_2,timestep,link_type
2,16,0,2
4,59,0,2
5,142,0,1
5,88,0,1
7,163,0,2
7,30,0,2
7,125,0,2
10,136,0,2
12,96,0,2
14,163,0,2
15,148,0,2
16,112,0,2
16,76,0,2
17,141,0,2
17,156,0,2
17,80,0,2
18,20,0,2
19,152,0,2
20,68,0,2
20,199,0,2
20,161,0,2
20,189,0,2
22,48,0,2
23,194,0,2
23,170,0,2
23,182,0,2
26,74,0,2
28,200,0,2
34,155,0,2
36,148,0,2
36,136,0,2
38,142,0,2
39,143,0,2
46,111,0,2
46,72,0,2
47,191,0,2
48,114,0,1
48,140,0,1
48,137,0,2
48,145,0,2
49,200,0,2
49,152,0,2
53,142,0,2
55,200,0,2
55,76,0,2
55,71,0,2
55,179,0,2
56,67,0,2
57,142,0,2
59,92,0,1
60,68,0,2
60,133,0,2
63,133,0,2
64,199,0,2
64,92,0,2
65,149,0,1
67,150,0,2
68,120,0,2
68,169,0,2
68,148,0,2
70,114,0,2
70,120,0,2
71,123,0,2
72,148,0,1
76,108,0,1
83,156,0,2
87,103,0,2
87,163,0,2
87,95,0,2
88,149,0,1
89,163,0,2
90,200,0,2
92,192,0,2
92,131,0,2
93,96,0,2
95,117,0,2
95,170,0,2
95,150,0,2
96,173,0,2
96,170,0,2
100,150,0,1
101,188,0,2
101,194,0,2
102,148,0,2
103,120,0,2
103,152,0,2
107,137,0,2
108,168,0,1
114,136,0,2
128,187,0,2
128,160,0,2
129,139,0,2
130,198,0,2
130,187,0,2
135,144,0,1
136,147,0,2
136,198,0,2
138,153,0,1
138,193,0,2
138,194,0,2
142,192,0,2
149,176,0,2
152,198,0,2
153,193,0,2
161,200,0,1
163,190,0,1
163,172,0,2
165,172,0,2
168,200,0,2
185,194,0,2
187,188,0,2
194,198,0,2
2,16,1,2
4,59,1,2
5,142,1,1
5,88,1,1
7,163,1,2
7,30,1,2
7,125,1,2
12,96,1,2
14,163,1,2
15,148,1,2
16,112,1,2
16,76,1,2
17,141,1,2
17,156,1,2
17,80,1,2
19,152,1,2
22,48,1,2
23,194,1,2
23,170,1,2
23,182,1,2
26,74,1,2
28,200,1,2
34,155,1,2
36,148,1,2
38,142,1,2
46,111,1,2
46,72,1,2
47,191,1,2
48,114,1,1
48,140,1,1
48,137,1,2
48,145,1,2
49,200,1,2
49,152,1,2
53,142,1,2
55,200,1,2
55,76,1,2
55,71,1,2
55,179,1,2
56,67,1,2
57,142,1,2
59,92,1,1
60,68,1,2
60,133,1,2
63,133,1,2
64,199,1,2
64,92,1,2
65,149,1,1
67,150,1,2
68,120,1,2
68,169,1,2
68,148,1,2
70,114,1,2
70,120,1,2
71,123,1,2
72,148,1,1
76,108,1,1
83,156,1,2
87,163,1,2
87,95,1,2
88,149,1,1
89,163,1,2
90,200,1,2
92,192,1,2
92,131,1,2
93,96,1,2
95,117,1,2
95,170,1,2
95,150,1,2
96,170,1,2
100,150,1,1
101,188,1,2
101,194,1,2
102,148,1,2
107,137,1,2
108,168,1,1
128,187,1,2
128,160,1,2
129,139,1,2
130,198,1,2
130,187,1,2
135,144,1,1
138,153,1,1
138,193,1,2
138,194,1,2
142,192,1,2
149,176,1,2
152,198,1,2
153,193,1,2
161,200,1,1
163,190,1,1
163,172,1,2
165,172,1,2
168,200,1,2
185,194,1,2
187,188,1,2
194,198,1,2
2,16,2,2
4,59,2,2
5,142,2,1
5,88,2,1
7,163,2,2
7,30,2,2
7,125,2,2
12,96,2,2
14,163,2,2
15,148,2,2
16,112,2,2
16,76,2,2
17,141,2,2
17,156,2,2
17,80,2,2
19,152,2,2
22,48,2,2
23,194,2,2
23,170,2,2
23,182,2,2
26,74,2,2
28,200,2,2
34,155,2,2
36,148,2,2
38,142,2,2
46,111,2,2
46,72,2,2
47,191,2,2
48,114,2,1
48,140,2,1
48,137,2,2
48,145,2,2
49,200,2,2
49,152,2,2
53,142,2,2
55,200,2,2
55,76,2,2
55,71,2,2
55,179,2,2
57,142,2,2
59,92,2,1
60,68,2,2
60,133,2,2
63,133,2,2
64,199,2,2
64,92,2,2
65,149,2,1
67,150,2,2
68,120,2,2
68,169,2,2
68,148,2,2
70,114,2,2
70,120,2,2
71,123,2,2
72,148,2,1
76,108,2,1
83,156,2,2
87,163,2,2
87,95,2,2
88,149,2,1
89,163,2,2
90,200,2,2
92,192,2,2
92,131,2,2
93,96,2,2
95,117,2,2
95,170,2,2
95,150,2,2
96,170,2,2
100,150,2,1
101,188,2,2
101,194,2,2
102,148,2,2
107,137,2,2
