household_id_1,household_id_2,timestep,link_type
1,147,0,1
1,198,0,2
1,176,0,2
2,58,0,2
4,172,0,1
4,107,0,2
4,124,0,2
4,30,0,2
5,92,0,1
5,107,0,2
5,53,0,2
5,131,0,2
5,159,0,2
6,172,0,2
6,200,0,2
7,172,0,2
8,185,0,2
9,77,0,2
9,133,0,2
9,127,0,2
9,79,0,2
9,37,0,2
9,174,0,2
9,176,0,2
10,107,0,2
10,66,0,2
10,91,0,2
10,56,0,2
11,150,0,1
11,136,0,2
11,147,0,2
11,144,0,2
11,200,0,2
11,158,0,2
11,107,0,2
11,53,0,2
11,159,0,2
13,184,0,1
13,195,0,2
13,31,0,2
13,18,0,2
15,144,0,2
16,26,0,2
16,129,0,2
16,23,0,2
16,64,0,2
16,41,0,2
16,186,0,2
16,80,0,2
17,90,0,1
17,19,0,2
17,50,0,2
17,75,0,2
17,83,0,2
17,104,0,2
18,167,0,2
18,116,0,2
18,54,0,2
18,80,0,2
18,31,0,2
18,55,0,2
18,195,0,2
18,176,0,2
18,37,0,2
19,129,0,2
19,198,0,2
19,66,0,2
19,108,0,2
19,83,0,2
20,162,0,1
20,44,0,1
20,110,0,1
20,200,0,2
20,135,0,2
20,49,0,2
20,169,0,2
20,102,0,2
20,130,0,2
20,199,0,2
21,84,0,2
22,27,0,2
22,84,0,2
23,129,0,2
23,196,0,2
24,46,0,1
24,194,0,1
24,134,0,2
25,44,0,1
25,135,0,2
25,110,0,2
25,196,0,2
25,130,0,2
25,59,0,2
25,82,0,2
26,53,0,2
26,186,0,2
26,70,0,2
26,169,0,2
27,143,0,1
27,159,0,2
27,116,0,2
27,198,0,2
27,93,0,2
27,96,0,2
27,87,0,2
27,178,0,2
27,123,0,2
27,134,0,2
27,194,0,2
27,158,0,2
28,97,0,2
28,86,0,2
28,164,0,2
28,187,0,2
28,81,0,2
28,129,0,2
28,195,0,2
29,199,0,2
29,91,0,2
29,172,0,2
30,151,0,1
30,113,0,2
30,103,0,2
30,134,0,2
30,189,0,2
30,53,0,2
31,186,0,2
31,131,0,2
31,96,0,2
32,196,0,2
33,195,0,2
33,187,0,2
35,194,0,2
35,79,0,2
35,93,0,2
35,37,0,2
35,170,0,2
36,197,0,1
36,134,0,2
36,132,0,2
36,192,0,2
36,156,0,2
36,106,0,2
36,50,0,2
37,97,0,2
37,176,0,2
37,128,0,2
37,195,0,2
37,84,0,2
37,187,0,2
38,187,0,2
38,188,0,2
39,108,0,2
40,178,0,2
42,194,0,2
43,176,0,2
43,128,0,2
44,102,0,1
44,176,0,2
44,84,0,2
44,195,0,2
45,107,0,1
45,136,0,2
45,77,0,2
45,69,0,2
45,172,0,2
46,136,0,2
46,194,0,2
46,123,0,2
46,77,0,2
46,121,0,2
46,53,0,2
46,85,0,2
46,185,0,2
46,105,0,2
46,69,0,2
47,199,0,2
48,184,0,2
48,77,0,2
48,195,0,2
48,196,0,2
49,162,0,2
49,119,0,2
49,200,0,2
49,102,0,2
49,135,0,2
49,199,0,2
50,192,0,2
50,108,0,2
50,156,0,2
50,153,0,2
50,74,0,2
51,195,0,2
53,121,0,2
53,175,0,2
53,87,0,2
53,107,0,2
53,159,0,2
53,158,0,2
53,124,0,2
53,91,0,2
53,147,0,2
54,196,0,2
55,195,0,2
56,129,0,2
56,167,0,2
56,59,0,2
56,86,0,2
56,75,0,2
56,119,0,2
57,169,0,2
57,83,0,2
58,155,0,2
58,168,0,2
58,198,0,2
58,186,0,2
59,182,0,2
59,117,0,2
59,199,0,2
59,77,0,2
59,69,0,2
60,124,0,2
62,78,0,2
62,88,0,2
62,70,0,2
62,71,0,2
62,161,0,2
63,81,0,1
63,125,0,2
63,189,0,2
63,188,0,2
64,129,0,1
66,96,0,2
66,79,0,2
66,158,0,2
66,178,0,2
66,147,0,2
66,129,0,2
66,107,0,2
66,130,0,2
67,77,0,2
68,199,0,2
69,136,0,2
69,113,0,2
69,84,0,2
69,122,0,2
69,97,0,2
69,83,0,2
69,156,0,2
69,77,0,2
69,191,0,2
70,134,0,2
70,149,0,2
70,175,0,2
71,188,0,2
71,187,0,2
71,78,0,2
71,196,0,2
71,161,0,2
72,90,0,2
72,172,0,2
73,200,0,2
74,194,0,2
75,86,0,2
75,186,0,2
76,170,0,2
77,87,0,2
77,156,0,2
77,199,0,2
77,191,0,2
78,187,0,2
79,128,0,2
80,129,0,2
80,187,0,2
80,176,0,2
81,91,0,2
81,164,0,2
82,158,0,2
82,116,0,2
82,143,0,2
82,96,0,2
83,84,0,2
83,129,0,2
83,91,0,2
84,197,0,2
84,195,0,2
84,171,0,2
84,186,0,2
84,176,0,2
84,187,0,2
85,136,0,2
85,161,0,2
85,97,0,2
85,191,0,2
86,147,0,2
87,173,0,2
87,159,0,2
87,127,0,2
87,124,0,2
87,158,0,2
88,188,0,2
90,172,0,2
90,104,0,2
90,101,0,2
90,153,0,2
91,121,0,2
91,113,0,2
91,125,0,2
92,144,0,2
93,178,0,2
93,172,0,2
94,162,0,2
96,143,0,2
96,158,0,2
97,197,0,2
97,119,0,2
97,156,0,2
100,199,0,2
101,176,0,2
101,169,0,2
102,153,0,2
102,117,0,2
102,194,0,2
102,198,0,2
102,110,0,2
102,130,0,2
102,156,0,2
102,133,0,2
103,199,0,2
103,182,0,2
103,149,0,2
103,200,0,2
103,123,0,2
103,153,0,2
105,194,0,2
105,185,0,2
105,108,0,2
106,192,0,2
107,172,0,2
107,108,0,2
107,115,0,2
108,109,0,2
109,184,0,2
109,196,0,2
110,162,0,2
111,188,0,2
111,187,0,2
111,197,0,2
112,184,0,2
113,189,0,2
115,172,0,1
115,181,0,1
115,199,0,2
115,141,0,2
115,200,0,2
116,158,0,1
116,179,0,2
116,159,0,2
116,144,0,2
116,167,0,2
119,140,0,2
119,172,0,2
119,198,0,2
119,200,0,2
121,185,0,2
121,147,0,2
121,123,0,2
123,173,0,2
123,182,0,2
123,151,0,2
123,189,0,2
124,140,0,2
124,147,0,2
124,131,0,2
127,128,0,2
128,167,0,2
128,176,0,2
129,142,0,1
129,136,0,2
131,195,0,1
131,147,0,2
131,184,0,2
132,197,0,2
132,153,0,2
132,156,0,2
134,178,0,2
134,141,0,2
135,200,0,2
135,199,0,2
136,154,0,2
138,189,0,2
139,184,0,2
139,196,0,2
140,172,0,2
141,194,0,1
141,200,0,2
141,199,0,2
143,169,0,2
143,179,0,2
143,200,0,2
143,199,0,2
143,189,0,2
143,159,0,2
144,150,0,2
145,199,0,2
147,198,0,2
147,158,0,2
147,166,0,2
148,172,0,2
149,170,0,2
149,174,0,2
149,199,0,2
150,200,0,1
151,189,0,2
151,182,0,2
151,198,0,2
153,192,0,2
153,170,0,2
153,172,0,2
153,197,0,2
158,178,0,2
159,178,0,1
160,194,0,2
160,198,0,2
161,191,0,2
161,188,0,2
163,195,0,2
163,196,0,2
164,197,0,1
164,176,0,2
169,191,0,2
169,175,0,2
169,195,0,2
170,174,0,1
170,191,0,2
170,185,0,2
170,200,0,2
172,200,0,2
172,181,0,2
176,197,0,2
177,199,0,2
178,198,0,2
178,185,0,2
178,179,0,2
178,194,0,2
179,188,0,2
180,194,0,2
180,189,0,2
182,189,0,2
184,196,0,1
184,195,0,2
185,194,0,2
187,188,0,2
188,189,0,2
199,200,0,2
1,147,1,1
1,198,1,2
1,176,1,2
2,58,1,2
4,172,1,1
4,124,1,2
4,30,1,2
5,92,1,1
5,53,1,2
5,131,1,2
5,159,1,2
6,172,1,2
6,200,1,2
7,172,1,2
8,185,1,2
9,77,1,2
9,133,1,2
9,127,1,2
9,79,1,2
9,37,1,2
9,174,1,2
9,176,1,2
10,66,1,2
10,91,1,2
10,56,1,2
11,150,1,1
13,184,1,1
13,195,1,2
13,31,1,2
15,144,1,2
16,26,1,2
16,129,1,2
16,23,1,2
16,64,1,2
16,41,1,2
16,186,1,2
16,80,1,2
17,90,1,1
17,19,1,2
17,50,1,2
17,75,1,2
17,83,1,2
17,104,1,2
19,129,1,2
19,198,1,2
19,66,1,2
19,108,1,2
19,83,1,2
20,162,1,1
20,44,1,1
20,110,1,1
20,200,1,2
20,135,1,2
20,49,1,2
20,169,1,2
20,102,1,2
20,130,1,2
20,199,1,2
21,84,1,2
22,27,1,2
22,84,1,2
23,129,1,2
23,196,1,2
24,46,1,1
24,194,1,1
24,134,1,2
25,44,1,1
25,135,1,2
25,110,1,2
25,196,1,2
25,130,1,2
25,59,1,2
25,82,1,2
26,53,1,2
26,186,1,2
26,70,1,2
26,169,1,2
27,143,1,1
27,159,1,2
27,116,1,2
27,198,1,2
27,93,1,2
27,96,1,2
27,87,1,2
27,178,1,2
27,123,1,2
27,134,1,2
27,194,1,2
27,158,1,2
28,97,1,2
28,86,1,2
28,164,1,2
28,187,1,2
28,81,1,2
28,129,1,2
28,195,1,2
29,199,1,2
29,91,1,2
29,172,1,2
30,151,1,1
30,113,1,2
30,103,1,2
30,134,1,2
30,189,1,2
30,53,1,2
31,186,1,2
31,131,1,2
31,96,1,2
32,196,1,2
33,195,1,2
33,187,1,2
35,194,1,2
35,79,1,2
35,93,1,2
35,37,1,2
35,170,1,2
36,197,1,1
36,134,1,2
36,132,1,2
36,192,1,2
36,156,1,2
36,106,1,2
36,50,1,2
37,97,1,2
37,176,1,2
37,128,1,2
37,195,1,2
37,84,1,2
37,187,1,2
38,187,1,2
38,188,1,2
39,108,1,2
40,178,1,2
42,194,1,2
43,176,1,2
43,128,1,2
44,102,1,1
44,176,1,2
44,84,1,2
44,195,1,2
45,107,1,1
45,136,1,2
45,77,1,2
45,69,1,2
45,172,1,2
46,136,1,2
46,194,1,2
46,123,1,2
46,77,1,2
46,121,1,2
46,53,1,2
46,85,1,2
46,185,1,2
46,105,1,2
46,69,1,2
47,199,1,2
48,184,1,2
48,77,1,2
48,195,1,2
48,196,1,2
49,162,1,2
49,119,1,2
49,200,1,2
49,102,1,2
49,135,1,2
49,199,1,2
50,192,1,2
50,108,1,2
50,156,1,2
50,153,1,2
50,74,1,2
51,195,1,2
53,121,1,2
53,175,1,2
53,87,1,2
53,159,1,2
53,158,1,2
53,124,1,2
53,91,1,2
53,147,1,2
54,196,1,2
55,195,1,2
56,129,1,2
56,167,1,2
56,59,1,2
56,86,1,2
56,75,1,2
56,119,1,2
57,169,1,2
57,83,1,2
58,155,1,2
58,168,1,2
58,198,1,2
58,186,1,2
59,182,1,2
59,117,1,2
59,199,1,2
59,77,1,2
59,69,1,2
60,124,1,2
62,78,1,2
62,88,1,2
62,70,1,2
62,71,1,2
62,161,1,2
63,81,1,1
63,125,1,2
63,189,1,2
63,188,1,2
64,129,1,1
66,96,1,2
66,79,1,2
66,158,1,2
66,178,1,2
66,147,1,2
66,129,1,2
66,130,1,2
67,77,1,2
68,199,1,2
69,136,1,2
69,113,1,2
69,84,1,2
69,122,1,2
69,97,1,2
69,83,1,2
69,156,1,2
69,77,1,2
69,191,1,2
70,134,1,2
70,149,1,2
70,175,1,2
71,188,1,2
71,187,1,2
71,78,1,2
71,196,1,2
71,161,1,2
72,90,1,2
72,172,1,2
73,200,1,2
74,194,1,2
75,86,1,2
75,186,1,2
76,170,1,2
77,87,1,2
77,156,1,2
77,199,1,2
77,191,1,2
78,187,1,2
79,128,1,2
80,129,1,2
80,187,1,2
80,176,1,2
81,91,1,2
81,164,1,2
82,158,1,2
82,116,1,2
82,143,1,2
82,96,1,2
83,84,1,2
83,129,1,2
83,91,1,2
84,197,1,2
84,195,1,2
84,171,1,2
84,186,1,2
84,176,1,2
84,187,1,2
85,136,1,2
85,161,1,2
85,97,1,2
85,191,1,2
86,147,1,2
87,173,1,2
87,159,1,2
87,127,1,2
87,124,1,2
87,158,1,2
88,188,1,2
90,172,1,2
90,104,1,2
90,101,1,2
90,153,1,2
91,121,1,2
91,113,1,2
91,125,1,2
92,144,1,2
93,178,1,2
93,172,1,2
94,162,1,2
96,143,1,2
96,158,1,2
97,197,1,2
97,119,1,2
97,156,1,2
100,199,1,2
101,176,1,2
101,169,1,2
102,153,1,2
102,117,1,2
102,194,1,2
102,198,1,2
102,110,1,2
102,130,1,2
102,156,1,2
102,133,1,2
103,199,1,2
103,182,1,2
103,149,1,2
103,200,1,2
103,123,1,2
103,153,1,2
105,194,1,2
105,185,1,2
105,108,1,2
106,192,1,2
108,109,1,2
109,184,1,2
109,196,1,2
110,162,1,2
111,188,1,2
111,187,1,2
111,197,1,2
112,184,1,2
113,189,1,2
115,172,1,1
115,181,1,1
115,199,1,2
115,141,1,2
115,200,1,2
116,158,1,1
116,179,1,2
116,159,1,2
116,144,1,2
116,167,1,2
119,140,1,2
119,172,1,2
119,198,1,2
119,200,1,2
121,185,1,2
121,147,1,2
121,123,1,2
123,173,1,2
123,182,1,2
123,151,1,2
123,189,1,2
124,140,1,2
124,147,1,2
124,131,1,2
127,128,1,2
128,167,1,2
128,176,1,2
129,142,1,1
129,136,1,2
131,195,1,1
131,147,1,2
131,184,1,2
132,197,1,2
132,153,1,2
132,156,1,2
134,178,1,2
134,141,1,2
135,200,1,2
135,199,1,2
136,154,1,2
138,189,1,2
140,172,1,2
141,194,1,1
141,200,1,2
141,199,1,2
143,169,1,2
143,179,1,2
143,200,1,2
143,199,1,2
143,189,1,2
143,159,1,2
144,150,1,2
145,199,1,2
147,198,1,2
147,158,1,2
147,166,1,2
148,172,1,2
149,170,1,2
149,174,1,2
149,199,1,2
150,200,1,1
151,189,1,2
151,182,1,2
151,198,1,2
153,192,1,2
153,170,1,2
153,172,1,2
153,197,1,2
158,178,1,2
159,178,1,1
160,194,1,2
160,198,1,2
161,191,1,2
161,188,1,2
163,195,1,2
163,196,1,2
164,197,1,1
164,176,1,2
169,191,1,2
169,175,1,2
169,195,1,2
170,174,1,1
170,191,1,2
170,185,1,2
170,200,1,2
172,200,1,2
172,181,1,2
176,197,1,2
177,199,1,2
178,198,1,2
178,185,1,2
178,179,1,2
178,194,1,2
179,188,1,2
180,194,1,2
180,189,1,2
182,189,1,2
184,196,1,1
184,195,1,2
185,194,1,2
187,188,1,2
188,189,1,2
199,200,1,2
1,147,2,1
1,198,2,2
1,176,2,2
2,58,2,2
4,172,2,1
4,124,2,2
4,30,2,2
5,92,2,1
5,53,2,2
5,131,2,2
5,159,2,2
6,172,2,2
6,200,2,2
7,172,2,2
8,185,2,2
9,77,2,2
9,133,2,2
9,127,2,2
9,79,2,2
9,37,2,2
9,174,2,2
9,176,2,2
10,66,2,2
10,91,2,2
10,56,2,2
11,150,2,1
13,184,2,1
13,195,2,2
13,31,2,2
15,144,2,2
16,26,2,2
16,129,2,2
16,23,2,2
16,64,2,2
16,41,2,2
16,186,2,2
16,80,2,2
17,90,2,1
17,19,2,2
17,50,2,2
17,75,2,2
17,83,2,2
17,104,2,2
19,129,2,2
19,198,2,2
19,66,2,2
19,108,2,2
19,83,2,2
20,162,2,1
20,44,2,1
20,110,2,1
20,200,2,2
20,135,2,2
20,49,2,2
20,169,2,2
20,102,2,2
20,130,2,2
20,199,2,2
21,84,2,2
22,27,2,2
22,84,2,2
23,129,2,2
23,196,2,2
24,46,2,1
24,194,2,1
24,134,2,2
25,44,2,1
25,135,2,2
25,110,2,2
25,196,2,2
25,130,2,2
25,59,2,2
25,82,2,2
26,53,2,2
26,186,2,2
26,70,2,2
26,169,2,2
27,143,2,1
27,159,2,2
27,116,2,2
27,198,2,2
27,93,2,2
27,96,2,2
27,87,2,2
27,178,2,2
27,123,2,2
27,134,2,2
27,194,2,2
27,158,2,2
28,97,2,2
28,86,2,2
28,164,2,2
28,187,2,2
28,81,2,2
28,129,2,2
28,195,2,2
29,199,2,2
29,91,2,2
29,172,2,2
30,151,2,1
30,113,2,2
30,103,2,2
30,134,2,2
30,189,2,2
30,53,2,2
31,186,2,2
31,131,2,2
31,96,2,2
32,196,2,2
33,195,2,2
33,187,2,2
35,194,2,2
35,79,2,2
35,93,2,2
35,37,2,2
35,170,2,2
36,197,2,1
36,134,2,2
36,132,2,2
36,192,2,2
36,156,2,2
36,106,2,2
36,50,2,2
37,97,2,2
37,176,2,2
37,128,2,2
37,195,2,2
37,84,2,2
37,187,2,2
38,187,2,2
38,188,2,2
39,108,2,2
40,178,2,2
42,194,2,2
43,176,2,2
43,128,2,2
44,102,2,1
44,176,2,2
44,84,2,2
44,195,2,2
45,107,2,1
45,77,2,2
45,69,2,2
45,172,2,2
46,194,2,2
46,123,2,2
46,77,2,2
46,121,2,2
46,53,2,2
46,85,2,2
46,185,2,2
46,105,2,2
46,69,2,2
47,199,2,2
48,184,2,2
48,77,2,2
48,195,2,2
48,196,2,2
49,162,2,2
49,119,2,2
49,200,2,2
49,102,2,2
49,135,2,2
49,199,2,2
50,192,2,2
50,108,2,2
50,156,2,2
50,153,2,2
50,74,2,2
51,195,2,2
53,121,2,2
53,175,2,2
53,87,2,2
53,159,2,2
53,158,2,2
53,124,2,2
53,91,2,2
53,147,2,2
54,196,2,2
55,195,2,2
56,129,2,2
56,167,2,2
56,59,2,2
56,86,2,2
56,75,2,2
56,119,2,2
57,169,2,2
57,83,2,2
58,155,2,2
58,168,2,2
58,198,2,2
58,186,2,2
59,182,2,2
59,117,2,2
59,199,2,2
59,77,2,2
59,69,2,2
60,124,2,2
62,78,2,2
62,88,2,2
62,70,2,2
62,71,2,2
62,161,2,2
63,81,2,1
63,125,2,2
63,189,2,2
63,188,2,2
64,129,2,1
66,96,2,2
66,79,2,2
66,158,2,2
66,178,2,2
66,147,2,2
66,129,2,2
66,130,2,2
67,77,2,2
68,199,2,2
69,113,2,2
69,84,2,2
69,122,2,2
69,97,2,2
69,83,2,2
69,156,2,2
69,77,2,2
69,191,2,2
70,134,2,2
70,149,2,2
70,175,2,2
71,188,2,2
71,187,2,2
71,78,2,2
71,196,2,2
71,161,2,2
72,90,2,2
72,172,2,2
73,200,2,2
74,194,2,2
75,86,2,2
75,186,2,2
76,170,2,2
77,87,2,2
77,156,2,2
77,199,2,2
77,191,2,2
78,187,2,2
79,128,2,2
80,129,2,2
80,187,2,2
80,176,2,2
81,91,2,2
81,164,2,2
82,158,2,2
82,116,2,2
82,143,2,2
82,96,2,2
83,84,2,2
83,129,2,2
83,91,2,2
84,197,2,2
84,195,2,2
84,171,2,2
84,186,2,2
84,176,2,2
84,187,2,2
85,161,2,2
85,97,2,2
85,191,2,2
86,147,2,2
87,173,2,2
87,159,2,2
87,127,2,2
87,124,2,2
87,158,2,2
88,188,2,2
90,172,2,2
90,104,2,2
90,101,2,2
90,153,2,2
91,121,2,2
91,113,2,2
91,125,2,2
92,144,2,2
93,178,2,2
93,172,2,2
94,162,2,2
96,143,2,2
96,158,2,2
97,197,2,2
97,119,2,2
97,156,2,2
100,199,2,2
101,176,2,2
101,169,2,2
102,153,2,2
102,117,2,2
102,194,2,2
102,198,2,2
102,110,2,2
102,130,2,2
102,156,2,2
102,133,2,2
103,199,2,2
103,182,2,2
103,149,2,2
103,200,2,2
103,123,2,2
103,153,2,2
105,194,2,2
105,185,2,2
105,108,2,2
106,192,2,2
108,109,2,2
109,184,2,2
109,196,2,2
110,162,2,2
111,188,2,2
111,187,2,2
111,197,2,2
112,184,2,2
113,189,2,2
115,172,2,1
115,181,2,1
115,199,2,2
115,141,2,2
115,200,2,2
116,158,2,1
116,179,2,2
116,159,2,2
116,144,2,2
116,167,2,2
119,140,2,2
119,172,2,2
119,198,2,2
119,200,2,2
121,185,2,2
121,147,2,2
121,123,2,2
123,173,2,2
123,182,2,2
123,151,2,2
123,189,2,2
124,140,2,2
124,147,2,2
124,131,2,2
127,128,2,2
128,167,2,2
128,176,2,2
129,142,2,1
131,195,2,1
131,147,2,2
131,184,2,2
132,197,2,2
132,153,2,2
132,156,2,2
134,178,2,2
134,141,2,2
135,200,2,2
135,199,2,2
138,189,2,2
140,172,2,2
141,194,2,1
141,200,2,2
141,199,2,2
143,169,2,2
143,179,2,2
143,200,2,2
143,199,2,2
143,189,2,2
143,159,2,2
144,150,2,2
145,199,2,2
147,198,2,2
147,158,2,2
147,166,2,2
148,172,2,2
149,170,2,2
149,174,2,2
149,199,2,2
150,200,2,1
151,189,2,2
151,182,2,2
151,198,2,2
153,192,2,2
153,170,2,2
153,172,2,2
153,197,2,2
158,178,2,2
159,178,2,1
160,194,2,2
160,198,2,2
161,191,2,2
161,188,2,2
163,195,2,2
163,196,2,2
164,197,2,1
164,176,2,2
169,191,2,2
169,175,2,2
169,195,2,2
170,174,2,1
170,191,2,2
170,185,2,2
170,200,2,2
172,200,2,2
172,181,2,2
176,197,2,2
177,199,2,2
178,198,2,2
178,185,2,2
178,179,2,2
178,194,2,2
179,188,2,2
180,194,2,2
180,189,2,2
182,189,2,2
184,196,2,1
184,195,2,2
185,194,2,2
187,188,2,2
188,189,2,2
199,200,2,2
1,147,3,1
1,198,3,2
1,176,3,2
2,58,3,2
4,172,3,1
4,124,3,2
4,30,3,2
5,92,3,1
5,53,3,2
5,131,3,2
5,159,3,2
6,172,3,2
6,200,3,2
7,172,3,2
8,185,3,2
9,77,3,2
9,133,3,2
9,127,3,2
9,79,3,2
9,37,3,2
9,174,3,2
9,176,3,2
10,66,3,2
10,91,3,2
10,56,3,2
11,150,3,1
13,184,3,1
13,195,3,2
13,31,3,2
15,144,3,2
16,26,3,2
16,129,3,2
16,23,3,2
16,64,3,2
16,41,3,2
16,186,3,2
16,80,3,2
17,90,3,1
17,19,3,2
17,50,3,2
17,75,3,2
17,83,3,2
17,104,3,2
19,129,3,2
19,198,3,2
19,66,3,2
19,108,3,2
19,83,3,2
20,162,3,1
20,44,3,1
20,110,3,1
20,200,3,2
20,135,3,2
20,49,3,2
20,169,3,2
20,102,3,2
20,130,3,2
20,199,3,2
21,84,3,2
22,27,3,2
22,84,3,2
23,129,3,2
23,196,3,2
24,46,3,1
24,194,3,1
24,134,3,2
25,44,3,1
25,135,3,2
25,110,3,2
25,196,3,2
25,130,3,2
25,59,3,2
25,82,3,2
26,53,3,2
26,186,3,2
26,70,3,2
26,169,3,2
27,143,3,1
27,159,3,2
27,116,3,2
27,198,3,2
27,93,3,2
27,96,3,2
27,87,3,2
27,178,3,2
27,123,3,2
27,134,3,2
27,194,3,2
27,158,3,2
28,97,3,2
28,86,3,2
28,164,3,2
28,187,3,2
28,81,3,2
28,129,3,2
28,195,3,2
29,199,3,2
29,91,3,2
29,172,3,2
30,151,3,1
30,113,3,2
30,103,3,2
30,134,3,2
30,189,3,2
30,53,3,2
31,186,3,2
31,131,3,2
31,96,3,2
32,196,3,2
33,195,3,2
33,187,3,2
35,194,3,2
35,79,3,2
35,93,3,2
35,37,3,2
35,170,3,2
36,197,3,1
36,134,3,2
36,132,3,2
36,192,3,2
36,156,3,2
36,106,3,2
36,50,3,2
37,97,3,2
37,176,3,2
37,128,3,2
37,195,3,2
37,84,3,2
37,187,3,2
38,187,3,2
38,188,3,2
39,108,3,2
40,178,3,2
42,194,3,2
43,176,3,2
43,128,3,2
44,102,3,1
44,176,3,2
44,84,3,2
44,195,3,2
45,107,3,1
45,77,3,2
45,69,3,2
45,172,3,2
46,194,3,2
46,123,3,2
46,77,3,2
46,121,3,2
46,53,3,2
46,85,3,2
46,185,3,2
46,105,3,2
46,69,3,2
47,199,3,2
48,184,3,2
48,77,3,2
48,195,3,2
48,196,3,2
49,162,3,2
49,119,3,2
49,200,3,2
49,102,3,2
49,135,3,2
49,199,3,2
50,192,3,2
50,108,3,2
50,156,3,2
50,153,3,2
50,74,3,2
51,195,3,2
53,121,3,2
53,175,3,2
53,87,3,2
53,159,3,2
53,158,3,2
53,124,3,2
53,91,3,2
53,147,3,2
54,196,3,2
55,195,3,2
56,129,3,2
56,167,3,2
56,59,3,2
56,86,3,2
56,75,3,2
56,119,3,2
57,169,3,2
57,83,3,2
58,155,3,2
58,168,3,2
58,198,3,2
58,186,3,2
59,182,3,2
59,117,3,2
59,199,3,2
59,77,3,2
59,69,3,2
60,124,3,2
62,78,3,2
62,88,3,2
62,70,3,2
62,71,3,2
62,161,3,2
63,81,3,1
63,125,3,2
63,189,3,2
63,188,3,2
64,129,3,1
66,96,3,2
66,79,3,2
66,158,3,2
66,178,3,2
66,147,3,2
66,129,3,2
66,130,3,2
67,77,3,2
68,199,3,2
69,113,3,2
69,84,3,2
69,122,3,2
69,97,3,2
69,83,3,2
69,156,3,2
69,77,3,2
69,191,3,2
70,134,3,2
70,149,3,2
70,175,3,2
71,188,3,2
71,187,3,2
71,78,3,2
71,196,3,2
71,161,3,2
72,90,3,2
72,172,3,2
73,200,3,2
74,194,3,2
75,86,3,2
75,186,3,2
76,170,3,2
77,87,3,2
77,156,3,2
77,199,3,2
77,191,3,2
78,187,3,2
79,128,3,2
80,129,3,2
80,187,3,2
80,176,3,2
81,91,3,2
81,164,3,2
82,158,3,2
82,116,3,2
82,143,3,2
82,96,3,2
83,84,3,2
83,129,3,2
83,91,3,2
84,197,3,2
84,195,3,2
84,171,3,2
84,186,3,2
84,176,3,2
84,187,3,2
85,161,3,2
85,97,3,2
85,191,3,2
86,147,3,2
87,173,3,2
87,159,3,2
87,127,3,2
87,124,3,2
87,158,3,2
88,188,3,2
90,172,3,2
90,104,3,2
90,101,3,2
90,153,3,2
91,121,3,2
91,113,3,2
91,125,3,2
92,144,3,2
93,178,3,2
93,172,3,2
94,162,3,2
96,143,3,2
96,158,3,2
97,197,3,2
97,119,3,2
97,156,3,2
100,199,3,2
101,176,3,2
101,169,3,2
102,153,3,2
102,117,3,2
102,194,3,2
102,198,3,2
102,110,3,2
102,130,3,2
102,156,3,2
102,133,3,2
103,199,3,2
103,182,3,2
103,149,3,2
103,200,3,2
103,123,3,2
103,153,3,2
105,194,3,2
105,185,3,2
105,108,3,2
106,192,3,2
108,109,3,2
109,184,3,2
109,196,3,2
110,162,3,2
111,188,3,2
111,187,3,2
111,197,3,2
112,184,3,2
113,189,3,2
115,172,3,1
115,181,3,1
115,199,3,2
115,141,3,2
115,200,3,2
116,158,3,1
116,179,3,2
116,159,3,2
116,144,3,2
116,167,3,2
119,140,3,2
119,172,3,2
119,198,3,2
119,200,3,2
121,185,3,2
121,147,3,2
121,123,3,2
123,173,3,2
123,182,3,2
123,151,3,2
