household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.6380344724033348,0.3921130249579697,0.0,1.0,0.4821529703178474,0.0,39.00131525112901,-76.62607181783045,resistant,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,0.8526015795994781,0.3981543324775314,0.75,0.8571428571428571,0.6473485758137049,0.0,39.06901148654127,-76.55916924330658,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,0.6632617501698584,0.4360081695834677,0.0,0.7142857142857143,0.2284648119091838,0.0,39.10303610800522,-76.56898590702784,isolated,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0.3636020309736206,0.1074908444037888,0.75,0.2857142857142857,0.4518887166721023,0.5,38.876166225298746,-76.54425853721573,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5,0.6326406058743612,0.1902542143627378,0.0,0.2857142857142857,0.2837874980779637,0.25,38.897601151417426,-76.58674277906816,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,0.5458442218006693,0.0468441052626249,0.0,0.8571428571428571,0.4473797727520541,1.0,39.13424368720402,-76.47694112565809,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,0.7091531435832713,0.3741482038661229,1.0,0.4285714285714285,0.554513287338024,0.0,38.99593882491797,-76.69051756151237,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8,0.6571021345560321,0.5772075701347958,1.0,0.1428571428571428,0.7774604001775783,0.5,38.924850105502834,-76.49817701286489,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,0.6880926247235258,0.0012405242779083,0.0,0.2857142857142857,0.4998569419135223,0.25,39.02456104349044,-76.5477044102456,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10,0.4876054056906341,0.2453170614152175,0.0,0.5714285714285714,0.414640205897826,1.0,38.90190235013453,-76.65303748937194,resistant,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,0.567253252932473,0.0198451220212215,0.75,0.7142857142857143,0.4499689183287994,0.0,38.92536735947628,-76.58518755210085,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,0.8376247048396293,0.1084415028676987,0.0,0.1428571428571428,0.5156237337495423,0.0,38.81629972985522,-76.57075748685396,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
