household_id_1,household_id_2,timestep,link_type
1,147,0,1
1,198,0,2
6,200,0,2
7,172,0,2
8,185,0,2
9,127,0,2
9,37,0,2
9,174,0,2
9,176,0,2
10,107,0,2
10,56,0,2
11,147,0,2
11,200,0,2
11,107,0,2
13,184,0,1
13,31,0,2
15,144,0,2
16,129,0,2
16,64,0,2
17,75,0,2
17,104,0,2
18,167,0,2
18,54,0,2
18,55,0,2
18,37,0,2
19,198,0,2
19,108,0,2
19,83,0,2
20,200,0,2
20,135,0,2
21,84,0,2
22,27,0,2
23,129,0,2
23,196,0,2
24,46,0,1
24,134,0,2
25,110,0,2
25,196,0,2
25,82,0,2
26,53,0,2
26,186,0,2
26,169,0,2
27,116,0,2
27,198,0,2
27,178,0,2
27,158,0,2
28,97,0,2
28,86,0,2
28,164,0,2
28,81,0,2
28,129,0,2
29,172,0,2
30,113,0,2
30,189,0,2
30,53,0,2
31,131,0,2
33,187,0,2
35,93,0,2
36,134,0,2
36,132,0,2
36,192,0,2
36,106,0,2
36,50,0,2
37,176,0,2
37,195,0,2
37,84,0,2
38,188,0,2
42,194,0,2
43,176,0,2
44,195,0,2
45,107,0,1
45,136,0,2
45,172,0,2
46,136,0,2
46,53,0,2
48,184,0,2
48,196,0,2
49,162,0,2
49,102,0,2
49,135,0,2
50,74,0,2
51,195,0,2
53,175,0,2
53,107,0,2
53,159,0,2
53,158,0,2
53,124,0,2
53,91,0,2
53,147,0,2
56,129,0,2
56,59,0,2
56,119,0,2
57,83,0,2
58,198,0,2
59,182,0,2
59,69,0,2
62,78,0,2
62,70,0,2
62,71,0,2
62,161,0,2
63,81,0,1
63,125,0,2
63,188,0,2
66,79,0,2
66,158,0,2
66,147,0,2
66,107,0,2
69,136,0,2
69,84,0,2
69,122,0,2
69,97,0,2
69,83,0,2
69,77,0,2
70,134,0,2
70,175,0,2
71,188,0,2
71,187,0,2
71,196,0,2
72,172,0,2
75,186,0,2
76,170,0,2
77,87,0,2
77,191,0,2
80,187,0,2
81,91,0,2
81,164,0,2
82,143,0,2
82,96,0,2
83,84,0,2
83,129,0,2
84,197,0,2
84,171,0,2
84,176,0,2
86,147,0,2
87,173,0,2
87,159,0,2
87,127,0,2
87,124,0,2
87,158,0,2
90,104,0,2
90,101,0,2
91,121,0,2
92,144,0,2
93,172,0,2
97,119,0,2
97,156,0,2
100,199,0,2
102,153,0,2
102,117,0,2
102,110,0,2
103,182,0,2
103,200,0,2
103,123,0,2
105,185,0,2
106,192,0,2
107,172,0,2
107,115,0,2
109,184,0,2
109,196,0,2
111,188,0,2
111,187,0,2
111,197,0,2
112,184,0,2
113,189,0,2
115,172,0,1
115,181,0,1
115,199,0,2
116,179,0,2
116,159,0,2
116,144,0,2
116,167,0,2
121,123,0,2
123,189,0,2
124,147,0,2
124,131,0,2
127,128,0,2
128,176,0,2
129,142,0,1
131,195,0,1
132,153,0,2
132,156,0,2
135,200,0,2
135,199,0,2
139,184,0,2
140,172,0,2
141,194,0,1
141,200,0,2
141,199,0,2
143,169,0,2
143,179,0,2
145,199,0,2
147,166,0,2
150,200,0,1
151,189,0,2
151,182,0,2
153,192,0,2
153,197,0,2
158,178,0,2
160,194,0,2
160,198,0,2
161,188,0,2
163,196,0,2
164,197,0,1
169,175,0,2
172,181,0,2
179,188,0,2
184,196,0,1
184,195,0,2
185,194,0,2
187,188,0,2
199,200,0,2
1,147,1,1
1,198,1,2
1,176,1,2
2,58,1,2
5,92,1,1
5,131,1,2
5,159,1,2
6,200,1,2
7,172,1,2
9,127,1,2
9,79,1,2
9,37,1,2
9,176,1,2
10,91,1,2
11,150,1,1
13,184,1,1
13,195,1,2
13,31,1,2
16,129,1,2
16,64,1,2
16,41,1,2
16,186,1,2
17,50,1,2
17,75,1,2
17,83,1,2
19,66,1,2
20,199,1,2
22,84,1,2
23,196,1,2
25,44,1,1
25,110,1,2
25,130,1,2
25,59,1,2
26,53,1,2
26,186,1,2
27,143,1,1
27,116,1,2
27,123,1,2
27,158,1,2
28,86,1,2
28,187,1,2
28,81,1,2
28,195,1,2
30,113,1,2
30,103,1,2
30,134,1,2
30,53,1,2
31,186,1,2
32,196,1,2
35,194,1,2
35,170,1,2
36,134,1,2
36,132,1,2
36,156,1,2
36,50,1,2
37,97,1,2
37,128,1,2
37,195,1,2
37,84,1,2
38,187,1,2
38,188,1,2
42,194,1,2
43,176,1,2
44,102,1,1
46,194,1,2
46,121,1,2
46,185,1,2
46,69,1,2
48,184,1,2
48,196,1,2
49,162,1,2
49,119,1,2
49,200,1,2
49,102,1,2
49,135,1,2
50,108,1,2
50,156,1,2
53,121,1,2
53,87,1,2
53,147,1,2
55,195,1,2
56,86,1,2
56,75,1,2
57,169,1,2
58,186,1,2
59,182,1,2
59,117,1,2
59,199,1,2
59,77,1,2
62,70,1,2
62,71,1,2
63,125,1,2
63,189,1,2
63,188,1,2
66,96,1,2
66,178,1,2
66,147,1,2
66,130,1,2
68,199,1,2
69,122,1,2
69,97,1,2
69,83,1,2
69,77,1,2
70,134,1,2
70,149,1,2
71,187,1,2
71,78,1,2
71,196,1,2
72,90,1,2
72,172,1,2
73,200,1,2
75,86,1,2
75,186,1,2
76,170,1,2
77,87,1,2
77,191,1,2
80,129,1,2
80,176,1,2
81,164,1,2
82,158,1,2
82,116,1,2
83,129,1,2
84,187,1,2
85,136,1,2
85,161,1,2
85,191,1,2
87,127,1,2
87,158,1,2
88,188,1,2
90,172,1,2
90,101,1,2
91,125,1,2
97,197,1,2
97,119,1,2
97,156,1,2
100,199,1,2
102,117,1,2
102,194,1,2
102,198,1,2
102,156,1,2
102,133,1,2
103,182,1,2
103,123,1,2
105,108,1,2
109,184,1,2
109,196,1,2
110,162,1,2
111,188,1,2
111,187,1,2
111,197,1,2
112,184,1,2
113,189,1,2
115,199,1,2
115,200,1,2
116,158,1,1
116,159,1,2
116,144,1,2
119,140,1,2
119,172,1,2
123,173,1,2
123,182,1,2
123,151,1,2
123,189,1,2
124,140,1,2
128,176,1,2
129,142,1,1
129,136,1,2
131,147,1,2
131,184,1,2
132,197,1,2
132,153,1,2
132,156,1,2
134,141,1,2
135,200,1,2
136,154,1,2
138,189,1,2
141,200,1,2
141,199,1,2
143,200,1,2
143,189,1,2
144,150,1,2
147,198,1,2
147,166,1,2
149,174,1,2
150,200,1,1
151,189,1,2
151,198,1,2
153,172,1,2
153,197,1,2
160,198,1,2
163,195,1,2
164,197,1,1
169,175,1,2
169,195,1,2
170,174,1,1
170,191,1,2
170,200,1,2
172,181,1,2
178,198,1,2
178,185,1,2
178,179,1,2
178,194,1,2
179,188,1,2
180,189,1,2
185,194,1,2
199,200,1,2
1,198,2,2
1,176,2,2
2,58,2,2
4,30,2,2
5,92,2,1
5,53,2,2
5,131,2,2
6,172,2,2
6,200,2,2
8,185,2,2
9,77,2,2
9,133,2,2
9,127,2,2
9,174,2,2
9,176,2,2
10,66,2,2
11,150,2,1
13,195,2,2
15,144,2,2
16,26,2,2
16,64,2,2
16,186,2,2
17,90,2,1
17,19,2,2
17,50,2,2
17,75,2,2
17,83,2,2
19,198,2,2
19,108,2,2
19,83,2,2
20,110,2,1
20,135,2,2
20,49,2,2
20,102,2,2
20,130,2,2
20,199,2,2
21,84,2,2
23,196,2,2
24,194,2,1
25,135,2,2
25,196,2,2
25,130,2,2
25,59,2,2
25,82,2,2
26,53,2,2
26,169,2,2
27,159,2,2
27,116,2,2
27,198,2,2
27,96,2,2
27,178,2,2
27,123,2,2
27,194,2,2
28,187,2,2
29,199,2,2
29,91,2,2
29,172,2,2
30,151,2,1
30,113,2,2
30,134,2,2
30,53,2,2
31,131,2,2
32,196,2,2
33,195,2,2
33,187,2,2
35,194,2,2
36,197,2,1
36,132,2,2
36,156,2,2
36,50,2,2
37,97,2,2
37,128,2,2
37,195,2,2
37,84,2,2
37,187,2,2
38,187,2,2
40,178,2,2
42,194,2,2
43,128,2,2
44,84,2,2
45,107,2,1
45,77,2,2
45,69,2,2
46,185,2,2
46,105,2,2
48,184,2,2
48,77,2,2
48,196,2,2
49,162,2,2
49,200,2,2
49,199,2,2
50,156,2,2
50,74,2,2
53,121,2,2
53,175,2,2
53,159,2,2
53,158,2,2
53,124,2,2
53,147,2,2
55,195,2,2
56,129,2,2
56,86,2,2
56,75,2,2
56,119,2,2
58,155,2,2
58,168,2,2
59,182,2,2
59,117,2,2
59,69,2,2
60,124,2,2
62,78,2,2
62,88,2,2
62,71,2,2
62,161,2,2
63,81,2,1
63,125,2,2
63,189,2,2
66,96,2,2
66,158,2,2
66,147,2,2
67,77,2,2
68,199,2,2
69,113,2,2
69,84,2,2
69,97,2,2
69,83,2,2
69,191,2,2
70,149,2,2
70,175,2,2
71,188,2,2
71,196,2,2
71,161,2,2
72,90,2,2
72,172,2,2
75,86,2,2
76,170,2,2
77,87,2,2
77,156,2,2
77,199,2,2
77,191,2,2
78,187,2,2
79,128,2,2
80,187,2,2
81,91,2,2
81,164,2,2
82,143,2,2
82,96,2,2
84,195,2,2
84,186,2,2
84,176,2,2
84,187,2,2
85,161,2,2
85,97,2,2
86,147,2,2
87,159,2,2
87,124,2,2
87,158,2,2
88,188,2,2
90,172,2,2
91,121,2,2
91,113,2,2
93,178,2,2
93,172,2,2
96,143,2,2
96,158,2,2
97,197,2,2
97,156,2,2
100,199,2,2
101,176,2,2
102,153,2,2
102,110,2,2
102,130,2,2
102,156,2,2
102,133,2,2
105,185,2,2
105,108,2,2
109,184,2,2
109,196,2,2
113,189,2,2
115,200,2,2
116,158,2,1
116,144,2,2
116,167,2,2
119,140,2,2
119,172,2,2
119,200,2,2
121,147,2,2
121,123,2,2
123,173,2,2
123,151,2,2
124,147,2,2
124,131,2,2
128,176,2,2
131,195,2,1
131,147,2,2
131,184,2,2
132,153,2,2
134,178,2,2
134,141,2,2
135,200,2,2
140,172,2,2
141,194,2,1
143,179,2,2
143,200,2,2
143,189,2,2
144,150,2,2
145,199,2,2
147,158,2,2
148,172,2,2
149,174,2,2
151,189,2,2
153,192,2,2
153,172,2,2
153,197,2,2
158,178,2,2
159,178,2,1
161,188,2,2
163,195,2,2
163,196,2,2
164,176,2,2
169,191,2,2
169,175,2,2
170,174,2,1
170,200,2,2
172,200,2,2
172,181,2,2
176,197,2,2
177,199,2,2
178,179,2,2
178,194,2,2
179,188,2,2
180,194,2,2
182,189,2,2
184,195,2,2
185,194,2,2
187,188,2,2
199,200,2,2
1,198,3,2
1,176,3,2
4,172,3,1
5,92,3,1
5,53,3,2
5,131,3,2
5,159,3,2
7,172,3,2
8,185,3,2
9,77,3,2
9,133,3,2
9,127,3,2
9,79,3,2
9,37,3,2
10,91,3,2
10,56,3,2
11,150,3,1
13,184,3,1
13,195,3,2
15,144,3,2
16,26,3,2
16,23,3,2
16,64,3,2
16,80,3,2
17,19,3,2
19,83,3,2
21,84,3,2
22,84,3,2
24,46,3,1
24,194,3,1
24,134,3,2
25,130,3,2
25,59,3,2
26,53,3,2
26,70,3,2
27,143,3,1
27,159,3,2
27,116,3,2
27,198,3,2
27,93,3,2
27,96,3,2
27,123,3,2
28,187,3,2
28,129,3,2
29,199,3,2
29,91,3,2
30,53,3,2
31,186,3,2
31,131,3,2
31,96,3,2
35,194,3,2
35,37,3,2
36,132,3,2
36,192,3,2
37,176,3,2
37,128,3,2
37,195,3,2
37,84,3,2
37,187,3,2
39,108,3,2
43,128,3,2
44,102,3,1
44,195,3,2
45,107,3,1
45,69,3,2
46,194,3,2
46,85,3,2
46,185,3,2
46,69,3,2
49,119,3,2
49,135,3,2
49,199,3,2
50,153,3,2
50,74,3,2
53,121,3,2
53,87,3,2
53,159,3,2
53,124,3,2
53,91,3,2
53,147,3,2
55,195,3,2
56,167,3,2
56,86,3,2
56,75,3,2
56,119,3,2
57,83,3,2
58,168,3,2
58,198,3,2
58,186,3,2
59,182,3,2
59,117,3,2
59,77,3,2
59,69,3,2
60,124,3,2
62,71,3,2
63,81,3,1
63,125,3,2
66,79,3,2
66,158,3,2
66,129,3,2
66,130,3,2
68,199,3,2
69,97,3,2
69,83,3,2
69,191,3,2
70,134,3,2
71,188,3,2
71,187,3,2
71,196,3,2
73,200,3,2
74,194,3,2
75,86,3,2
77,87,3,2
77,191,3,2
79,128,3,2
80,187,3,2
82,158,3,2
82,116,3,2
82,143,3,2
82,96,3,2
83,84,3,2
83,91,3,2
84,197,3,2
84,171,3,2
84,176,3,2
85,161,3,2
85,97,3,2
86,147,3,2
87,173,3,2
87,159,3,2
87,158,3,2
88,188,3,2
90,172,3,2
90,104,3,2
90,101,3,2
90,153,3,2
91,121,3,2
91,125,3,2
92,144,3,2
94,162,3,2
96,143,3,2
100,199,3,2
101,169,3,2
102,153,3,2
102,130,3,2
103,199,3,2
103,200,3,2
103,123,3,2
105,194,3,2
105,108,3,2
106,192,3,2
108,109,3,2
110,162,3,2
112,184,3,2
115,172,3,1
115,181,3,1
115,199,3,2
116,179,3,2
116,159,3,2
119,200,3,2
123,173,3,2
127,128,3,2
128,167,3,2
129,142,3,1
131,147,3,2
134,178,3,2
135,200,3,2
141,200,3,2
141,199,3,2
143,169,3,2
143,200,3,2
144,150,3,2
145,199,3,2
147,158,3,2
149,199,3,2
153,170,3,2
159,178,3,1
160,198,3,2
161,191,3,2
161,188,3,2
164,197,3,1
170,174,3,1
170,185,3,2
170,200,3,2
177,199,3,2
178,198,3,2
178,185,3,2
178,179,3,2
179,188,3,2
184,196,3,1
184,195,3,2
187,188,3,2
1,176,4,2
4,172,4,1
4,124,4,2
4,30,4,2
5,92,4,1
5,53,4,2
5,131,4,2
6,172,4,2
7,172,4,2
9,77,4,2
9,133,4,2
9,127,4,2
9,79,4,2
9,37,4,2
9,176,4,2
10,66,4,2
10,91,4,2
10,56,4,2
13,184,4,1
16,64,4,2
16,41,4,2
16,80,4,2
17,50,4,2
17,75,4,2
19,129,4,2
19,198,4,2
19,66,4,2
19,108,4,2
20,162,4,1
20,110,4,1
20,135,4,2
20,169,4,2
20,199,4,2
22,27,4,2
23,129,4,2
24,46,4,1
24,194,4,1
25,196,4,2
25,130,4,2
25,82,4,2
26,53,4,2
26,186,4,2
26,70,4,2
26,169,4,2
27,143,4,1
27,159,4,2
27,116,4,2
27,198,4,2
27,93,4,2
27,96,4,2
27,123,4,2
27,134,4,2
28,97,4,2
28,86,4,2
28,187,4,2
28,81,4,2
28,195,4,2
29,91,4,2
30,113,4,2
31,186,4,2
31,131,4,2
31,96,4,2
32,196,4,2
33,195,4,2
33,187,4,2
36,134,4,2
36,156,4,2
36,50,4,2
37,97,4,2
37,176,4,2
37,128,4,2
37,195,4,2
37,84,4,2
37,187,4,2
38,187,4,2
39,108,4,2
43,176,4,2
44,102,4,1
44,195,4,2
45,107,4,1
45,77,4,2
45,69,4,2
46,77,4,2
46,53,4,2
46,85,4,2
46,105,4,2
47,199,4,2
48,184,4,2
48,77,4,2
48,196,4,2
49,119,4,2
49,200,4,2
49,199,4,2
50,192,4,2
50,156,4,2
50,153,4,2
50,74,4,2
53,175,4,2
53,159,4,2
53,158,4,2
53,91,4,2
54,196,4,2
55,195,4,2
56,129,4,2
56,86,4,2
56,75,4,2
56,119,4,2
57,169,4,2
58,168,4,2
58,186,4,2
59,182,4,2
59,117,4,2
62,70,4,2
62,161,4,2
63,189,4,2
63,188,4,2
64,129,4,1
66,96,4,2
66,158,4,2
66,178,4,2
66,130,4,2
67,77,4,2
69,113,4,2
69,97,4,2
69,83,4,2
69,77,4,2
69,191,4,2
70,175,4,2
71,188,4,2
71,196,4,2
71,161,4,2
74,194,4,2
75,86,4,2
75,186,4,2
76,170,4,2
77,87,4,2
77,191,4,2
79,128,4,2
80,129,4,2
80,187,4,2
80,176,4,2
81,164,4,2
82,158,4,2
82,116,4,2
82,96,4,2
83,84,4,2
83,91,4,2
84,171,4,2
84,176,4,2
84,187,4,2
85,161,4,2
85,191,4,2
87,159,4,2
87,158,4,2
88,188,4,2
90,104,4,2
90,101,4,2
90,153,4,2
91,113,4,2
93,178,4,2
93,172,4,2
94,162,4,2
96,158,4,2
97,156,4,2
100,199,4,2
101,169,4,2
102,194,4,2
102,156,4,2
103,199,4,2
103,123,4,2
103,153,4,2
105,185,4,2
105,108,4,2
108,109,4,2
109,184,4,2
111,197,4,2
112,184,4,2
115,199,4,2
115,141,4,2
115,200,4,2
116,179,4,2
116,159,4,2
116,167,4,2
121,147,4,2
121,123,4,2
123,182,4,2
123,189,4,2
124,131,4,2
128,176,4,2
129,142,4,1
131,195,4,1
131,147,4,2
131,184,4,2
132,197,4,2
132,153,4,2
132,156,4,2
135,200,4,2
140,172,4,2
141,194,4,1
141,200,4,2
143,200,4,2
143,189,4,2
145,199,4,2
147,158,4,2
148,172,4,2
149,174,4,2
149,199,4,2
150,200,4,1
151,198,4,2
153,192,4,2
153,170,4,2
158,178,4,2
160,198,4,2
164,197,4,1
164,176,4,2
169,175,4,2
170,191,4,2
170,185,4,2
170,200,4,2
172,200,4,2
172,181,4,2
178,198,4,2
178,185,4,2
180,194,4,2
182,189,4,2
184,196,4,1
185,194,4,2
187,188,4,2
188,189,4,2
199,200,4,2
1,147,5,1
1,198,5,2
1,176,5,2
2,58,5,2
4,172,5,1
5,92,5,1
5,53,5,2
6,172,5,2
6,200,5,2
8,185,5,2
9,77,5,2
9,174,5,2
10,66,5,2
11,150,5,1
13,195,5,2
13,31,5,2
16,26,5,2
16,23,5,2
16,64,5,2
16,41,5,2
16,80,5,2
17,83,5,2
19,129,5,2
19,198,5,2
19,66,5,2
19,83,5,2
20,162,5,1
20,200,5,2
20,49,5,2
20,169,5,2
20,130,5,2
22,27,5,2
23,129,5,2
23,196,5,2
24,134,5,2
25,135,5,2
25,196,5,2
25,130,5,2
25,82,5,2
26,169,5,2
27,143,5,1
27,159,5,2
27,96,5,2
27,123,5,2
27,134,5,2
27,158,5,2
28,97,5,2
28,164,5,2
28,81,5,2
29,199,5,2
29,91,5,2
29,172,5,2
30,103,5,2
30,134,5,2
30,53,5,2
31,186,5,2
31,131,5,2
31,96,5,2
32,196,5,2
35,194,5,2
35,37,5,2
35,170,5,2
36,106,5,2
37,176,5,2
37,128,5,2
37,187,5,2
38,188,5,2
39,108,5,2
43,176,5,2
44,176,5,2
44,84,5,2
44,195,5,2
45,107,5,1
45,172,5,2
46,194,5,2
46,123,5,2
46,77,5,2
47,199,5,2
48,184,5,2
48,195,5,2
49,162,5,2
49,102,5,2
50,156,5,2
53,121,5,2
53,175,5,2
53,87,5,2
53,159,5,2
53,124,5,2
53,147,5,2
54,196,5,2
56,167,5,2
56,59,5,2
56,86,5,2
57,169,5,2
58,155,5,2
58,168,5,2
59,117,5,2
59,199,5,2
60,124,5,2
62,88,5,2
63,81,5,1
63,125,5,2
63,189,5,2
66,96,5,2
66,147,5,2
67,77,5,2
69,113,5,2
69,84,5,2
69,156,5,2
70,134,5,2
70,149,5,2
71,188,5,2
71,196,5,2
72,90,5,2
77,87,5,2
77,156,5,2
77,191,5,2
80,187,5,2
80,176,5,2
81,164,5,2
82,158,5,2
82,96,5,2
83,129,5,2
83,91,5,2
84,197,5,2
84,195,5,2
84,171,5,2
84,176,5,2
85,161,5,2
85,97,5,2
86,147,5,2
87,159,5,2
87,158,5,2
88,188,5,2
90,172,5,2
90,104,5,2
90,153,5,2
91,113,5,2
91,125,5,2
93,172,5,2
94,162,5,2
101,176,5,2
102,117,5,2
102,194,5,2
102,130,5,2
102,156,5,2
103,149,5,2
103,123,5,2
105,194,5,2
105,185,5,2
105,108,5,2
106,192,5,2
108,109,5,2
109,184,5,2
110,162,5,2
111,188,5,2
115,199,5,2
115,141,5,2
116,158,5,1
116,159,5,2
121,185,5,2
123,182,5,2
124,140,5,2
124,147,5,2
124,131,5,2
127,128,5,2
128,167,5,2
128,176,5,2
131,195,5,1
131,184,5,2
132,197,5,2
132,153,5,2
138,189,5,2
140,172,5,2
141,200,5,2
143,179,5,2
143,200,5,2
143,199,5,2
143,159,5,2
145,199,5,2
147,198,5,2
148,172,5,2
149,170,5,2
149,199,5,2
150,200,5,1
151,189,5,2
151,198,5,2
153,170,5,2
160,198,5,2
161,191,5,2
161,188,5,2
163,195,5,2
164,197,5,1
164,176,5,2
169,191,5,2
169,195,5,2
172,200,5,2
172,181,5,2
178,179,5,2
180,194,5,2
180,189,5,2
184,195,5,2
185,194,5,2
187,188,5,2
188,189,5,2
1,198,6,2
1,176,6,2
4,172,6,1
4,124,6,2
5,92,6,1
5,159,6,2
6,200,6,2
9,77,6,2
9,127,6,2
9,37,6,2
13,184,6,1
16,26,6,2
16,129,6,2
16,64,6,2
16,41,6,2
16,186,6,2
16,80,6,2
17,75,6,2
17,83,6,2
17,104,6,2
19,198,6,2
20,110,6,1
20,169,6,2
20,199,6,2
22,27,6,2
23,129,6,2
24,46,6,1
24,134,6,2
25,44,6,1
25,135,6,2
25,130,6,2
25,59,6,2
25,82,6,2
26,53,6,2
26,70,6,2
27,143,6,1
27,116,6,2
27,198,6,2
27,96,6,2
27,123,6,2
27,194,6,2
27,158,6,2
28,81,6,2
28,129,6,2
29,172,6,2
30,151,6,1
30,103,6,2
31,96,6,2
33,195,6,2
35,93,6,2
35,170,6,2
36,197,6,1
36,134,6,2
36,192,6,2
36,156,6,2
37,176,6,2
37,128,6,2
37,195,6,2
38,187,6,2
38,188,6,2
39,108,6,2
42,194,6,2
45,107,6,1
45,77,6,2
45,69,6,2
45,172,6,2
46,194,6,2
46,77,6,2
46,121,6,2
46,185,6,2
47,199,6,2
48,184,6,2
48,77,6,2
48,195,6,2
48,196,6,2
49,162,6,2
49,200,6,2
49,135,6,2
49,199,6,2
50,192,6,2
50,108,6,2
50,74,6,2
53,175,6,2
53,87,6,2
53,124,6,2
53,91,6,2
54,196,6,2
56,129,6,2
56,59,6,2
56,86,6,2
56,75,6,2
57,83,6,2
58,168,6,2
59,182,6,2
59,117,6,2
59,199,6,2
59,77,6,2
60,124,6,2
62,78,6,2
62,161,6,2
63,81,6,1
63,189,6,2
63,188,6,2
66,147,6,2
66,130,6,2
69,113,6,2
69,84,6,2
69,122,6,2
69,97,6,2
69,156,6,2
69,77,6,2
70,134,6,2
70,175,6,2
71,188,6,2
71,187,6,2
71,78,6,2
71,161,6,2
72,90,6,2
72,172,6,2
74,194,6,2
75,86,6,2
75,186,6,2
76,170,6,2
77,199,6,2
77,191,6,2
80,129,6,2
80,176,6,2
81,91,6,2
81,164,6,2
82,96,6,2
83,129,6,2
84,195,6,2
85,161,6,2
85,191,6,2
86,147,6,2
87,173,6,2
87,159,6,2
87,124,6,2
90,172,6,2
90,104,6,2
90,101,6,2
91,121,6,2
97,197,6,2
97,156,6,2
101,176,6,2
102,117,6,2
102,110,6,2
102,130,6,2
102,133,6,2
103,182,6,2
103,149,6,2
103,200,6,2
105,108,6,2
106,192,6,2
108,109,6,2
110,162,6,2
111,197,6,2
113,189,6,2
115,181,6,1
115,199,6,2
115,141,6,2
116,158,6,1
116,179,6,2
119,172,6,2
119,200,6,2
121,185,6,2
121,123,6,2
123,182,6,2
123,189,6,2
124,147,6,2
124,131,6,2
129,142,6,1
131,147,6,2
132,197,6,2
132,153,6,2
134,178,6,2
134,141,6,2
138,189,6,2
141,200,6,2
143,169,6,2
143,199,6,2
143,189,6,2
143,159,6,2
145,199,6,2
147,166,6,2
149,199,6,2
151,198,6,2
153,170,6,2
153,197,6,2
159,178,6,1
160,194,6,2
161,188,6,2
164,197,6,1
169,195,6,2
170,174,6,1
170,185,6,2
172,200,6,2
172,181,6,2
176,197,6,2
177,199,6,2
178,185,6,2
178,194,6,2
184,196,6,1
188,189,6,2
1,198,7,2
1,176,7,2
2,58,7,2
4,124,7,2
5,92,7,1
5,131,7,2
5,159,7,2
6,200,7,2
8,185,7,2
9,77,7,2
9,127,7,2
9,79,7,2
9,37,7,2
10,66,7,2
11,150,7,1
16,23,7,2
16,64,7,2
16,41,7,2
16,80,7,2
17,90,7,1
17,50,7,2
17,104,7,2
19,198,7,2
20,162,7,1
20,44,7,1
20,110,7,1
20,135,7,2
20,49,7,2
20,169,7,2
20,102,7,2
23,129,7,2
24,194,7,1
24,134,7,2
25,110,7,2
25,196,7,2
25,130,7,2
25,59,7,2
26,70,7,2
26,169,7,2
27,143,7,1
27,159,7,2
27,93,7,2
27,87,7,2
27,178,7,2
27,134,7,2
28,86,7,2
28,195,7,2
29,199,7,2
29,91,7,2
29,172,7,2
30,151,7,1
30,113,7,2
30,103,7,2
30,134,7,2
30,189,7,2
33,195,7,2
35,37,7,2
35,170,7,2
36,134,7,2
36,132,7,2
36,192,7,2
36,106,7,2
36,50,7,2
37,84,7,2
38,188,7,2
39,108,7,2
44,102,7,1
44,84,7,2
45,107,7,1
45,172,7,2
46,85,7,2
46,105,7,2
47,199,7,2
48,196,7,2
49,162,7,2
49,200,7,2
49,135,7,2
49,199,7,2
50,192,7,2
50,108,7,2
50,153,7,2
50,74,7,2
51,195,7,2
53,175,7,2
53,159,7,2
53,124,7,2
53,147,7,2
54,196,7,2
56,129,7,2
56,119,7,2
57,83,7,2
58,168,7,2
58,198,7,2
58,186,7,2
59,69,7,2
62,70,7,2
62,71,7,2
62,161,7,2
63,81,7,1
63,125,7,2
64,129,7,1
66,147,7,2
68,199,7,2
69,113,7,2
69,77,7,2
70,175,7,2
71,188,7,2
71,187,7,2
71,196,7,2
71,161,7,2
76,170,7,2
77,87,7,2
77,156,7,2
77,191,7,2
79,128,7,2
80,187,7,2
82,158,7,2
83,84,7,2
83,129,7,2
83,91,7,2
84,171,7,2
84,176,7,2
85,161,7,2
86,147,7,2
87,158,7,2
90,153,7,2
91,125,7,2
93,172,7,2
97,197,7,2
97,156,7,2
101,176,7,2
102,153,7,2
102,117,7,2
102,194,7,2
102,156,7,2
102,133,7,2
103,182,7,2
103,200,7,2
105,185,7,2
106,192,7,2
108,109,7,2
112,184,7,2
113,189,7,2
115,181,7,1
115,141,7,2
116,158,7,1
116,159,7,2
116,167,7,2
119,172,7,2
124,131,7,2
127,128,7,2
129,142,7,1
131,195,7,1
132,197,7,2
132,153,7,2
132,156,7,2
134,141,7,2
138,189,7,2
