time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,147,1,0.0
1,1,repair,198,1,0.0
1,1,repair,176,1,0.0
1,0,vacant,147,1,0.0
1,0,vacant,198,1,0.0
1,0,vacant,176,1,0.0
1,2,sell,147,1,0.0
1,2,sell,198,1,0.0
1,2,sell,176,1,0.0
1,1,repair,58,2,0.0
1,0,vacant,58,2,0.0
1,2,sell,58,2,0.0
1,1,repair,172,4,0.0
1,1,repair,107,4,0.0
1,1,repair,124,4,0.0
1,1,repair,30,4,0.0
1,0,vacant,172,4,0.0
1,0,vacant,107,4,0.02627991070351581
1,0,vacant,124,4,0.0
1,0,vacant,30,4,0.0
1,2,sell,172,4,0.0
1,2,sell,107,4,0.0
1,2,sell,124,4,0.0
1,2,sell,30,4,0.0
1,1,repair,92,5,0.0
1,1,repair,107,5,0.0
1,1,repair,53,5,0.0
1,1,repair,131,5,0.0
1,1,repair,159,5,0.0
1,0,vacant,92,5,0.0
1,0,vacant,107,5,0.11485497637964348
1,0,vacant,53,5,0.0
1,0,vacant,131,5,0.0
1,0,vacant,159,5,0.0
1,2,sell,92,5,0.0
1,2,sell,107,5,0.0
1,2,sell,53,5,0.0
1,2,sell,131,5,0.0
1,2,sell,159,5,0.0
1,1,repair,172,6,0.0
1,1,repair,200,6,0.0
1,0,vacant,172,6,0.0
1,0,vacant,200,6,0.0
1,2,sell,172,6,0.0
1,2,sell,200,6,0.0
1,0,vacant,172,7,0.0
1,2,sell,172,7,0.0
1,0,vacant,185,8,0.0
1,2,sell,185,8,0.0
1,1,repair,77,9,0.0
1,1,repair,133,9,0.0
1,1,repair,127,9,0.0
1,1,repair,79,9,0.0
1,1,repair,37,9,0.0
1,1,repair,174,9,0.0
1,1,repair,176,9,0.0
1,0,vacant,77,9,0.0
1,0,vacant,133,9,0.0
1,0,vacant,127,9,0.0
1,0,vacant,79,9,0.0
1,0,vacant,37,9,0.0
1,0,vacant,174,9,0.0
1,0,vacant,176,9,0.0
1,2,sell,77,9,0.0
1,2,sell,133,9,0.0
1,2,sell,127,9,0.0
1,2,sell,79,9,0.0
1,2,sell,37,9,0.0
1,2,sell,174,9,0.0
1,2,sell,176,9,0.0
1,1,repair,107,10,0.0
1,1,repair,66,10,0.0
1,1,repair,91,10,0.0
1,1,repair,56,10,0.0
1,0,vacant,107,10,0.05821126960222067
1,0,vacant,66,10,0.0
1,0,vacant,91,10,0.0
1,0,vacant,56,10,0.0
1,2,sell,107,10,0.0
1,2,sell,66,10,0.0
1,2,sell,91,10,0.0
1,2,sell,56,10,0.0
1,1,repair,150,11,0.0
1,1,repair,136,11,0.0
1,1,repair,147,11,0.0
1,1,repair,144,11,0.0
1,1,repair,200,11,0.0
1,1,repair,158,11,0.0
1,1,repair,107,11,0.0
1,1,repair,53,11,0.0
1,1,repair,159,11,0.0
1,2,sell,150,11,0.0
1,2,sell,136,11,0.0
1,2,sell,147,11,0.0
1,2,sell,144,11,0.0
1,2,sell,200,11,0.0
1,2,sell,158,11,0.0
1,2,sell,107,11,0.0
1,2,sell,53,11,0.0
1,2,sell,159,11,0.0
1,1,repair,184,13,0.0
1,1,repair,195,13,0.0
1,1,repair,31,13,0.0
1,1,repair,18,13,0.0
1,0,vacant,184,13,0.0
1,0,vacant,195,13,0.0
1,0,vacant,31,13,0.0
1,0,vacant,18,13,0.06160136435058828
1,2,sell,184,13,0.0
1,2,sell,195,13,0.0
1,2,sell,31,13,0.0
1,2,sell,18,13,0.0
1,1,repair,144,15,0.0
1,0,vacant,144,15,0.0
1,2,sell,144,15,0.0
1,1,repair,26,16,0.0
1,1,repair,129,16,0.0
1,1,repair,23,16,0.0
1,1,repair,64,16,0.0
1,1,repair,41,16,0.0
1,1,repair,186,16,0.0
1,1,repair,80,16,0.0
1,0,vacant,26,16,0.0
1,0,vacant,129,16,0.0
1,0,vacant,23,16,0.0
1,0,vacant,64,16,0.0
1,0,vacant,41,16,0.0
1,0,vacant,186,16,0.0
1,0,vacant,80,16,0.0
1,2,sell,26,16,0.0
1,2,sell,129,16,0.0
1,2,sell,23,16,0.0
1,2,sell,64,16,0.0
1,2,sell,41,16,0.0
1,2,sell,186,16,0.0
1,2,sell,80,16,0.0
1,1,repair,90,17,0.0
1,1,repair,19,17,0.0
1,1,repair,50,17,0.12210822499848928
1,1,repair,75,17,0.0
1,1,repair,83,17,0.0
1,1,repair,104,17,0.0
1,0,vacant,90,17,0.0
1,0,vacant,19,17,0.0
1,0,vacant,50,17,0.0
1,0,vacant,75,17,0.0
1,0,vacant,83,17,0.0
1,0,vacant,104,17,0.0
1,2,sell,90,17,0.0
1,2,sell,19,17,0.0
1,2,sell,50,17,0.0
1,2,sell,75,17,0.0
1,2,sell,83,17,0.0
1,2,sell,104,17,0.0
1,1,repair,167,18,0.0
1,1,repair,116,18,0.0
1,1,repair,54,18,0.0
1,1,repair,80,18,0.0
1,1,repair,31,18,0.0
1,1,repair,55,18,0.0
1,1,repair,195,18,0.0
1,1,repair,176,18,0.0
1,1,repair,37,18,0.0
1,1,repair,13,18,0.0
1,2,sell,167,18,0.0
1,2,sell,116,18,0.0
1,2,sell,54,18,0.0
1,2,sell,80,18,0.0
1,2,sell,31,18,0.0
1,2,sell,55,18,0.0
1,2,sell,195,18,0.0
1,2,sell,176,18,0.0
1,2,sell,37,18,0.0
1,2,sell,13,18,0.0
1,1,repair,129,19,0.0
1,1,repair,17,19,0.0
1,1,repair,198,19,0.0
1,1,repair,66,19,0.0
1,1,repair,108,19,0.0
1,1,repair,83,19,0.0
1,0,vacant,129,19,0.0
1,0,vacant,17,19,0.0
1,0,vacant,198,19,0.0
1,0,vacant,66,19,0.0
1,0,vacant,108,19,0.0
1,0,vacant,83,19,0.0
1,2,sell,129,19,0.0
1,2,sell,17,19,0.0
1,2,sell,198,19,0.0
1,2,sell,66,19,0.0
1,2,sell,108,19,0.0
1,2,sell,83,19,0.0
1,1,repair,162,20,0.23589011133313237
1,1,repair,44,20,0.0
1,1,repair,110,20,0.0
1,1,repair,200,20,0.0
1,1,repair,135,20,0.0
1,1,repair,49,20,0.0
1,1,repair,169,20,0.0
1,1,repair,102,20,0.0
1,1,repair,130,20,0.0
1,1,repair,199,20,0.0
1,0,vacant,162,20,0.0
1,0,vacant,44,20,0.0
1,0,vacant,110,20,0.0
1,0,vacant,200,20,0.0
1,0,vacant,135,20,0.0
1,0,vacant,49,20,0.0
1,0,vacant,169,20,0.0
1,0,vacant,102,20,0.0
1,0,vacant,130,20,0.0
1,0,vacant,199,20,0.0
1,2,sell,162,20,0.0
1,2,sell,44,20,0.0
1,2,sell,110,20,0.0
1,2,sell,200,20,0.0
1,2,sell,135,20,0.0
1,2,sell,49,20,0.0
1,2,sell,169,20,0.0
1,2,sell,102,20,0.0
1,2,sell,130,20,0.0
1,2,sell,199,20,0.0
1,1,repair,84,21,0.0
1,0,vacant,84,21,0.0
1,2,sell,84,21,0.0
1,1,repair,27,22,0.0
1,1,repair,84,22,0.0293440212675052
1,0,vacant,27,22,0.0
1,0,vacant,84,22,0.0
1,2,sell,27,22,0.0
1,2,sell,84,22,0.0
1,1,repair,16,23,0.0
1,1,repair,129,23,0.0
1,1,repair,196,23,0.0
1,0,vacant,16,23,0.0
1,0,vacant,129,23,0.0
1,0,vacant,196,23,0.0
1,2,sell,16,23,0.0
1,2,sell,129,23,0.0
1,2,sell,196,23,0.0
1,1,repair,46,24,0.0
1,1,repair,194,24,0.0
1,1,repair,134,24,0.0
1,0,vacant,46,24,0.0
1,0,vacant,194,24,0.0
1,0,vacant,134,24,0.0
1,2,sell,46,24,0.0
1,2,sell,194,24,0.0
1,2,sell,134,24,0.0
1,1,repair,44,25,0.0
1,1,repair,135,25,0.0
1,1,repair,110,25,0.0
1,1,repair,196,25,0.0
1,1,repair,130,25,0.0
1,1,repair,59,25,0.0
1,1,repair,82,25,0.0
1,0,vacant,44,25,0.0
1,0,vacant,135,25,0.0
1,0,vacant,110,25,0.0
1,0,vacant,196,25,0.0
1,0,vacant,130,25,0.0
1,0,vacant,59,25,0.0
1,0,vacant,82,25,0.0
1,2,sell,44,25,0.0
1,2,sell,135,25,0.0
1,2,sell,110,25,0.0
1,2,sell,196,25,0.0
