household_id_1,household_id_2,timestep,link_type
1,22,0,2
1,16,0,2
1,40,0,2
2,50,0,2
2,40,0,2
2,6,0,2
2,26,0,2
3,20,0,2
3,8,0,2
3,31,0,2
3,34,0,2
3,43,0,2
3,10,0,2
3,30,0,2
3,29,0,2
4,39,0,2
4,7,0,2
4,23,0,2
4,5,0,2
4,12,0,2
4,44,0,2
4,25,0,2
4,49,0,2
4,40,0,2
5,23,0,2
5,21,0,2
5,14,0,2
5,32,0,2
5,38,0,2
6,40,0,2
7,48,0,2
7,30,0,2
7,23,0,2
8,29,0,2
8,10,0,2
8,50,0,2
8,15,0,2
8,39,0,2
9,19,0,2
9,40,0,2
9,38,0,2
9,43,0,2
10,37,0,2
11,50,0,2
11,40,0,2
11,48,0,2
12,24,0,2
12,38,0,2
12,21,0,2
13,20,0,2
13,38,0,2
14,46,0,2
14,26,0,2
15,29,0,2
15,31,0,2
16,48,0,2
17,46,0,2
17,30,0,2
17,31,0,2
18,39,0,2
18,32,0,2
19,30,0,2
19,32,0,2
20,28,0,2
20,26,0,2
20,40,0,2
20,38,0,2
20,25,0,2
21,46,0,2
21,38,0,2
21,24,0,2
22,40,0,2
23,24,0,2
24,26,0,2
24,32,0,2
24,28,0,2
25,38,0,1
25,39,0,2
26,39,0,2
26,46,0,2
26,32,0,2
27,48,0,2
27,45,0,2
27,40,0,2
28,40,0,2
29,48,0,2
29,47,0,2
29,37,0,2
29,41,0,2
29,34,0,2
30,32,0,2
30,37,0,2
30,31,0,2
30,48,0,2
32,46,0,2
32,47,0,2
34,37,0,2
34,47,0,2
34,42,0,2
35,44,0,2
35,38,0,2
35,39,0,2
39,46,0,2
42,50,0,1
42,43,0,2
42,47,0,2
42,44,0,2
44,50,0,2
44,48,0,2
1,22,1,2
1,16,1,2
1,40,1,2
2,50,1,2
2,40,1,2
2,6,1,2
2,26,1,2
3,20,1,2
3,8,1,2
3,31,1,2
3,34,1,2
3,43,1,2
3,10,1,2
3,30,1,2
3,29,1,2
4,39,1,2
4,7,1,2
4,23,1,2
4,5,1,2
4,12,1,2
4,44,1,2
4,25,1,2
4,49,1,2
4,40,1,2
5,23,1,2
5,21,1,2
5,14,1,2
5,32,1,2
5,38,1,2
6,40,1,2
7,48,1,2
7,30,1,2
7,23,1,2
8,29,1,2
8,10,1,2
8,50,1,2
8,15,1,2
8,39,1,2
9,19,1,2
9,40,1,2
9,38,1,2
9,43,1,2
10,37,1,2
11,50,1,2
11,40,1,2
11,48,1,2
12,24,1,2
12,38,1,2
12,21,1,2
13,20,1,2
13,38,1,2
14,46,1,2
14,26,1,2
15,29,1,2
15,31,1,2
16,48,1,2
17,46,1,2
17,30,1,2
17,31,1,2
18,39,1,2
18,32,1,2
19,30,1,2
19,32,1,2
20,28,1,2
20,26,1,2
20,40,1,2
20,38,1,2
20,25,1,2
21,46,1,2
21,38,1,2
21,24,1,2
22,40,1,2
23,24,1,2
24,26,1,2
24,32,1,2
24,28,1,2
25,38,1,1
25,39,1,2
26,39,1,2
26,46,1,2
26,32,1,2
27,48,1,2
27,40,1,2
28,40,1,2
29,48,1,2
29,47,1,2
29,37,1,2
29,41,1,2
29,34,1,2
30,32,1,2
30,37,1,2
30,31,1,2
30,48,1,2
32,46,1,2
32,47,1,2
34,37,1,2
34,47,1,2
34,42,1,2
35,44,1,2
35,38,1,2
35,39,1,2
39,46,1,2
42,50,1,1
42,43,1,2
42,47,1,2
42,44,1,2
44,50,1,2
44,48,1,2
1,22,2,2
1,16,2,2
1,40,2,2
2,50,2,2
2,40,2,2
2,6,2,2
2,26,2,2
3,20,2,2
3,8,2,2
3,31,2,2
3,34,2,2
3,43,2,2
3,10,2,2
3,30,2,2
3,29,2,2
4,39,2,2
4,7,2,2
4,23,2,2
4,5,2,2
4,12,2,2
4,44,2,2
4,25,2,2
4,49,2,2
4,40,2,2
5,23,2,2
5,21,2,2
5,14,2,2
5,32,2,2
5,38,2,2
6,40,2,2
7,48,2,2
7,30,2,2
7,23,2,2
8,29,2,2
8,10,2,2
8,50,2,2
8,15,2,2
8,39,2,2
9,19,2,2
9,40,2,2
9,38,2,2
9,43,2,2
10,37,2,2
11,50,2,2
11,40,2,2
11,48,2,2
12,24,2,2
12,38,2,2
12,21,2,2
13,20,2,2
13,38,2,2
14,46,2,2
14,26,2,2
15,29,2,2
15,31,2,2
16,48,2,2
17,46,2,2
17,30,2,2
17,31,2,2
18,39,2,2
18,32,2,2
19,30,2,2
19,32,2,2
20,28,2,2
20,26,2,2
20,40,2,2
20,38,2,2
20,25,2,2
21,46,2,2
21,38,2,2
21,24,2,2
22,40,2,2
23,24,2,2
24,26,2,2
24,32,2,2
24,28,2,2
25,38,2,1
25,39,2,2
26,39,2,2
26,46,2,2
26,32,2,2
27,48,2,2
27,40,2,2
28,40,2,2
29,48,2,2
29,47,2,2
29,37,2,2
29,41,2,2
29,34,2,2
30,32,2,2
30,37,2,2
30,31,2,2
30,48,2,2
32,46,2,2
32,47,2,2
34,37,2,2
34,47,2,2
34,42,2,2
35,44,2,2
35,38,2,2
35,39,2,2
39,46,2,2
42,50,2,1
42,43,2,2
42,47,2,2
42,44,2,2
44,50,2,2
44,48,2,2
1,22,3,2
1,16,3,2
1,40,3,2
2,50,3,2
2,40,3,2
2,6,3,2
2,26,3,2
3,20,3,2
3,8,3,2
3,31,3,2
3,34,3,2
3,43,3,2
3,10,3,2
3,30,3,2
3,29,3,2
4,39,3,2
4,7,3,2
4,23,3,2
4,5,3,2
4,12,3,2
4,44,3,2
4,25,3,2
4,49,3,2
4,40,3,2
5,23,3,2
5,21,3,2
5,14,3,2
5,32,3,2
5,38,3,2
6,40,3,2
7,48,3,2
7,30,3,2
7,23,3,2
8,29,3,2
8,10,3,2
8,50,3,2
8,15,3,2
8,39,3,2
9,19,3,2
9,40,3,2
9,38,3,2
9,43,3,2
10,37,3,2
11,50,3,2
11,40,3,2
11,48,3,2
12,24,3,2
12,38,3,2
12,21,3,2
13,20,3,2
13,38,3,2
14,46,3,2
14,26,3,2
15,29,3,2
15,31,3,2
16,48,3,2
17,46,3,2
17,30,3,2
17,31,3,2
18,39,3,2
18,32,3,2
19,30,3,2
19,32,3,2
20,28,3,2
20,26,3,2
20,40,3,2
20,38,3,2
20,25,3,2
21,46,3,2
21,38,3,2
21,24,3,2
22,40,3,2
23,24,3,2
24,26,3,2
24,32,3,2
24,28,3,2
25,38,3,1
25,39,3,2
26,39,3,2
26,46,3,2
26,32,3,2
27,48,3,2
27,40,3,2
28,40,3,2
29,48,3,2
29,47,3,2
29,37,3,2
29,41,3,2
29,34,3,2
30,32,3,2
30,37,3,2
30,31,3,2
30,48,3,2
32,46,3,2
32,47,3,2
34,37,3,2
34,47,3,2
34,42,3,2
35,44,3,2
35,38,3,2
35,39,3,2
39,46,3,2
42,50,3,1
42,43,3,2
42,47,3,2
42,44,3,2
44,50,3,2
44,48,3,2
1,22,4,2
1,16,4,2
1,40,4,2
2,50,4,2
2,40,4,2
2,6,4,2
2,26,4,2
3,20,4,2
3,8,4,2
3,31,4,2
3,34,4,2
3,43,4,2
3,10,4,2
3,30,4,2
3,29,4,2
4,39,4,2
4,7,4,2
4,23,4,2
4,5,4,2
4,12,4,2
4,44,4,2
4,25,4,2
4,49,4,2
4,40,4,2
5,23,4,2
5,21,4,2
5,14,4,2
5,32,4,2
5,38,4,2
6,40,4,2
7,48,4,2
7,30,4,2
7,23,4,2
8,29,4,2
8,10,4,2
8,50,4,2
8,15,4,2
8,39,4,2
9,19,4,2
9,40,4,2
9,38,4,2
9,43,4,2
10,37,4,2
11,50,4,2
11,40,4,2
11,48,4,2
12,24,4,2
12,38,4,2
12,21,4,2
13,20,4,2
13,38,4,2
14,46,4,2
14,26,4,2
15,29,4,2
15,31,4,2
16,48,4,2
17,46,4,2
17,30,4,2
17,31,4,2
18,39,4,2
18,32,4,2
19,30,4,2
19,32,4,2
20,28,4,2
20,26,4,2
20,40,4,2
20,38,4,2
20,25,4,2
21,46,4,2
21,38,4,2
21,24,4,2
22,40,4,2
23,24,4,2
24,26,4,2
24,32,4,2
24,28,4,2
25,38,4,1
25,39,4,2
26,39,4,2
26,46,4,2
26,32,4,2
27,48,4,2
27,40,4,2
28,40,4,2
29,48,4,2
29,47,4,2
29,37,4,2
29,41,4,2
29,34,4,2
30,32,4,2
30,37,4,2
30,31,4,2
30,48,4,2
32,46,4,2
32,47,4,2
34,37,4,2
34,47,4,2
34,42,4,2
35,44,4,2
35,38,4,2
35,39,4,2
39,46,4,2
42,50,4,1
42,43,4,2
42,47,4,2
42,44,4,2
44,50,4,2
44,48,4,2
1,22,5,2
1,16,5,2
1,40,5,2
2,50,5,2
2,40,5,2
2,6,5,2
2,26,5,2
3,20,5,2
3,8,5,2
3,31,5,2
3,34,5,2
3,43,5,2
3,10,5,2
3,30,5,2
3,29,5,2
4,39,5,2
4,7,5,2
4,23,5,2
4,5,5,2
4,12,5,2
4,44,5,2
4,25,5,2
4,49,5,2
4,40,5,2
5,23,5,2
5,21,5,2
5,14,5,2
5,32,5,2
5,38,5,2
6,40,5,2
7,48,5,2
7,30,5,2
7,23,5,2
8,29,5,2
8,10,5,2
8,50,5,2
8,15,5,2
8,39,5,2
9,19,5,2
9,40,5,2
9,38,5,2
9,43,5,2
10,37,5,2
11,50,5,2
11,40,5,2
11,48,5,2
12,24,5,2
12,38,5,2
12,21,5,2
13,20,5,2
13,38,5,2
14,46,5,2
14,26,5,2
15,29,5,2
15,31,5,2
16,48,5,2
17,46,5,2
17,30,5,2
17,31,5,2
18,39,5,2
18,32,5,2
19,30,5,2
19,32,5,2
20,28,5,2
20,26,5,2
20,40,5,2
20,38,5,2
20,25,5,2
21,46,5,2
21,38,5,2
21,24,5,2
22,40,5,2
23,24,5,2
24,26,5,2
24,32,5,2
24,28,5,2
25,38,5,1
25,39,5,2
26,39,5,2
26,46,5,2
26,32,5,2
27,48,5,2
27,40,5,2
28,40,5,2
29,48,5,2
29,47,5,2
29,37,5,2
29,41,5,2
29,34,5,2
30,32,5,2
30,37,5,2
30,31,5,2
30,48,5,2
32,46,5,2
32,47,5,2
34,37,5,2
34,47,5,2
34,42,5,2
35,44,5,2
35,38,5,2
35,39,5,2
39,46,5,2
42,50,5,1
42,43,5,2
42,47,5,2
42,44,5,2
44,50,5,2
44,48,5,2
1,22,6,2
1,16,6,2
1,40,6,2
2,50,6,2
2,40,6,2
2,6,6,2
2,26,6,2
3,20,6,2
3,8,6,2
3,31,6,2
3,34,6,2
3,43,6,2
3,10,6,2
3,30,6,2
3,29,6,2
4,39,6,2
4,7,6,2
4,23,6,2
4,5,6,2
4,12,6,2
4,44,6,2
4,25,6,2
4,49,6,2
4,40,6,2
5,23,6,2
5,21,6,2
5,14,6,2
5,32,6,2
5,38,6,2
6,40,6,2
7,48,6,2
7,30,6,2
7,23,6,2
8,29,6,2
8,10,6,2
8,50,6,2
8,15,6,2
8,39,6,2
9,19,6,2
9,40,6,2
9,38,6,2
9,43,6,2
10,37,6,2
11,50,6,2
11,40,6,2
11,48,6,2
12,24,6,2
12,38,6,2
12,21,6,2
13,20,6,2
13,38,6,2
14,46,6,2
14,26,6,2
15,29,6,2
15,31,6,2
16,48,6,2
17,46,6,2
17,30,6,2
17,31,6,2
18,39,6,2
18,32,6,2
19,30,6,2
19,32,6,2
20,28,6,2
20,26,6,2
20,40,6,2
20,38,6,2
20,25,6,2
21,46,6,2
21,38,6,2
21,24,6,2
22,40,6,2
23,24,6,2
24,26,6,2
24,32,6,2
24,28,6,2
25,38,6,1
25,39,6,2
26,39,6,2
26,46,6,2
26,32,6,2
27,48,6,2
27,40,6,2
28,40,6,2
29,48,6,2
29,47,6,2
29,37,6,2
29,41,6,2
29,34,6,2
30,32,6,2
30,37,6,2
30,31,6,2
30,48,6,2
32,46,6,2
32,47,6,2
34,37,6,2
34,47,6,2
34,42,6,2
35,44,6,2
35,38,6,2
35,39,6,2
39,46,6,2
42,50,6,1
42,43,6,2
42,47,6,2
42,44,6,2
44,50,6,2
44,48,6,2
1,22,7,2
1,16,7,2
1,40,7,2
2,50,7,2
2,40,7,2
2,6,7,2
2,26,7,2
3,20,7,2
3,8,7,2
3,31,7,2
3,34,7,2
3,43,7,2
3,10,7,2
3,30,7,2
3,29,7,2
4,39,7,2
4,7,7,2
4,23,7,2
4,5,7,2
4,12,7,2
4,44,7,2
4,25,7,2
4,49,7,2
4,40,7,2
5,23,7,2
5,21,7,2
5,14,7,2
5,32,7,2
5,38,7,2
6,40,7,2
7,48,7,2
7,30,7,2
7,23,7,2
8,29,7,2
8,10,7,2
8,50,7,2
8,15,7,2
8,39,7,2
9,19,7,2
9,40,7,2
9,38,7,2
9,43,7,2
10,37,7,2
11,50,7,2
11,40,7,2
11,48,7,2
12,24,7,2
12,38,7,2
12,21,7,2
13,20,7,2
13,38,7,2
14,46,7,2
14,26,7,2
15,29,7,2
15,31,7,2
16,48,7,2
17,46,7,2
17,30,7,2
17,31,7,2
18,39,7,2
18,32,7,2
