household_id_1,household_id_2,timestep,link_type
1,22,0,2
1,40,0,2
2,40,0,2
3,20,0,2
3,34,0,2
3,43,0,2
3,10,0,2
4,5,0,2
4,12,0,2
4,44,0,2
4,49,0,2
5,23,0,2
5,21,0,2
5,14,0,2
5,32,0,2
6,40,0,2
7,23,0,2
8,10,0,2
8,50,0,2
8,15,0,2
8,39,0,2
9,19,0,2
9,40,0,2
10,37,0,2
11,50,0,2
12,24,0,2
13,20,0,2
13,38,0,2
14,46,0,2
14,26,0,2
15,29,0,2
15,31,0,2
16,48,0,2
17,46,0,2
17,31,0,2
18,39,0,2
19,32,0,2
21,46,0,2
21,38,0,2
23,24,0,2
24,28,0,2
25,38,0,1
26,32,0,2
27,48,0,2
27,45,0,2
28,40,0,2
29,37,0,2
30,37,0,2
32,47,0,2
34,47,0,2
35,38,0,2
35,39,0,2
39,46,0,2
42,43,0,2
1,16,1,2
1,40,1,2
2,6,1,2
3,20,1,2
3,8,1,2
3,31,1,2
3,30,1,2
3,29,1,2
4,39,1,2
4,23,1,2
4,5,1,2
4,49,1,2
4,40,1,2
5,32,1,2
5,38,1,2
7,48,1,2
8,29,1,2
8,10,1,2
8,15,1,2
9,19,1,2
9,38,1,2
9,43,1,2
10,37,1,2
12,24,1,2
12,38,1,2
13,38,1,2
14,46,1,2
14,26,1,2
15,29,1,2
15,31,1,2
16,48,1,2
17,30,1,2
18,39,1,2
19,32,1,2
20,28,1,2
20,38,1,2
21,38,1,2
23,24,1,2
24,32,1,2
25,39,1,2
26,32,1,2
27,48,1,2
27,40,1,2
29,48,1,2
29,37,1,2
30,31,1,2
30,48,1,2
32,46,1,2
34,37,1,2
34,47,1,2
34,42,1,2
39,46,1,2
42,47,1,2
44,50,1,2
44,48,1,2
1,22,2,2
2,26,2,2
3,20,2,2
3,8,2,2
3,31,2,2
3,43,2,2
3,10,2,2
3,29,2,2
4,39,2,2
4,7,2,2
4,12,2,2
4,25,2,2
4,49,2,2
4,40,2,2
5,23,2,2
5,14,2,2
6,40,2,2
7,23,2,2
8,10,2,2
8,50,2,2
8,15,2,2
8,39,2,2
9,19,2,2
9,38,2,2
9,43,2,2
10,37,2,2
11,48,2,2
12,38,2,2
14,46,2,2
14,26,2,2
15,31,2,2
17,31,2,2
18,39,2,2
19,30,2,2
20,40,2,2
20,38,2,2
21,24,2,2
22,40,2,2
24,26,2,2
24,28,2,2
