time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,22,1,0.0
1,1,repair,16,1,0.0
1,1,repair,40,1,0.0
1,0,vacant,22,1,0.0
1,0,vacant,16,1,0.0
1,0,vacant,40,1,0.0
1,2,sell,22,1,0.0
1,2,sell,16,1,0.0
1,2,sell,40,1,0.0
1,1,repair,50,2,0.0
1,1,repair,40,2,0.0
1,1,repair,6,2,0.0
1,1,repair,26,2,0.0
1,0,vacant,50,2,0.0
1,0,vacant,40,2,0.0
1,0,vacant,6,2,0.0
1,0,vacant,26,2,0.0
1,2,sell,50,2,0.0
1,2,sell,40,2,0.0
1,2,sell,6,2,0.0
1,2,sell,26,2,0.0
1,1,repair,20,3,0.0
1,1,repair,8,3,0.0
1,1,repair,31,3,0.0
1,1,repair,34,3,0.0
1,1,repair,43,3,0.0
1,1,repair,10,3,0.0
1,1,repair,30,3,0.0
1,1,repair,29,3,0.0
1,0,vacant,20,3,0.0
1,0,vacant,8,3,0.0
1,0,vacant,31,3,0.0
1,0,vacant,34,3,0.0
1,0,vacant,43,3,0.0
1,0,vacant,10,3,0.0
1,0,vacant,30,3,0.0
1,0,vacant,29,3,0.0
1,2,sell,20,3,0.0
1,2,sell,8,3,0.0
1,2,sell,31,3,0.0
1,2,sell,34,3,0.0
1,2,sell,43,3,0.0
1,2,sell,10,3,0.0
1,2,sell,30,3,0.0
1,2,sell,29,3,0.0
1,1,repair,39,4,0.0
1,1,repair,7,4,0.0
1,1,repair,23,4,0.0
1,1,repair,5,4,0.0
1,1,repair,12,4,0.0
1,1,repair,44,4,0.0
1,1,repair,25,4,0.0
1,1,repair,49,4,0.0
1,1,repair,40,4,0.0
1,0,vacant,39,4,0.0
1,0,vacant,7,4,0.0
1,0,vacant,23,4,0.0
1,0,vacant,5,4,0.0
1,0,vacant,12,4,0.0
1,0,vacant,44,4,0.0
1,0,vacant,25,4,0.0
1,0,vacant,49,4,0.0
1,0,vacant,40,4,0.0
1,2,sell,39,4,0.0
1,2,sell,7,4,0.0
1,2,sell,23,4,0.0
1,2,sell,5,4,0.0
1,2,sell,12,4,0.0
1,2,sell,44,4,0.0
1,2,sell,25,4,0.0
1,2,sell,49,4,0.0
1,2,sell,40,4,0.0
1,1,repair,23,5,0.0
1,1,repair,4,5,0.0
1,1,repair,21,5,0.0
1,1,repair,14,5,0.0
1,1,repair,32,5,0.0
1,1,repair,38,5,0.0
1,0,vacant,23,5,0.0
1,0,vacant,4,5,0.0
1,0,vacant,21,5,0.0
1,0,vacant,14,5,0.0
1,0,vacant,32,5,0.0
1,0,vacant,38,5,0.0
1,2,sell,23,5,0.0
1,2,sell,4,5,0.0
1,2,sell,21,5,0.0
1,2,sell,14,5,0.0
1,2,sell,32,5,0.0
1,2,sell,38,5,0.0
1,1,repair,40,6,0.0
1,1,repair,2,6,0.0
1,0,vacant,40,6,0.0
1,0,vacant,2,6,0.0
1,2,sell,40,6,0.0
1,2,sell,2,6,0.0
