household_id_1,household_id_2,timestep,link_type
1,190,0,2
2,38,0,2
2,115,0,2
2,110,0,2
2,172,0,2
3,133,0,2
4,101,0,2
4,13,0,2
4,51,0,2
6,171,0,2
6,100,0,2
7,81,0,2
7,65,0,2
7,182,0,2
7,10,0,2
7,112,0,2
8,132,0,2
8,198,0,2
9,189,0,2
10,154,0,2
10,72,0,2
10,12,0,2
10,151,0,2
10,180,0,2
10,158,0,2
10,83,0,2
10,112,0,2
10,182,0,2
10,31,0,2
11,83,0,2
12,198,0,2
14,189,0,2
14,47,0,2
15,158,0,2
15,200,0,2
15,180,0,2
16,189,0,2
18,171,0,2
20,141,0,2
20,197,0,2
20,166,0,2
20,180,0,2
20,114,0,2
21,145,0,2
22,151,0,2
22,111,0,2
23,190,0,1
25,141,0,2
26,133,0,2
26,121,0,2
26,44,0,2
26,157,0,2
31,140,0,2
31,151,0,2
32,88,0,2
32,130,0,2
33,41,0,2
34,190,0,2
35,158,0,1
35,121,0,2
36,119,0,2
36,141,0,2
37,83,0,2
37,117,0,2
37,198,0,2
37,96,0,2
38,110,0,2
38,39,0,2
38,133,0,2
38,52,0,2
38,115,0,2
39,97,0,2
39,41,0,2
39,115,0,2
40,111,0,2
41,64,0,2
41,151,0,2
43,133,0,2
43,54,0,2
43,188,0,2
43,189,0,2
43,163,0,2
43,119,0,2
43,177,0,2
43,190,0,2
44,157,0,2
44,48,0,2
44,86,0,2
44,133,0,2
45,105,0,1
45,140,0,2
45,180,0,2
46,121,0,2
47,100,0,2
47,93,0,2
48,157,0,2
48,78,0,2
48,65,0,2
48,69,0,2
51,74,0,2
52,110,0,2
52,198,0,2
53,166,0,2
53,105,0,2
54,177,0,1
54,133,0,2
54,121,0,2
57,83,0,2
58,158,0,2
58,121,0,2
59,189,0,1
60,199,0,2
61,111,0,2
61,190,0,2
64,198,0,2
65,188,0,2
65,119,0,2
66,96,0,2
69,185,0,2
70,190,0,2
71,198,0,2
72,111,0,2
72,177,0,2
72,112,0,2
72,182,0,2
72,185,0,2
72,198,0,2
73,180,0,2
74,113,0,2
74,136,0,2
74,121,0,2
74,105,0,2
76,190,0,2
77,141,0,2
79,121,0,2
81,189,0,2
83,101,0,2
83,98,0,2
83,198,0,2
83,182,0,2
83,169,0,2
83,112,0,2
83,111,0,2
84,111,0,2
85,133,0,2
85,194,0,2
85,145,0,2
86,96,0,2
87,199,0,2
88,148,0,2
88,116,0,2
90,116,0,2
92,140,0,2
95,189,0,2
96,168,0,2
96,149,0,2
96,117,0,2
96,192,0,2
96,190,0,2
97,167,0,1
97,129,0,2
97,190,0,2
98,111,0,2
99,199,0,2
101,141,0,2
101,198,0,2
102,140,0,1
102,136,0,2
103,167,0,2
103,190,0,2
104,199,0,2
105,136,0,2
106,190,0,2
106,188,0,2
110,115,0,1
111,128,0,2
114,199,0,2
114,166,0,2
115,133,0,2
116,164,0,2
116,141,0,2
117,194,0,2
117,120,0,2
118,197,0,2
119,190,0,2
119,188,0,2
119,167,0,2
127,189,0,2
127,182,0,2
129,150,0,2
129,140,0,2
130,172,0,2
132,162,0,2
132,197,0,2
132,185,0,2
133,183,0,2
137,140,0,1
138,145,0,1
140,175,0,2
140,154,0,2
140,151,0,2
143,199,0,2
149,190,0,2
151,198,0,2
151,171,0,2
152,158,0,2
152,160,0,2
154,180,0,2
154,160,0,2
154,158,0,2
159,189,0,2
162,188,0,2
164,198,0,2
165,189,0,2
167,171,0,2
168,175,0,2
170,198,0,1
171,199,0,2
177,183,0,2
177,198,0,2
187,189,0,2
188,189,0,2
189,196,0,2
196,198,0,2
1,190,1,2
2,38,1,2
2,115,1,2
2,110,1,2
2,172,1,2
3,133,1,2
4,101,1,2
4,13,1,2
4,51,1,2
6,171,1,2
6,100,1,2
7,81,1,2
7,65,1,2
7,182,1,2
7,10,1,2
7,112,1,2
8,132,1,2
8,198,1,2
9,189,1,2
10,154,1,2
10,72,1,2
10,12,1,2
10,151,1,2
10,158,1,2
10,83,1,2
10,112,1,2
10,182,1,2
10,31,1,2
11,83,1,2
12,198,1,2
14,189,1,2
14,47,1,2
15,158,1,2
15,200,1,2
16,189,1,2
18,171,1,2
21,145,1,2
22,151,1,2
22,111,1,2
23,190,1,1
26,133,1,2
26,121,1,2
26,44,1,2
26,157,1,2
31,140,1,2
31,151,1,2
32,88,1,2
32,130,1,2
33,41,1,2
34,190,1,2
35,158,1,1
35,121,1,2
36,119,1,2
37,83,1,2
37,117,1,2
37,198,1,2
37,96,1,2
38,110,1,2
38,39,1,2
38,133,1,2
38,52,1,2
38,115,1,2
39,97,1,2
39,41,1,2
39,115,1,2
40,111,1,2
41,64,1,2
41,151,1,2
43,133,1,2
43,54,1,2
43,188,1,2
43,189,1,2
43,163,1,2
43,119,1,2
43,177,1,2
43,190,1,2
44,157,1,2
44,48,1,2
44,86,1,2
44,133,1,2
45,105,1,1
45,140,1,2
46,121,1,2
47,100,1,2
47,93,1,2
48,157,1,2
48,78,1,2
48,65,1,2
48,69,1,2
51,74,1,2
52,110,1,2
52,198,1,2
53,166,1,2
53,105,1,2
54,177,1,1
54,133,1,2
54,121,1,2
57,83,1,2
58,158,1,2
58,121,1,2
59,189,1,1
60,199,1,2
61,111,1,2
61,190,1,2
