household_id_1,household_id_2,timestep,link_type
4,101,0,2
4,13,0,2
4,51,0,2
6,171,0,2
6,100,0,2
7,81,0,2
7,182,0,2
10,72,0,2
10,12,0,2
10,151,0,2
10,158,0,2
10,83,0,2
10,182,0,2
10,31,0,2
11,83,0,2
12,198,0,2
15,158,0,2
15,180,0,2
16,189,0,2
18,171,0,2
20,141,0,2
20,197,0,2
20,166,0,2
20,180,0,2
22,111,0,2
23,190,0,1
25,141,0,2
26,133,0,2
26,121,0,2
26,44,0,2
26,157,0,2
31,151,0,2
32,130,0,2
33,41,0,2
35,158,0,1
36,119,0,2
37,198,0,2
38,52,0,2
39,115,0,2
40,111,0,2
43,188,0,2
43,189,0,2
43,163,0,2
43,119,0,2
43,190,0,2
44,86,0,2
44,133,0,2
45,140,0,2
46,121,0,2
48,157,0,2
48,69,0,2
51,74,0,2
52,198,0,2
54,133,0,2
54,121,0,2
57,83,0,2
59,189,0,1
60,199,0,2
61,111,0,2
61,190,0,2
69,185,0,2
72,111,0,2
72,177,0,2
72,112,0,2
72,182,0,2
74,113,0,2
74,121,0,2
77,141,0,2
81,189,0,2
83,101,0,2
83,98,0,2
83,198,0,2
83,182,0,2
83,169,0,2
83,112,0,2
85,133,0,2
88,116,0,2
92,140,0,2
95,189,0,2
96,168,0,2
96,149,0,2
96,117,0,2
96,190,0,2
97,167,0,1
101,141,0,2
101,198,0,2
102,140,0,1
102,136,0,2
103,190,0,2
104,199,0,2
105,136,0,2
111,128,0,2
114,166,0,2
115,133,0,2
118,197,0,2
119,190,0,2
119,188,0,2
127,189,0,2
129,150,0,2
133,183,0,2
140,175,0,2
140,154,0,2
140,151,0,2
149,190,0,2
151,171,0,2
152,158,0,2
162,188,0,2
164,198,0,2
167,171,0,2
168,175,0,2
171,199,0,2
187,189,0,2
188,189,0,2
196,198,0,2
4,101,1,2
4,13,1,2
4,51,1,2
6,171,1,2
6,100,1,2
7,81,1,2
7,182,1,2
10,72,1,2
10,12,1,2
10,151,1,2
10,158,1,2
10,83,1,2
10,182,1,2
10,31,1,2
11,83,1,2
12,198,1,2
15,158,1,2
16,189,1,2
18,171,1,2
22,111,1,2
23,190,1,1
26,133,1,2
26,121,1,2
26,44,1,2
26,157,1,2
31,151,1,2
32,130,1,2
33,41,1,2
35,158,1,1
36,119,1,2
37,198,1,2
38,52,1,2
39,115,1,2
40,111,1,2
43,188,1,2
43,189,1,2
43,163,1,2
43,119,1,2
43,190,1,2
44,86,1,2
44,133,1,2
45,140,1,2
46,121,1,2
48,157,1,2
48,69,1,2
51,74,1,2
52,198,1,2
54,133,1,2
54,121,1,2
57,83,1,2
59,189,1,1
60,199,1,2
61,111,1,2
61,190,1,2
69,185,1,2
72,111,1,2
72,177,1,2
72,112,1,2
72,182,1,2
74,113,1,2
74,121,1,2
81,189,1,2
83,101,1,2
83,98,1,2
83,198,1,2
83,182,1,2
83,169,1,2
83,112,1,2
85,133,1,2
88,116,1,2
89,167,1,2
92,140,1,2
95,189,1,2
96,168,1,2
96,149,1,2
96,117,1,2
96,190,1,2
97,167,1,1
101,198,1,2
102,140,1,1
102,136,1,2
103,190,1,2
104,199,1,2
105,136,1,2
111,128,1,2
115,133,1,2
118,197,1,2
