household_id_1,household_id_2,link_type,timestep
41,12,1.0,0
41,8,2.0,0
41,40,2.0,0
41,17,1.0,0
41,37,1.0,0
41,34,2.0,0
41,20,2.0,0
41,33,1.0,0
41,43,1.0,0
41,25,1.0,0
41,30,2.0,0
41,24,2.0,0
41,11,1.0,0
41,48,2.0,0
41,31,1.0,0
41,32,2.0,0
41,6,2.0,0
41,42,1.0,0
12,8,1.0,0
12,17,1.0,0
12,37,2.0,0
12,49,1.0,0
12,33,2.0,0
12,43,2.0,0
12,39,1.0,0
12,27,2.0,0
12,29,1.0,0
12,24,2.0,0
12,13,1.0,0
12,50,2.0,0
12,31,1.0,0
12,21,1.0,0
12,7,2.0,0
12,44,2.0,0
12,6,2.0,0
12,35,1.0,0
12,3,1.0,0
12,42,1.0,0
12,26,1.0,0
8,5,1.0,0
8,49,1.0,0
8,20,1.0,0
8,43,2.0,0
8,27,2.0,0
8,14,1.0,0
8,9,2.0,0
8,11,1.0,0
8,48,1.0,0
8,13,2.0,0
8,31,1.0,0
8,32,2.0,0
8,35,2.0,0
8,42,2.0,0
8,2,2.0,0
40,17,1.0,0
40,5,1.0,0
40,37,1.0,0
40,20,1.0,0
40,47,2.0,0
40,18,1.0,0
40,25,2.0,0
40,27,2.0,0
40,29,1.0,0
40,16,2.0,0
40,24,2.0,0
40,50,1.0,0
40,31,2.0,0
40,15,2.0,0
40,6,2.0,0
40,35,1.0,0
40,22,1.0,0
40,23,1.0,0
40,2,2.0,0
40,26,1.0,0
4,5,2.0,0
4,34,2.0,0
4,49,1.0,0
4,43,2.0,0
4,18,1.0,0
4,27,1.0,0
4,29,2.0,0
4,14,1.0,0
4,16,1.0,0
4,36,2.0,0
4,28,2.0,0
4,11,1.0,0
4,48,1.0,0
4,31,1.0,0
4,44,2.0,0
4,15,1.0,0
4,6,1.0,0
4,23,2.0,0
4,42,1.0,0
17,43,1.0,0
17,25,1.0,0
17,29,1.0,0
17,16,1.0,0
17,24,2.0,0
17,48,1.0,0
17,13,1.0,0
17,46,2.0,0
17,50,1.0,0
17,10,2.0,0
17,31,2.0,0
17,21,1.0,0
17,7,1.0,0
17,32,1.0,0
17,6,2.0,0
17,22,1.0,0
17,23,1.0,0
17,45,2.0,0
17,42,2.0,0
5,1,1.0,0
5,47,1.0,0
5,39,2.0,0
5,13,1.0,0
5,10,1.0,0
5,31,1.0,0
5,21,2.0,0
5,6,2.0,0
5,23,2.0,0
5,42,2.0,0
37,34,1.0,0
37,19,2.0,0
37,20,1.0,0
37,33,2.0,0
37,25,2.0,0
37,27,1.0,0
37,9,2.0,0
37,50,2.0,0
37,10,1.0,0
37,44,2.0,0
37,15,2.0,0
37,35,2.0,0
37,3,1.0,0
37,42,1.0,0
37,26,1.0,0
34,49,1.0,0
34,1,1.0,0
34,33,1.0,0
34,43,1.0,0
34,27,1.0,0
34,29,1.0,0
34,14,2.0,0
34,36,1.0,0
34,28,2.0,0
34,9,1.0,0
34,11,2.0,0
34,48,2.0,0
34,31,2.0,0
34,7,1.0,0
34,44,2.0,0
34,15,1.0,0
34,32,1.0,0
34,38,1.0,0
34,3,1.0,0
34,42,1.0,0
49,19,1.0,0
49,33,1.0,0
49,43,2.0,0
49,39,2.0,0
49,29,2.0,0
49,14,1.0,0
49,30,2.0,0
49,9,2.0,0
49,11,2.0,0
49,13,2.0,0
49,10,1.0,0
49,31,2.0,0
49,21,1.0,0
49,6,1.0,0
49,22,2.0,0
49,23,1.0,0
49,42,2.0,0
49,2,1.0,0
1,19,2.0,0
1,33,1.0,0
1,25,1.0,0
1,27,1.0,0
1,29,1.0,0
1,14,2.0,0
1,36,1.0,0
1,11,1.0,0
1,48,2.0,0
1,13,2.0,0
1,46,2.0,0
1,50,1.0,0
1,21,2.0,0
1,32,1.0,0
1,38,1.0,0
1,6,1.0,0
1,35,2.0,0
1,22,1.0,0
1,3,2.0,0
19,43,1.0,0
19,16,2.0,0
19,24,2.0,0
19,28,1.0,0
19,9,2.0,0
19,46,1.0,0
19,21,1.0,0
19,7,2.0,0
19,44,2.0,0
19,38,1.0,0
19,6,1.0,0
19,35,2.0,0
19,23,2.0,0
19,42,2.0,0
19,2,2.0,0
19,26,1.0,0
20,33,2.0,0
20,18,1.0,0
20,25,1.0,0
20,29,1.0,0
20,14,1.0,0
20,24,2.0,0
20,36,2.0,0
20,28,2.0,0
20,9,1.0,0
20,11,2.0,0
20,13,1.0,0
20,50,1.0,0
20,7,1.0,0
20,42,1.0,0
20,2,1.0,0
33,25,1.0,0
33,29,2.0,0
33,11,1.0,0
33,48,1.0,0
33,10,1.0,0
33,21,2.0,0
33,15,1.0,0
33,3,1.0,0
33,45,1.0,0
33,42,1.0,0
33,2,2.0,0
33,26,2.0,0
43,18,2.0,0
43,27,1.0,0
43,30,1.0,0
43,28,2.0,0
43,9,2.0,0
43,48,1.0,0
43,13,1.0,0
43,46,1.0,0
43,10,2.0,0
43,44,1.0,0
43,6,2.0,0
43,35,2.0,0
43,23,1.0,0
43,3,2.0,0
43,45,1.0,0
47,39,2.0,0
47,30,2.0,0
47,16,2.0,0
47,36,1.0,0
47,9,1.0,0
47,11,1.0,0
47,48,2.0,0
47,46,1.0,0
47,10,1.0,0
47,15,2.0,0
47,32,2.0,0
47,38,2.0,0
47,35,2.0,0
47,23,2.0,0
47,3,2.0,0
47,45,2.0,0
47,42,2.0,0
47,2,2.0,0
18,39,2.0,0
18,30,1.0,0
18,16,2.0,0
18,9,1.0,0
18,48,1.0,0
18,46,1.0,0
18,50,2.0,0
18,31,1.0,0
18,21,2.0,0
18,32,2.0,0
18,38,2.0,0
18,6,2.0,0
18,35,2.0,0
18,23,1.0,0
18,42,2.0,0
18,2,2.0,0
18,26,2.0,0
25,30,1.0,0
25,28,1.0,0
25,10,1.0,0
25,15,2.0,0
25,38,2.0,0
25,6,1.0,0
25,35,1.0,0
25,22,2.0,0
25,3,2.0,0
25,42,1.0,0
39,16,1.0,0
39,28,2.0,0
39,44,1.0,0
39,38,1.0,0
39,6,2.0,0
39,22,1.0,0
39,23,2.0,0
39,42,1.0,0
39,26,2.0,0
27,29,1.0,0
27,14,1.0,0
27,30,1.0,0
27,24,2.0,0
27,36,2.0,0
27,48,1.0,0
27,50,1.0,0
27,21,2.0,0
27,44,1.0,0
27,6,1.0,0
27,23,2.0,0
27,3,1.0,0
27,42,1.0,0
27,2,2.0,0
29,16,2.0,0
29,11,2.0,0
29,46,1.0,0
29,31,2.0,0
29,21,1.0,0
29,7,1.0,0
29,44,2.0,0
29,32,2.0,0
29,38,1.0,0
29,35,1.0,0
29,22,2.0,0
29,23,1.0,0
29,3,2.0,0
29,42,1.0,0
14,16,1.0,0
14,36,1.0,0
14,48,2.0,0
14,13,1.0,0
14,21,1.0,0
14,44,2.0,0
14,38,2.0,0
14,6,1.0,0
14,22,1.0,0
14,23,1.0,0
14,2,1.0,0
30,9,1.0,0
30,48,1.0,0
30,46,2.0,0
30,50,2.0,0
30,10,1.0,0
30,31,1.0,0
30,44,2.0,0
30,15,2.0,0
30,35,2.0,0
30,45,1.0,0
16,36,2.0,0
16,9,2.0,0
16,48,2.0,0
16,13,1.0,0
16,10,1.0,0
16,31,2.0,0
16,21,2.0,0
16,15,2.0,0
16,32,1.0,0
16,6,1.0,0
16,22,2.0,0
16,23,1.0,0
16,3,2.0,0
16,45,1.0,0
16,26,1.0,0
24,36,1.0,0
24,28,1.0,0
24,13,1.0,0
24,50,2.0,0
24,31,2.0,0
24,44,1.0,0
24,15,1.0,0
24,22,1.0,0
24,23,1.0,0
24,3,1.0,0
24,42,1.0,0
24,26,1.0,0
36,9,1.0,0
36,11,1.0,0
36,13,1.0,0
36,46,1.0,0
36,10,2.0,0
36,21,2.0,0
36,7,2.0,0
36,32,1.0,0
36,6,2.0,0
36,23,2.0,0
36,45,2.0,0
36,2,2.0,0
36,26,2.0,0
