household_id_1,household_id_2,link_type,timestep
41,5,1.0,0
41,37,2.0,0
41,19,2.0,0
41,20,1.0,0
41,33,2.0,0
41,47,2.0,0
41,18,1.0,0
41,28,2.0,0
41,9,1.0,0
41,31,1.0,0
41,21,2.0,0
41,38,1.0,0
41,3,1.0,0
12,40,2.0,0
12,5,2.0,0
12,1,1.0,0
12,19,1.0,0
12,33,1.0,0
12,27,1.0,0
12,24,1.0,0
12,11,2.0,0
12,31,1.0,0
12,6,2.0,0
12,2,1.0,0
8,5,2.0,0
8,37,1.0,0
8,34,2.0,0
8,39,1.0,0
8,30,2.0,0
8,24,2.0,0
8,31,1.0,0
8,15,1.0,0
8,32,2.0,0
8,6,1.0,0
8,42,2.0,0
40,34,2.0,0
40,49,2.0,0
40,1,2.0,0
40,33,1.0,0
40,43,1.0,0
40,16,1.0,0
40,48,1.0,0
40,31,1.0,0
40,44,1.0,0
40,15,1.0,0
40,6,1.0,0
40,26,2.0,0
4,17,1.0,0
4,49,2.0,0
4,43,2.0,0
4,47,2.0,0
4,39,2.0,0
4,24,1.0,0
4,48,1.0,0
4,21,2.0,0
4,44,2.0,0
4,15,1.0,0
4,38,1.0,0
4,23,2.0,0
17,20,2.0,0
17,18,1.0,0
17,39,1.0,0
17,28,2.0,0
17,13,2.0,0
17,2,2.0,0
5,20,2.0,0
5,33,1.0,0
5,39,1.0,0
5,27,1.0,0
5,11,2.0,0
5,21,2.0,0
5,6,1.0,0
5,42,1.0,0
5,26,1.0,0
37,49,2.0,0
37,1,1.0,0
37,19,1.0,0
37,20,2.0,0
37,36,2.0,0
37,28,2.0,0
37,48,1.0,0
37,46,1.0,0
37,50,1.0,0
37,10,2.0,0
37,21,2.0,0
37,7,1.0,0
37,44,2.0,0
37,22,1.0,0
37,26,1.0,0
34,25,1.0,0
34,27,2.0,0
34,30,2.0,0
34,11,1.0,0
34,7,1.0,0
34,15,1.0,0
34,6,1.0,0
34,45,2.0,0
49,1,2.0,0
49,20,2.0,0
49,33,2.0,0
49,25,1.0,0
49,39,1.0,0
49,29,1.0,0
49,16,2.0,0
49,28,1.0,0
49,48,2.0,0
49,13,2.0,0
49,46,1.0,0
49,44,1.0,0
49,42,2.0,0
1,27,1.0,0
1,50,1.0,0
1,10,2.0,0
1,21,1.0,0
1,6,2.0,0
1,23,2.0,0
1,42,2.0,0
1,26,2.0,0
19,43,1.0,0
19,18,2.0,0
19,14,1.0,0
19,28,1.0,0
19,44,1.0,0
19,38,1.0,0
19,3,1.0,0
19,26,1.0,0
20,43,1.0,0
20,29,1.0,0
20,16,1.0,0
20,10,2.0,0
20,21,2.0,0
33,47,2.0,0
33,18,2.0,0
33,39,1.0,0
33,27,2.0,0
33,14,2.0,0
33,30,1.0,0
33,36,1.0,0
33,9,2.0,0
33,46,1.0,0
33,38,2.0,0
33,22,1.0,0
33,2,2.0,0
43,47,1.0,0
43,18,2.0,0
43,27,1.0,0
43,28,1.0,0
43,46,1.0,0
43,15,1.0,0
43,38,1.0,0
43,22,2.0,0
43,2,1.0,0
47,24,1.0,0
47,15,2.0,0
18,9,1.0,0
18,10,2.0,0
18,15,1.0,0
18,6,2.0,0
18,23,1.0,0
25,28,2.0,0
25,15,2.0,0
25,3,2.0,0
25,26,1.0,0
39,27,1.0,0
39,48,1.0,0
39,13,2.0,0
39,46,2.0,0
39,10,1.0,0
39,22,2.0,0
39,45,2.0,0
27,16,2.0,0
27,31,1.0,0
27,38,2.0,0
27,23,2.0,0
29,50,2.0,0
29,31,2.0,0
29,21,2.0,0
29,22,1.0,0
29,23,2.0,0
14,9,2.0,0
14,11,1.0,0
14,13,1.0,0
14,46,2.0,0
14,50,1.0,0
14,15,1.0,0
14,35,1.0,0
14,22,1.0,0
14,2,1.0,0
30,24,2.0,0
30,28,2.0,0
30,48,2.0,0
30,46,1.0,0
30,44,2.0,0
30,32,1.0,0
30,3,1.0,0
30,42,2.0,0
30,2,2.0,0
16,11,1.0,0
16,13,1.0,0
16,46,2.0,0
16,21,1.0,0
16,35,2.0,0
16,22,1.0,0
16,23,1.0,0
16,45,1.0,0
24,36,1.0,0
24,48,1.0,0
24,31,2.0,0
24,7,1.0,0
24,35,2.0,0
24,22,2.0,0
24,23,1.0,0
24,3,2.0,0
24,45,2.0,0
