home_1,home_2,link_count,num_possible,avg_link,type,home_1_number,home_2_number
dqcp176g,dqcp1m3b,1,2,0.5,0,1,1
dqcnc7hq,dqcncgje,1,3,0.3333333333333333,0,2,1
dqcnc29k,dqcnc8fs,1,3,0.3333333333333333,0,2,1
dqcngqhc,dqcngqje,1,2,0.5,0,1,1
dqcnbbdq,dqcnbbds,1,2,0.5,0,1,1
dqcncsjm,dqcp1wwp,1,3,0.3333333333333333,0,2,1
dqcnbchm,dqcnf523,1,2,0.5,0,1,1
dqcng43b,dqcng44h,1,3,0.3333333333333333,0,1,2
dqcnfpuz,dqcp1gsz,1,2,0.5,0,1,1
dqcp473c,dqcp4n30,1,2,0.5,0,1,1
dqchf7jt,dqcnc5kr,1,2,0.5,0,1,1
dqcncu6f,dqcnfkys,1,2,0.5,0,1,1
dqcncvkb,dqcncwqz,1,2,0.5,0,1,1
dqcnfk5z,dqcnfs2n,1,2,0.5,0,1,1
dqcp1rx0,dqcp4qe4,1,2,0.5,0,1,1
dqcp1yv9,dqcp38qj,1,2,0.5,0,1,1
dqcnctbb,dqcp4hjy,2,4,0.5,0,3,1
dqcne6ct,dqcngqk6,1,2,0.5,0,1,1
dqcngjkj,dqcngqwm,1,2,0.5,0,1,1
dqcner94,dqcng470,1,2,0.5,0,1,1
dqcnf6cg,dqcnfkys,1,2,0.5,0,1,1
dqcncf4c,dqcncf6c,1,2,0.5,0,1,1
dqcnf6cj,dqcnft8c,1,2,0.5,0,1,1
dqcncfq5,dqcncv9s,1,2,0.5,0,1,1
dqcne4gy,dqcp4j6g,1,2,0.5,0,1,1
dqcng06w,dqcng0es,1,4,0.25,0,3,1
dqcnf3uz,dqcnfkys,1,2,0.5,0,1,1
dqcnc6tb,dqcncedr,1,3,0.3333333333333333,0,2,1
dqcnc7bc,dqcncsjg,1,2,0.5,0,1,1
dqcp1z6r,dqcp1zzd,2,3,0.6666666666666666,0,1,2
dqcncdq7,dqcncvvc,1,3,0.3333333333333333,0,2,1
dqcp1ys8,dqcp1zvd,1,2,0.5,0,1,1
dqcp4kgx,dqcp4q3e,1,2,0.5,0,1,1
dqcnc78q,dqcng5m0,2,3,0.6666666666666666,0,1,2
dqcnc7hq,dqcncw8h,1,3,0.3333333333333333,0,2,1
dqcner94,dqcp1w3j,1,3,0.3333333333333333,0,1,2
dqcnf794,dqcnfmdf,1,2,0.5,0,1,1
dqcncwc5,dqcp4935,1,4,0.25,0,3,1
dqcnc0y3,dqcnchjf,1,2,0.5,0,1,1
dqcp1rzr,dqcp32j7,1,2,0.5,0,1,1
dqcncf6c,dqcncf6e,1,2,0.5,0,1,1
dqchf7jt,dqcnctbb,2,4,0.5,0,1,3
dqcnfffs,dqcnfss1,1,2,0.5,0,1,1
dqcng4te,dqcng4v0,1,2,0.5,0,1,1
dqcnc0gn,dqcnc86d,1,2,0.5,0,1,1
dqcnfqc3,dqcp170y,2,4,0.5,0,2,2
dqcncx6x,dqcncxbg,1,2,0.5,0,1,1
dqcne1qu,dqcp4hyd,1,2,0.5,1,1,1
dqcn9xvx,dqcnc9yz,1,2,0.5,0,1,1
dqcp1wg8,dqcp1z73,2,3,0.6666666666666666,0,2,1
dqcp1gxv,dqcp4kgd,1,3,0.3333333333333333,0,1,2
dqcn9r0y,dqcnc90y,1,4,0.25,0,2,2
dqcnenmf,dqcng1mp,2,3,0.6666666666666666,0,2,1
dqcnc2sv,dqcnc954,1,2,0.5,0,1,1
dqcncgsj,dqcnf6ew,1,2,0.5,0,1,1
dqcncfjz,dqcncv9s,1,2,0.5,0,1,1
dqcp4k9b,dqcp4p1r,1,2,0.5,0,1,1
dqcncv9e,dqcnf47s,1,2,0.5,0,1,1
dqcncfjz,dqcncjfc,1,2,0.5,0,1,1
dqcncvy0,dqcp1m1z,1,2,0.5,0,1,1
dqcng23k,dqcng2bf,2,4,0.5,0,1,3
dqcncf69,dqcnctbb,2,5,0.4,0,2,3
dqcng0x3,dqcng4te,1,2,0.5,0,1,1
dqcne1qu,dqcp473c,1,2,0.5,0,1,1
dqcncf69,dqcnfss0,4,5,0.8,0,2,3
dqcnc9vh,dqcnf1dq,2,3,0.6666666666666666,0,2,1
dqcncvhv,dqcp41gx,1,2,0.5,0,1,1
dqcng0rh,dqcngjgx,1,3,0.3333333333333333,0,1,2
dqcnf1g2,dqcnf1g9,2,4,0.5,0,2,2
dqcnc2sv,dqcnc54d,1,2,0.5,0,1,1
dqcp4hth,dqcp4kgd,2,3,0.6666666666666666,0,1,2
dqcnf559,dqcngf7g,1,2,0.5,0,1,1
dqcp1wk6,dqcp4ndf,1,2,0.5,0,1,1
dqcng5m8,dqcng746,1,3,0.3333333333333333,0,2,1
dqcnc3fk,dqcnc9yz,1,2,0.5,0,1,1
dqcnf6cg,dqcnfss0,2,4,0.5,0,1,3
dqcnfkw0,dqcp1yek,1,3,0.3333333333333333,0,1,2
dqcp1yek,dqcp4jrz,2,4,0.5,0,2,2
dqcnc1m6,dqcnc4b3,1,2,0.5,0,1,1
dqcncfjz,dqcnfmdf,1,2,0.5,0,1,1
dqcnfkys,dqcnfpnu,1,2,0.5,0,1,1
dqcncf4c,dqcne1n4,1,2,0.5,0,1,1
dqcp1wbz,dqcp1yv9,1,2,0.5,0,1,1
dqcnc6ht,dqcp4jmq,1,2,0.5,0,1,1
dqcnc0gn,dqcnd3zv,1,2,0.5,0,1,1
dqcnc8ft,dqcncwqx,1,2,0.5,0,1,1
dqcngqwq,dqcngrhf,1,2,0.5,0,1,1
dqcp1xyv,dqcp1yek,1,3,0.3333333333333333,0,1,2
dqcnfmdf,dqcnu4cm,1,2,0.5,0,1,1
dqcnfs2t,dqcnfshh,1,2,0.5,0,1,1
dqcnfpuy,dqcnfpuz,1,2,0.5,1,1,1
dqcnfmyp,dqcnfqeh,1,2,0.5,0,1,1
dqcnc778,dqcnc77d,1,2,0.5,0,1,1
dqcp1gmx,dqcp1gmz,4,4,1.0,0,2,2
dqcncfq5,dqcncgvu,1,2,0.5,0,1,1
dqcp4jxf,dqcp4m5p,1,3,0.3333333333333333,0,2,1
dqcn7m99,dqcnbchv,1,2,0.5,0,1,1
dqcp1gsz,dqcp1w2z,1,3,0.3333333333333333,0,1,2
dqcnc77d,dqcnfbhu,1,2,0.5,0,1,1
dqcncum1,dqcncum5,2,3,0.6666666666666666,1,1,2
dqcncuc6,dqcng5m0,1,3,0.3333333333333333,0,1,2
dqcp4j1c,dqcp4kgx,1,2,0.5,0,1,1
dqcp1wg8,dqcp387x,1,3,0.3333333333333333,0,2,1
dqcncfne,dqcnf1dt,2,3,0.6666666666666666,0,1,2
dqcnfq3v,dqcnfq3y,1,2,0.5,0,1,1
dqcncu74,dqcncvvc,1,2,0.5,0,1,1
dqcnf69x,dqcnfkng,2,3,0.6666666666666666,0,2,1
dqcp1ym5,dqcp3bw4,2,3,0.6666666666666666,0,1,2
