household_id_1,household_id_2,link_type,timestep
41,49,2.0,0
41,25,2.0,0
41,48,2.0,0
41,46,2.0,0
41,50,2.0,0
41,31,2.0,0
41,21,2.0,0
41,15,2.0,0
41,22,2.0,0
41,42,2.0,0
12,8,2.0,0
12,4,2.0,0
12,17,2.0,0
12,34,2.0,0
12,20,2.0,0
12,43,2.0,0
12,18,2.0,0
12,25,2.0,0
12,16,2.0,0
12,13,2.0,0
12,50,2.0,0
12,10,2.0,0
12,15,2.0,0
12,35,2.0,0
12,22,2.0,0
12,23,2.0,0
8,4,2.0,0
8,5,2.0,0
8,33,2.0,0
8,18,2.0,0
8,27,2.0,0
8,29,2.0,0
8,36,2.0,0
8,28,2.0,0
8,9,2.0,0
8,31,2.0,0
8,21,2.0,0
8,15,2.0,0
8,22,2.0,0
8,3,2.0,0
40,17,2.0,0
40,34,2.0,0
40,33,2.0,0
40,43,2.0,0
40,18,2.0,0
40,25,2.0,0
40,39,2.0,0
40,27,2.0,0
40,30,2.0,0
40,28,2.0,0
40,45,2.0,0
4,11,2.0,0
4,31,2.0,0
4,21,2.0,0
4,44,2.0,0
17,20,2.0,0
17,43,2.0,0
17,29,2.0,0
17,30,2.0,0
17,28,2.0,0
17,13,2.0,0
17,50,2.0,0
17,31,2.0,0
17,15,2.0,0
17,32,2.0,0
17,38,2.0,0
17,35,2.0,0
17,22,2.0,0
17,3,2.0,0
17,42,2.0,0
5,20,2.0,0
5,33,1.0,0
5,43,2.0,0
5,18,2.0,0
5,39,2.0,0
5,10,2.0,0
5,15,2.0,0
5,38,2.0,0
5,6,2.0,0
5,22,2.0,0
5,3,2.0,0
5,45,2.0,0
37,19,2.0,0
37,33,2.0,0
37,18,2.0,0
37,29,2.0,0
37,24,2.0,0
37,36,2.0,0
37,13,2.0,0
37,31,2.0,0
37,7,2.0,0
37,15,2.0,0
37,38,2.0,0
37,22,2.0,0
37,3,2.0,0
37,2,2.0,0
34,27,2.0,0
34,13,2.0,0
34,10,2.0,0
34,7,2.0,0
34,44,2.0,0
34,38,2.0,0
34,35,2.0,0
34,42,2.0,0
49,20,2.0,0
49,47,2.0,0
49,39,2.0,0
49,48,2.0,0
49,46,2.0,0
49,50,2.0,0
49,21,2.0,0
49,44,2.0,0
49,3,2.0,0
19,29,2.0,0
19,30,2.0,0
19,16,2.0,0
19,11,2.0,0
19,31,2.0,0
19,7,2.0,0
19,15,2.0,0
19,2,2.0,0
20,29,2.0,0
20,10,2.0,0
20,21,2.0,0
20,15,2.0,0
20,32,2.0,0
20,6,2.0,0
20,35,2.0,0
20,22,2.0,0
20,42,2.0,0
33,39,2.0,0
33,14,2.0,0
33,16,2.0,0
33,24,2.0,0
33,36,2.0,0
33,28,2.0,0
33,9,2.0,0
33,50,2.0,0
33,21,2.0,0
33,32,2.0,0
33,38,2.0,0
33,23,2.0,0
33,26,2.0,0
43,27,2.0,0
43,48,2.0,0
43,13,2.0,0
43,46,2.0,0
43,21,2.0,0
43,44,2.0,0
43,15,2.0,0
43,45,2.0,0
47,16,1.0,0
47,48,2.0,0
47,13,2.0,0
