household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcp473c,2.0,0
dqcp176g,dqcne6ct,2.0,0
dqcp176g,dqcp1z6r,2.0,0
dqcp176g,dqcp1ys8,2.0,0
dqcp176g,dqcp4kgx,2.0,0
dqcp176g,dqcnf794,2.0,0
dqcp176g,dqcncwc5,2.0,0
dqcp176g,dqcncf6c,2.0,0
dqcp176g,dqcncx6x,2.0,0
dqcp176g,dqcp1gxv,2.0,0
dqcnc7hq,dqcnc29k,2.0,0
dqcnc7hq,dqcnbbdq,2.0,0
dqcnc7hq,dqcncsjm,2.0,0
dqcnc7hq,dqcnfpuz,2.0,0
dqcnc7hq,dqcncvkb,2.0,0
dqcnc7hq,dqcp1rx0,2.0,0
dqcnc7hq,dqcnctbb,2.0,0
dqcnc7hq,dqcne6ct,2.0,0
dqcnc7hq,dqcncfq5,2.0,0
dqcnc7hq,dqcncdq7,2.0,0
dqcnc7hq,dqcp4kgx,2.0,0
dqcnc7hq,dqcnc78q,2.0,0
dqcnc7hq,dqcncf6c,2.0,0
dqcnc7hq,dqcnfqc3,2.0,0
dqcnc7hq,dqcncx6x,2.0,0
dqcnc7hq,dqcne1qu,2.0,0
dqcnc29k,dqcnbbdq,2.0,0
dqcnc29k,dqcnbchm,2.0,0
dqcnc29k,dqcnfk5z,2.0,0
dqcnc29k,dqcnctbb,2.0,0
dqcnc29k,dqcner94,2.0,0
dqcnc29k,dqcnf6cg,2.0,0
dqcnc29k,dqcng06w,2.0,0
dqcnc29k,dqcnf3uz,2.0,0
dqcnc29k,dqcnc6tb,2.0,0
dqcnc29k,dqcnf794,2.0,0
dqcnc29k,dqcncwc5,2.0,0
dqcnc29k,dqcncf6c,2.0,0
dqcnc29k,dqcncx6x,2.0,0
dqcnc29k,dqcn9xvx,2.0,0
dqcngqhc,dqcncsjm,2.0,0
dqcngqhc,dqcnfpuz,2.0,0
dqcngqhc,dqcnfk5z,2.0,0
dqcngqhc,dqcp1rx0,2.0,0
dqcngqhc,dqcnctbb,2.0,0
dqcngqhc,dqcne6ct,2.0,0
dqcngqhc,dqcngjkj,2.0,0
dqcngqhc,dqcner94,2.0,0
dqcngqhc,dqcnf6cj,2.0,0
dqcngqhc,dqcnf3uz,2.0,0
dqcngqhc,dqcp1wg8,2.0,0
dqcnbbdq,dqcnc7bc,2.0,0
dqcnbbdq,dqcnf794,2.0,0
dqcnbbdq,dqcncwc5,2.0,0
dqcnbbdq,dqcp1rzr,2.0,0
dqcncsjm,dqcncvkb,2.0,0
dqcncsjm,dqcp1rx0,2.0,0
dqcncsjm,dqcnf6cg,2.0,0
dqcncsjm,dqcnf6cj,2.0,0
dqcncsjm,dqcnf3uz,2.0,0
dqcncsjm,dqcncdq7,2.0,0
dqcncsjm,dqcp4kgx,2.0,0
dqcncsjm,dqcnf794,2.0,0
dqcncsjm,dqcncf6c,2.0,0
dqcncsjm,dqcnfffs,2.0,0
dqcncsjm,dqcng4te,2.0,0
dqcncsjm,dqcnfqc3,2.0,0
dqcncsjm,dqcncx6x,2.0,0
dqcncsjm,dqcn9xvx,2.0,0
dqcncsjm,dqcp1gxv,2.0,0
dqcnbchm,dqcncvkb,2.0,0
dqcnbchm,dqcnfk5z,1.0,0
dqcnbchm,dqcp1rx0,2.0,0
dqcnbchm,dqcnctbb,2.0,0
dqcnbchm,dqcngjkj,2.0,0
dqcnbchm,dqcnc78q,2.0,0
dqcnbchm,dqcncf6c,2.0,0
dqcnbchm,dqcng4te,2.0,0
dqcnbchm,dqcnc0gn,2.0,0
dqcnbchm,dqcncx6x,2.0,0
dqcnbchm,dqcn9xvx,2.0,0
dqcnbchm,dqcp1wg8,2.0,0
dqcng43b,dqcncu6f,2.0,0
dqcng43b,dqcnfk5z,2.0,0
dqcng43b,dqcnctbb,2.0,0
dqcng43b,dqcnf6cg,2.0,0
dqcng43b,dqcne4gy,2.0,0
dqcng43b,dqcng06w,2.0,0
dqcng43b,dqcncdq7,2.0,0
dqcng43b,dqcnf794,2.0,0
dqcng43b,dqcnc0y3,2.0,0
dqcng43b,dqcncf6c,2.0,0
dqcng43b,dqcng4te,2.0,0
dqcng43b,dqcncx6x,2.0,0
dqcng43b,dqcn9xvx,2.0,0
dqcng43b,dqcn9r0y,2.0,0
dqcnfpuz,dqcner94,2.0,0
dqcnfpuz,dqcncdq7,2.0,0
dqcnfpuz,dqcnc78q,2.0,0
dqcnfpuz,dqcnc0y3,2.0,0
dqcnfpuz,dqcp1rzr,2.0,0
dqcnfpuz,dqcng4te,2.0,0
dqcnfpuz,dqcnfqc3,2.0,0
dqcnfpuz,dqcp1gxv,2.0,0
dqcp473c,dqcncvkb,2.0,0
dqcp473c,dqcp1yv9,2.0,0
dqcp473c,dqcngjkj,2.0,0
dqcp473c,dqcp1z6r,2.0,0
dqcp473c,dqcp1ys8,2.0,0
dqcp473c,dqcp4kgx,2.0,0
dqcp473c,dqcncwc5,2.0,0
dqcp473c,dqcp1rzr,2.0,0
dqcp473c,dqcn9xvx,2.0,0
dqcncu6f,dqcnf6cg,2.0,0
dqcncu6f,dqcnf6cj,2.0,0
dqcncu6f,dqcncfq5,2.0,0
dqcncu6f,dqcnc7bc,2.0,0
dqcncu6f,dqcnf794,2.0,0
dqcncu6f,dqcnc0y3,2.0,0
dqcncu6f,dqcncf6c,2.0,0
dqcncu6f,dqcn9r0y,2.0,0
dqcncvkb,dqcnf6cg,2.0,0
dqcncvkb,dqcnc78q,2.0,0
dqcncvkb,dqcncwc5,2.0,0
dqcncvkb,dqcncf6c,2.0,0
dqcncvkb,dqcnfffs,2.0,0
dqcncvkb,dqcnc0gn,2.0,0
dqcncvkb,dqcnfqc3,2.0,0
dqcncvkb,dqcncx6x,2.0,0
dqcncvkb,dqcp1gxv,2.0,0
dqcnfk5z,dqcngjkj,2.0,0
dqcnfk5z,dqcncf4c,2.0,0
dqcnfk5z,dqcncfq5,2.0,0
dqcnfk5z,dqcne4gy,2.0,0
dqcnfk5z,dqcng06w,2.0,0
dqcnfk5z,dqcnf3uz,2.0,0
dqcnfk5z,dqcnc6tb,2.0,0
dqcnfk5z,dqcp4kgx,2.0,0
dqcnfk5z,dqcncwc5,2.0,0
dqcnfk5z,dqcnfffs,2.0,0
dqcnfk5z,dqcng4te,2.0,0
dqcnfk5z,dqcne1qu,2.0,0
dqcnfk5z,dqcnenmf,2.0,0
dqcp1rx0,dqcner94,2.0,0
dqcp1rx0,dqcp1z6r,2.0,0
dqcp1rx0,dqcncdq7,2.0,0
dqcp1rx0,dqcp1ys8,2.0,0
dqcp1rx0,dqcncwc5,2.0,0
dqcp1rx0,dqcp1rzr,2.0,0
dqcp1rx0,dqcncf6c,2.0,0
dqcp1rx0,dqcp1wg8,2.0,0
dqcp1yv9,dqcncfq5,1.0,0
dqcp1yv9,dqcp1z6r,2.0,0
dqcp1yv9,dqcncdq7,2.0,0
dqcp1yv9,dqcnc0y3,2.0,0
dqcp1yv9,dqcp1rzr,2.0,0
dqcp1yv9,dqcnfqc3,2.0,0
dqcp1yv9,dqcp1wg8,2.0,0
dqcnctbb,dqcncf4c,2.0,0
dqcnctbb,dqcnf3uz,2.0,0
dqcnctbb,dqcnc6tb,2.0,0
dqcnctbb,dqcncdq7,2.0,0
dqcnctbb,dqcnc78q,2.0,0
dqcnctbb,dqcncwc5,2.0,0
dqcnctbb,dqcncf6c,2.0,0
dqcnctbb,dqcncx6x,2.0,0
dqcnctbb,dqcp1gxv,2.0,0
dqcne6ct,dqcner94,2.0,0
dqcne6ct,dqcncdq7,2.0,0
dqcne6ct,dqcnenmf,2.0,0
dqcngjkj,dqcp4kgx,2.0,0
dqcngjkj,dqcnc78q,2.0,0
dqcngjkj,dqcncwc5,2.0,0
dqcngjkj,dqcnfffs,2.0,0
dqcngjkj,dqcng4te,2.0,0
dqcngjkj,dqcncx6x,2.0,0
dqcngjkj,dqcnenmf,2.0,0
dqcner94,dqcng06w,2.0,0
dqcner94,dqcnc0y3,2.0,0
dqcner94,dqcnfffs,2.0,0
dqcnf6cg,dqcncf4c,2.0,0
dqcnf6cg,dqcnf6cj,2.0,0
dqcnf6cg,dqcnf3uz,2.0,0
dqcnf6cg,dqcnc6tb,2.0,0
dqcnf6cg,dqcncdq7,2.0,0
dqcnf6cg,dqcnf794,2.0,0
dqcnf6cg,dqcnc0gn,2.0,0
dqcnf6cg,dqcp1wg8,2.0,0
dqcnf6cg,dqcn9r0y,2.0,0
dqcncf4c,dqcne4gy,2.0,0
dqcncf4c,dqcnf3uz,2.0,0
dqcncf4c,dqcnc6tb,2.0,0
dqcncf4c,dqcnc7bc,2.0,0
dqcncf4c,dqcnc78q,2.0,0
dqcncf4c,dqcnfffs,2.0,0
dqcnf6cj,dqcnc6tb,2.0,0
dqcnf6cj,dqcnc7bc,2.0,0
dqcnf6cj,dqcncdq7,2.0,0
dqcnf6cj,dqcncf6c,2.0,0
dqcnf6cj,dqcnfffs,2.0,0
dqcnf6cj,dqcnc0gn,2.0,0
dqcnf6cj,dqcncx6x,2.0,0
dqcncfq5,dqcnc6tb,2.0,0
dqcncfq5,dqcncdq7,2.0,0
dqcncfq5,dqcnfffs,2.0,0
dqcncfq5,dqcnc0gn,2.0,0
dqcncfq5,dqcne1qu,2.0,0
dqcncfq5,dqcp1wg8,2.0,0
dqcne4gy,dqcng06w,2.0,0
dqcne4gy,dqcnf3uz,2.0,0
dqcne4gy,dqcncdq7,2.0,0
dqcne4gy,dqcn9r0y,2.0,0
dqcne4gy,dqcnenmf,2.0,0
dqcng06w,dqcnf3uz,2.0,0
dqcng06w,dqcnc7bc,2.0,0
dqcng06w,dqcnc78q,2.0,0
dqcng06w,dqcnf794,2.0,0
dqcng06w,dqcnfqc3,2.0,0
dqcng06w,dqcnenmf,2.0,0
dqcnf3uz,dqcncdq7,2.0,0
dqcnf3uz,dqcp4kgx,2.0,0
dqcnf3uz,dqcnf794,2.0,0
dqcnf3uz,dqcnfffs,2.0,0
dqcnf3uz,dqcnc0gn,2.0,0
dqcnf3uz,dqcnfqc3,2.0,0
dqcnc6tb,dqcnc7bc,2.0,0
dqcnc6tb,dqcncf6c,2.0,0
dqcnc6tb,dqcnfffs,2.0,0
dqcnc6tb,dqcnc0gn,2.0,0
dqcnc6tb,dqcncx6x,2.0,0
dqcnc6tb,dqcne1qu,2.0,0
dqcnc6tb,dqcn9r0y,2.0,0
dqcnc7bc,dqcp1ys8,2.0,0
dqcnc7bc,dqcnc78q,2.0,0
dqcnc7bc,dqcnf794,2.0,0
dqcnc7bc,dqcng4te,2.0,0
dqcnc7bc,dqcnc0gn,2.0,0
dqcnc7bc,dqcnfqc3,2.0,0
dqcnc7bc,dqcn9xvx,2.0,0
dqcnc7bc,dqcnenmf,2.0,0
dqcp1z6r,dqcp1ys8,2.0,0
dqcp1z6r,dqcp1wg8,2.0,0
dqcncdq7,dqcnc78q,2.0,0
dqcncdq7,dqcncwc5,2.0,0
dqcncdq7,dqcnc0y3,2.0,0
dqcncdq7,dqcng4te,2.0,0
dqcncdq7,dqcncx6x,2.0,0
dqcncdq7,dqcn9xvx,2.0,0
dqcncdq7,dqcp1wg8,2.0,0
dqcncdq7,dqcp1gxv,2.0,0
dqcncdq7,dqcn9r0y,2.0,0
dqcp1ys8,dqcnc78q,2.0,0
dqcp1ys8,dqcnfqc3,2.0,0
dqcp1ys8,dqcp1wg8,2.0,0
dqcp4kgx,dqcncwc5,2.0,0
dqcp4kgx,dqcncx6x,2.0,0
dqcnc78q,dqcng4te,2.0,0
dqcnc78q,dqcnc0gn,2.0,0
dqcnc78q,dqcnfqc3,2.0,0
dqcnc78q,dqcn9xvx,2.0,0
dqcnc78q,dqcp1gxv,2.0,0
dqcnf794,dqcn9r0y,2.0,0
dqcnf794,dqcnenmf,2.0,0
dqcncwc5,dqcncf6c,2.0,0
