household_id,building_value,income,damage_level,population_scaled,age,race,community_dqchf7,community_dqcn9r,community_dqcn9x,community_dqcnbb,community_dqcnbc,community_dqcnc0,community_dqcnc2,community_dqcnc6,community_dqcnc7,community_dqcncd,community_dqcncf,community_dqcncs,community_dqcnct,community_dqcncu,community_dqcncv,community_dqcncw,community_dqcncx,community_dqcne1,community_dqcne4,community_dqcne6,community_dqcnen,community_dqcner,community_dqcnf3,community_dqcnf6,community_dqcnf7,community_dqcnff,community_dqcnfk,community_dqcnfp,community_dqcnfq,community_dqcng0,community_dqcng4,community_dqcngj,community_dqcngq,community_dqcp17,community_dqcp1g,community_dqcp1r,community_dqcp1w,community_dqcp1y,community_dqcp1z,community_dqcp47,community_dqcp4k
41,0.6900575951779573,0.0612655400897359,0.0,1.0,0.8652255414709338,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0.9205667417481916,0.3671809450074747,0.0,0.4285714285714285,0.7449959110390383,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3051638536378356,0.626722730231411,0.0,1.0,0.7861382122364013,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.6471764120994591,0.4393278121660373,0.0,0.2857142857142857,0.8352965043418747,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0.4496982158970555,0.3310261193070482,0.0,0.7142857142857143,0.5187491262504025,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.2816073367689747,0.3377898859116054,1.0,0.4285714285714285,0.473028282188224,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.4590921223256527,0.566738707800672,0.0,0.4285714285714285,0.2754915524201898,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.5772513097520914,0.6420194283528475,0.5,0.2857142857142857,0.2184554366779884,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,0.4859909052074156,0.4549165791269841,0.0,0.4285714285714285,0.7169252646671649,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.3313460791058653,0.7891090582251917,0.5,0.5714285714285714,0.1347861697699821,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.5268184862776781,0.3952935640926859,0.25,0.7142857142857143,0.5270981257527434,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.5599999838270119,0.3730891248540453,0.5,0.2857142857142857,0.1344602048920302,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0933004539580938,0.7456078241380891,0.25,0.1428571428571428,0.3492001516902035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.6704549546083097,0.1793049769655797,0.5,0.8571428571428571,0.3516957326613277,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.3572740833524557,0.1178969390487033,0.5,0.4285714285714285,0.8056737887706895,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0.4856765639513024,0.3989426772706571,0.75,0.1428571428571428,0.6059040107805028,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,0.4324923736963441,0.861761762019484,0.5,0.8571428571428571,0.1470854378362909,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5439880222307097,0.2348090876833174,0.0,0.5714285714285714,0.812224237126947,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.6800225770343222,0.3863856325928205,0.0,1.0,0.3219150686476018,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,0.5910105880802072,0.4725241347057123,1.0,0.5714285714285714,0.1879407263666509,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.5803512141985472,0.1068674442748572,0.5,1.0,0.7366730507699418,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.467558013566966,0.7901959798599616,0.0,1.0,0.3259263106542511,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.6405003649041252,0.1098840268880861,0.0,1.0,0.7961808772161333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.6278040377545185,0.7500943938644214,0.0,0.7142857142857143,0.5789361221600052,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.6360434362261691,0.0092408064760721,0.25,1.0,0.5784076133436222,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.3358061349684476,0.5105396760964888,0.0,0.5714285714285714,0.5164916846444434,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,0.3992508190687722,0.0,0.0,0.5714285714285714,0.7652638383722454,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.5810952059070629,0.5239536125781447,0.75,0.8571428571428571,0.7315841640009432,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.9936180375779144,0.5800001136680003,0.0,0.4285714285714285,0.7789215517843737,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.4323139367429965,0.0595391566320721,0.25,1.0,0.8192738082687346,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0.461666476881045,0.1568998549336906,0.0,0.7142857142857143,0.2719555260781348,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
