household_id,community,building_value,income,damage_level,population_scaled,age,race
dqcp176g,dqcp17,0.7614567772916496,0.5554404690319255,0.0,0.8571428571428571,0.5797678208207399,0.0
dqcnc7hq,dqcnc7,0.516337999448724,0.7844288819713167,0.0,0.5714285714285714,0.709339665506032,0.0
dqcnc29k,dqcnc2,0.39974229397428657,0.7445493778866036,0.5,1.0,0.7612968057382469,0.5
dqcngqhc,dqcngq,0.5700102962947959,0.3222821149323743,1.0,0.14285714285714285,0.4778116167488352,0.0
dqcnbbdq,dqcnbb,0.5041754287460742,0.5318284861900877,0.0,0.8571428571428571,0.4575611290585249,0.25
dqcncsjm,dqcncs,0.6329346573657672,0.5994945852611653,0.0,0.14285714285714285,0.5727290176866077,1.0
dqcnbchm,dqcnbc,0.22555658265219006,0.30436470005850147,0.0,0.42857142857142855,0.3777174693643837,0.0
dqcng43b,dqcng4,0.41053276271123473,0.6395163837198606,0.0,0.5714285714285714,0.07904939650526684,0.0
dqcnfpuz,dqcnfp,0.5576747064207878,0.5221024903676602,0.75,0.2857142857142857,0.2527953541004153,0.0
dqcp473c,dqcp47,0.16439552858297884,0.6064223898602771,0.0,1.0,0.6614221513157267,0.0
dqchf7jt,dqchf7,0.7039920042968777,0.3014198857306959,0.5,0.5714285714285714,0.432718919792624,0.0
dqcncu6f,dqcncu,0.07851567224238475,0.15722623509746741,0.0,0.42857142857142855,0.635429631014847,0.25
dqcncvkb,dqcncv,0.4050750282136503,0.9764648419508053,1.0,1.0,0.24104965895206415,1.0
dqcnfk5z,dqcnfk,0.6196384433730084,0.11414313010001374,0.5,0.8571428571428571,0.8517055780157182,0.25
dqcp1rx0,dqcp1r,0.5574540436216542,0.5861291641953307,0.0,0.7142857142857143,0.7951260840073302,0.0
dqcp1yv9,dqcp1y,0.49354065791911467,0.7328645747673257,0.0,0.7142857142857143,0.6390773902482739,1.0
dqcnctbb,dqcnct,0.46194382437024173,0.5330670324261483,0.0,1.0,0.6969990758654498,0.25
dqcne6ct,dqcne6,0.7334161402174671,0.9184659133344977,0.75,0.14285714285714285,0.6536066025988169,1.0
dqcngjkj,dqcngj,0.6911407362986183,0.3635018868893118,0.0,0.8571428571428571,0.2059292679627665,0.0
dqcner94,dqcner,0.41078377223092294,0.13652319912510144,0.0,0.42857142857142855,0.28221104096310684,0.0
dqcnf6cg,dqcnf6,0.6907102022186443,0.0,0.5,0.14285714285714285,0.3798327408681251,0.0
dqcncf4c,dqcncf,0.5943673887307366,0.03231795188574663,0.25,0.8571428571428571,0.46606710824861647,0.5
dqcnf6cj,dqcnf6,0.6003296580895671,0.0,0.5,0.14285714285714285,0.5430545770577533,0.0
dqcncfq5,dqcncf,0.5737738036729871,0.12738836802767176,0.0,0.14285714285714285,0.4899957706691611,0.5
dqcne4gy,dqcne4,0.842169821921645,0.0,0.0,0.2857142857142857,0.8038261253694148,0.0
dqcng06w,dqcng0,0.7331647462554722,0.2354330284812811,0.0,1.0,0.1411007215302104,0.25
dqcnf3uz,dqcnf3,0.6968009134476445,0.5923152710950444,0.0,0.5714285714285714,0.23619171349278406,0.25
dqcnc6tb,dqcnc6,0.6267444392111997,0.0,1.0,1.0,0.18438264386115572,0.5
dqcnc7bc,dqcnc7,0.5492752766441579,1.0,0.0,0.5714285714285714,0.5909149821463654,0.0
dqcp1z6r,dqcp1z,0.6326523311608224,0.0,0.0,0.14285714285714285,0.5816688108408022,0.0
dqcncdq7,dqcncd,0.33375934098629184,0.0,0.0,1.0,0.26717822920413864,0.0
dqcp1ys8,dqcp1y,0.46010348450907207,1.0,0.0,0.2857142857142857,0.7637430927808723,0.0
dqcp4kgx,dqcp4k,0.2733613504292294,0.03000959162681004,0.25,0.8571428571428571,0.46417087793532985,0.0
dqcnc78q,dqcnc7,0.5280510382734963,0.9548763718660501,0.0,0.8571428571428571,0.42625265070417323,0.0
dqcnf794,dqcnf7,0.548401904629555,0.12128317647093137,0.75,0.7142857142857143,0.7994511144149616,0.0
dqcncwc5,dqcncw,0.44815207183774847,0.33985118513897444,0.0,0.8571428571428571,0.1805793365492347,0.25
dqcnc0y3,dqcnc0,0.6498919502202136,0.11607612225013542,0.0,0.8571428571428571,0.17870152818834573,0.5
dqcp1rzr,dqcp1r,0.5721719173016752,0.7635106960781428,0.25,0.5714285714285714,0.7828173358836195,0.0
dqcncf6c,dqcncf,0.5747295433909796,0.04814760673951624,0.0,0.2857142857142857,0.6809096004158743,1.0
dqcnfffs,dqcnff,0.7926834991930058,0.0,0.0,1.0,0.7833656473435495,1.0
dqcng4te,dqcng4,0.5809159245717687,0.4622639296534447,0.0,0.14285714285714285,0.12423614757565993,0.0
dqcnc0gn,dqcnc0,0.5348081099431989,0.0,1.0,0.8571428571428571,0.16165363643797037,0.5
dqcnfqc3,dqcnfq,0.6112659850226808,0.7417884661678938,0.75,0.2857142857142857,0.20958754066246868,0.0
dqcncx6x,dqcncx,0.7676546269540404,0.04167690897911071,0.0,1.0,0.8472493833912953,0.0
dqcne1qu,dqcne1,0.6816910327855757,0.543994997574593,0.0,1.0,0.4639856261935901,0.0
dqcn9xvx,dqcn9x,0.6456206884537068,0.007533250873668513,0.0,0.2857142857142857,0.1796600053539148,0.0
dqcp1wg8,dqcp1w,0.6206179631827408,0.0,0.0,0.14285714285714285,0.8243434586256512,0.5
dqcp1gxv,dqcp1g,0.47024547093684677,0.0,1.0,0.8571428571428571,0.7499927510522697,1.0
dqcn9r0y,dqcn9r,0.9050757880124067,0.030598659674972578,0.0,0.2857142857142857,0.7362417959655914,0.5
dqcnenmf,dqcnen,0.361810601295617,0.17266510802663718,0.5,0.14285714285714285,0.7553212307221708,0.0
