household_id,community,building_value,income,damage_level,population_scaled,age,race,latitude,longitude
dqcp176g,dqcp17,0.47253109965106865,0.07675874443845802,0.5,0.2857142857142857,0.8276731337038149,0.0,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.5386526406216504,0.7602790953643507,0.0,1.0,0.44500987892835886,0.0,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.6011117298520692,0.5716648345285227,1.0,0.5714285714285714,0.38190645075912244,1.0,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.6595320535334038,0.33835917562894496,0.5,1.0,0.8222310208612069,0.5,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.5300629323486575,0.6313764275415935,0.5,0.42857142857142855,0.43744721456799185,0.0,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.7081867240498316,0.6635924144766892,0.75,0.14285714285714285,0.2880965110264486,0.0,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.49623177503363997,0.5966828602770387,0.0,1.0,0.6431270377971071,1.0,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.6578449695428159,0.4195332981264977,0.0,1.0,0.6089434784896589,0.0,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.5392464566413039,0.5692732190637709,0.0,0.14285714285714285,0.5447362257409702,0.0,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.5779221216680089,0.7829554376384179,1.0,0.8571428571428571,0.406502961507233,1.0,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.5511809903799747,0.385245865888835,0.0,0.42857142857142855,0.16781825550270404,0.0,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.37405845879095323,0.3343267495141798,0.0,0.2857142857142857,0.5050106081495299,0.5,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.6057632487413225,0.7842770699860139,0.0,0.5714285714285714,0.288025913691189,0.0,39.1841983795166,-77.26015090942383
dqcnfk5z,dqcnfk,0.48411918547252636,0.2916173073716276,0.75,0.5714285714285714,0.8469061837602053,0.0,39.17853355407715,-77.23955154418945
dqcp1rx0,dqcp1r,0.6076201513825241,0.7455318211365899,0.5,0.42857142857142855,0.5229416878963401,0.0,39.24050331115723,-77.27903366088867
dqcp1yv9,dqcp1y,0.791116839214769,0.7694821792739484,0.5,0.8571428571428571,0.7622106437886559,0.0,39.236555099487305,-77.25912094116211
dqcnctbb,dqcnct,0.4555757235530739,0.6019888341258595,0.0,0.8571428571428571,0.5893801205404554,0.0,39.18694496154785,-77.27663040161133
dqcne6ct,dqcne6,0.42144424355331356,0.6409880890595863,0.75,1.0,0.19330559102346886,0.0,39.12737846374512,-77.19869613647461
dqcngjkj,dqcngj,0.5262376649456018,0.4772750553389302,0.75,0.8571428571428571,0.8140433290353059,1.0,39.18505668640137,-77.20624923706055
dqcner94,dqcner,0.42294521381386946,0.3754078317387303,0.5,0.5714285714285714,0.36605729817808785,0.0,39.15295600891113,-77.19938278198242
dqcnf6cg,dqcnf6,0.599254241078783,0.17928754638054176,0.0,0.2857142857142857,0.22971512591164836,0.25,39.17098045349121,-77.2422981262207
dqcncf4c,dqcncf,0.32849772742142996,0.06808742801502542,0.75,0.5714285714285714,0.5345726411086668,1.0,39.16651725769043,-77.26289749145508
dqcnf6cj,dqcnf6,0.513702595703863,0.0,1.0,0.14285714285714285,0.09679853072089135,0.25,39.17132377624512,-77.24332809448242
dqcncfq5,dqcncf,0.3986224018112958,0.0,1.0,0.14285714285714285,0.5217690456218268,1.0,39.16823387145996,-77.2584342956543
dqcne4gy,dqcne4,0.44102467785144933,0.23155963866462098,0.0,1.0,0.4217456078708636,0.0,39.12755012512207,-77.20659255981445
dqcng06w,dqcng0,0.3896409421304206,0.0,0.0,0.42857142857142855,0.1695639994839526,0.0,39.15776252746582,-77.20830917358398
dqcnf3uz,dqcnf3,0.4808203133522291,0.0062397231891327745,0.5,0.8571428571428571,0.5740199934933314,0.0,39.16617393493652,-77.23817825317383
dqcnc6tb,dqcnc6,0.6544415729243495,0.23683732867950893,0.0,0.5714285714285714,0.4592272111045418,0.0,39.16909217834473,-77.2807502746582
dqcnc7bc,dqcnc7,0.5663006051203864,0.8030212445868253,0.0,0.42857142857142855,0.4679171954383673,0.0,39.176130294799805,-77.28761672973633
dqcp1z6r,dqcp1z,0.7680304276913341,0.08214140955500036,0.0,0.7142857142857143,0.2814183945936534,0.5,39.24033164978027,-77.26358413696289
dqcncdq7,dqcncd,0.5334919914188385,0.6121291546793396,1.0,0.8571428571428571,0.8199188279407127,0.0,39.16823387145996,-77.26907730102539
dqcp1ys8,dqcp1y,0.8307959766161327,0.7133491461847526,0.25,0.5714285714285714,0.7856707107459097,0.0,39.23501014709473,-77.26049423217773
dqcp4kgx,dqcp4k,0.3747747383379748,0.37368831981663875,0.0,0.7142857142857143,0.20030840018352522,0.5,39.22659873962402,-77.23989486694336
dqcnc78q,dqcnc7,0.4804453771862282,0.7155288273326709,0.0,0.8571428571428571,0.35126066081470064,0.0,39.175615310668945,-77.28830337524414
dqcnf794,dqcnf7,0.28183981985691975,0.012936198576436289,0.0,0.7142857142857143,0.42556101774445965,0.25,39.17492866516113,-77.24332809448242
dqcncwc5,dqcncw,0.9223573199179148,0.27110808982916973,0.5,1.0,0.8497990887947051,0.5,39.19295310974121,-77.27628707885742
dqcnc0y3,dqcnc0,0.614742496192043,0.22498779236707692,0.0,1.0,0.5267886429795169,0.25,39.159650802612305,-77.29104995727539
dqcp1rzr,dqcp1r,0.5742421797996694,0.7962044631160562,0.0,0.42857142857142855,0.47522396263319394,0.0,39.24307823181152,-77.27869033813477
dqcncf6c,dqcncf,0.35272017810337913,0.05913930586073836,0.75,0.7142857142857143,0.5313543124137582,1.0,39.167890548706055,-77.26289749145508
dqcnfffs,dqcnff,0.16504879534559697,0.7654396332966116,0.0,1.0,0.5016751350758034,0.0,39.171152114868164,-77.21929550170898
dqcng4te,dqcng4,0.6329254334390796,0.17095983314988825,0.0,1.0,0.5702203306301744,0.0,39.169607162475586,-77.20418930053711
dqcnc0gn,dqcnc0,0.6030669364474549,0.2436020431186748,0.0,1.0,0.4984918708683404,0.0,39.16050910949707,-77.29551315307617
dqcnfqc3,dqcnfq,0.37762523153454336,0.018442335792866592,0.75,1.0,0.8212559561552504,0.0,39.192609786987305,-77.24298477172852
dqcncx6x,dqcncx,0.23762788362229542,0.0,1.0,1.0,0.8525145181625219,1.0,39.19638633728027,-77.27422714233398
dqcne1qu,dqcne1,0.13276209580688073,0.1743136492163265,0.0,0.14285714285714285,0.7735228305065951,0.25,39.118967056274414,-77.20247268676758
dqcn9xvx,dqcn9x,0.6247200632897814,0.0,0.0,0.5714285714285714,0.35700402237237094,0.0,39.15518760681152,-77.27010726928711
dqcp1wg8,dqcp1w,0.6497995988106708,0.3286848706554787,0.0,0.5714285714285714,0.7523274042009559,0.25,39.23638343811035,-77.27285385131836
dqcp1gxv,dqcp1g,0.45838616298573853,0.26246411205642156,0.0,0.2857142857142857,0.06107041857257681,0.0,39.21938896179199,-77.25603103637695
dqcn9r0y,dqcn9r,0.9085995742470627,0.4000566307197552,0.0,0.5714285714285714,0.8713851444284182,0.0,39.150896072387695,-77.28761672973633
dqcnenmf,dqcnen,0.5340579300359463,0.0,0.5,0.42857142857142855,0.30581216170999004,1.0,39.14608955383301,-77.2038459777832
