household_id_1,household_id_2,link_type,timestep
41,12,2.0,0
41,40,2.0,0
41,20,2.0,0
41,43,2.0,0
41,25,2.0,0
41,14,2.0,0
41,36,2.0,0
41,11,2.0,0
41,31,2.0,0
41,3,2.0,0
41,2,2.0,0
12,8,1.0,0
12,34,2.0,0
12,49,2.0,0
12,20,2.0,0
12,24,2.0,0
12,36,2.0,0
12,44,2.0,0
8,43,2.0,0
8,32,2.0,0
8,23,2.0,0
8,45,2.0,0
40,17,2.0,0
40,5,2.0,0
40,43,2.0,0
40,39,2.0,0
40,31,2.0,0
40,38,2.0,0
40,23,2.0,0
40,3,2.0,0
4,5,2.0,0
4,34,2.0,0
4,1,2.0,0
4,18,2.0,0
4,14,2.0,0
4,50,2.0,0
4,21,2.0,0
4,32,2.0,0
4,35,2.0,0
4,23,2.0,0
4,26,2.0,0
17,1,2.0,0
17,20,1.0,0
17,47,2.0,0
17,24,2.0,0
17,50,2.0,0
17,7,2.0,0
5,9,2.0,0
5,10,2.0,0
5,15,2.0,0
5,45,2.0,0
5,42,2.0,0
5,2,2.0,0
37,20,2.0,0
37,14,2.0,0
37,48,2.0,0
37,31,2.0,0
37,22,2.0,0
37,45,2.0,0
37,42,2.0,0
34,16,2.0,0
34,11,2.0,0
34,50,2.0,0
34,10,2.0,0
49,22,2.0,0
1,27,2.0,0
1,46,2.0,0
1,7,2.0,0
1,3,2.0,0
19,27,2.0,0
19,16,2.0,0
19,28,2.0,0
19,11,2.0,0
19,10,1.0,0
19,23,2.0,0
20,47,2.0,0
20,18,2.0,0
20,25,2.0,0
20,9,2.0,0
20,11,2.0,0
20,50,2.0,0
20,7,2.0,0
20,44,2.0,0
20,6,2.0,0
33,43,2.0,0
33,11,2.0,0
43,27,2.0,0
43,14,2.0,0
43,30,2.0,0
43,24,2.0,0
43,9,2.0,0
43,21,2.0,0
43,7,2.0,0
43,32,2.0,0
43,23,2.0,0
47,24,2.0,0
47,11,2.0,0
18,39,2.0,0
18,36,2.0,0
18,2,2.0,0
25,24,2.0,0
25,31,2.0,0
25,15,2.0,0
25,23,2.0,0
25,3,2.0,0
25,42,2.0,0
39,24,2.0,0
39,21,2.0,0
39,7,2.0,0
39,6,2.0,0
27,36,2.0,0
27,7,2.0,0
27,42,2.0,0
29,24,2.0,0
29,36,2.0,0
29,50,2.0,0
29,21,2.0,0
14,16,2.0,0
14,44,2.0,0
14,23,2.0,0
14,42,2.0,0
30,46,2.0,0
16,7,2.0,0
16,38,2.0,0
16,23,2.0,0
16,45,2.0,0
24,9,2.0,0
24,46,2.0,0
24,10,2.0,0
24,44,2.0,0
24,6,2.0,0
36,48,2.0,0
36,13,2.0,0
36,7,2.0,0
28,23,2.0,0
9,38,2.0,0
9,23,2.0,0
9,3,2.0,0
9,45,2.0,0
9,2,2.0,0
9,26,2.0,0
48,10,2.0,0
48,7,2.0,0
48,15,2.0,0
48,35,2.0,0
48,22,2.0,0
48,23,2.0,0
48,3,2.0,0
48,26,2.0,0
13,38,2.0,0
46,6,2.0,0
46,42,2.0,0
50,10,2.0,0
50,31,2.0,0
50,38,2.0,0
50,3,2.0,0
50,2,2.0,0
50,26,2.0,0
10,7,2.0,0
10,6,2.0,0
31,21,2.0,0
31,15,2.0,0
31,42,2.0,0
31,26,2.0,0
21,15,2.0,0
7,32,2.0,0
7,3,1.0,0
7,2,2.0,0
44,23,2.0,0
44,3,2.0,0
44,2,2.0,0
15,38,2.0,0
15,3,2.0,0
15,45,2.0,0
35,3,2.0,0
3,2,2.0,0
45,2,2.0,0
42,2,2.0,0
41,5,2.0,1
41,20,2.0,1
41,25,2.0,1
41,14,2.0,1
41,30,2.0,1
41,36,2.0,1
41,31,2.0,1
41,32,2.0,1
41,6,2.0,1
12,17,2.0,1
12,37,2.0,1
12,34,2.0,1
12,49,2.0,1
12,33,2.0,1
12,25,2.0,1
12,14,2.0,1
12,30,2.0,1
12,11,2.0,1
12,13,2.0,1
12,7,2.0,1
12,38,2.0,1
12,45,2.0,1
12,2,2.0,1
8,17,2.0,1
8,5,2.0,1
8,34,2.0,1
8,43,2.0,1
8,25,2.0,1
8,30,2.0,1
8,36,2.0,1
8,9,2.0,1
8,48,2.0,1
8,13,2.0,1
8,10,2.0,1
8,31,2.0,1
8,32,2.0,1
8,23,2.0,1
40,5,2.0,1
40,34,2.0,1
40,1,2.0,1
40,19,2.0,1
40,20,2.0,1
40,43,2.0,1
40,39,2.0,1
40,29,2.0,1
40,28,2.0,1
40,48,2.0,1
40,50,2.0,1
40,44,2.0,1
40,38,2.0,1
40,45,2.0,1
40,2,2.0,1
4,5,2.0,1
4,34,2.0,1
4,1,2.0,1
4,25,2.0,1
4,16,2.0,1
4,9,2.0,1
4,50,2.0,1
4,10,2.0,1
4,31,2.0,1
4,21,2.0,1
4,15,2.0,1
4,26,2.0,1
17,37,2.0,1
17,18,2.0,1
17,29,2.0,1
17,14,2.0,1
17,24,2.0,1
17,36,2.0,1
17,9,2.0,1
17,11,2.0,1
17,10,2.0,1
17,7,2.0,1
17,44,2.0,1
17,32,2.0,1
17,6,2.0,1
17,3,1.0,1
17,2,2.0,1
5,37,2.0,1
5,34,2.0,1
5,9,2.0,1
5,11,2.0,1
5,10,2.0,1
5,38,2.0,1
5,6,2.0,1
5,35,2.0,1
5,3,2.0,1
5,45,2.0,1
37,34,2.0,1
37,49,2.0,1
37,1,2.0,1
37,20,2.0,1
37,14,2.0,1
37,11,2.0,1
37,31,2.0,1
37,21,2.0,1
37,15,2.0,1
37,32,2.0,1
37,35,2.0,1
37,22,2.0,1
37,23,2.0,1
37,45,2.0,1
37,42,2.0,1
34,1,2.0,1
34,20,2.0,1
34,33,2.0,1
34,29,2.0,1
34,14,2.0,1
34,24,2.0,1
34,28,2.0,1
34,48,2.0,1
34,21,2.0,1
34,44,2.0,1
34,3,2.0,1
34,26,2.0,1
49,48,2.0,1
49,31,2.0,1
49,35,2.0,1
49,2,2.0,1
1,19,2.0,1
1,18,2.0,1
1,28,2.0,1
1,46,2.0,1
1,32,2.0,1
1,38,2.0,1
1,3,2.0,1
19,29,2.0,1
19,16,2.0,1
19,9,2.0,1
19,11,2.0,1
19,10,1.0,1
19,21,2.0,1
19,38,2.0,1
19,3,2.0,1
19,2,2.0,1
19,26,2.0,1
20,18,2.0,1
20,39,2.0,1
20,24,2.0,1
20,11,2.0,1
20,48,2.0,1
20,13,2.0,1
20,44,2.0,1
20,32,2.0,1
20,6,2.0,1
20,45,2.0,1
33,46,2.0,1
43,14,2.0,1
43,24,2.0,1
43,36,2.0,1
43,13,2.0,1
43,21,2.0,1
43,7,2.0,1
43,44,2.0,1
43,32,2.0,1
43,2,2.0,1
18,29,2.0,1
18,16,2.0,1
18,24,2.0,1
18,10,2.0,1
18,21,2.0,1
18,7,2.0,1
18,44,2.0,1
18,15,2.0,1
18,2,2.0,1
25,24,2.0,1
25,36,2.0,1
25,13,2.0,1
25,7,2.0,1
25,44,2.0,1
25,15,2.0,1
25,32,2.0,1
25,23,2.0,1
25,3,2.0,1
25,2,2.0,1
39,28,2.0,1
39,11,2.0,1
39,46,2.0,1
39,50,2.0,1
39,10,2.0,1
39,44,2.0,1
39,38,2.0,1
39,35,2.0,1
39,23,2.0,1
39,2,2.0,1
29,14,2.0,1
29,30,2.0,1
29,24,2.0,1
29,36,2.0,1
29,50,2.0,1
29,10,1.0,1
29,21,2.0,1
29,7,2.0,1
29,44,2.0,1
29,15,2.0,1
29,26,2.0,1
14,30,2.0,1
14,24,2.0,1
14,9,2.0,1
14,48,2.0,1
14,13,2.0,1
14,10,2.0,1
14,26,2.0,1
30,24,2.0,1
30,36,2.0,1
30,7,2.0,1
30,6,2.0,1
30,23,2.0,1
16,36,2.0,1
16,28,2.0,1
16,9,2.0,1
16,46,2.0,1
16,31,2.0,1
16,21,2.0,1
16,32,2.0,1
16,45,2.0,1
16,2,2.0,1
24,31,2.0,1
24,32,2.0,1
24,35,2.0,1
24,45,2.0,1
24,26,2.0,1
36,31,2.0,1
36,7,2.0,1
36,15,2.0,1
36,32,2.0,1
36,6,2.0,1
36,3,2.0,1
36,45,2.0,1
36,26,2.0,1
28,23,2.0,1
28,3,2.0,1
28,45,2.0,1
9,11,2.0,1
9,10,2.0,1
9,44,2.0,1
9,35,2.0,1
9,3,2.0,1
9,45,2.0,1
9,2,2.0,1
11,50,2.0,1
11,10,2.0,1
11,7,2.0,1
11,32,2.0,1
48,7,2.0,1
48,38,2.0,1
48,35,2.0,1
48,23,2.0,1
13,50,2.0,1
13,21,2.0,1
13,7,2.0,1
13,44,2.0,1
13,15,2.0,1
13,38,2.0,1
13,26,2.0,1
46,50,2.0,1
46,31,2.0,1
46,44,2.0,1
46,6,2.0,1
46,26,2.0,1
50,31,2.0,1
50,38,2.0,1
50,35,2.0,1
50,3,2.0,1
50,26,2.0,1
10,7,2.0,1
10,15,2.0,1
10,23,2.0,1
31,44,2.0,1
31,15,2.0,1
31,32,2.0,1
31,26,2.0,1
21,7,2.0,1
21,15,2.0,1
21,38,2.0,1
21,35,2.0,1
21,22,2.0,1
21,45,2.0,1
7,32,2.0,1
7,6,2.0,1
7,35,2.0,1
7,22,2.0,1
7,45,2.0,1
44,32,2.0,1
44,22,2.0,1
44,23,2.0,1
32,35,2.0,1
32,23,2.0,1
32,2,2.0,1
38,35,2.0,1
38,3,2.0,1
35,3,2.0,1
22,23,2.0,1
22,3,2.0,1
23,3,2.0,1
23,45,2.0,1
3,2,2.0,1
45,26,2.0,1
41,12,2.0,2
41,8,2.0,2
41,4,2.0,2
41,5,2.0,2
41,49,2.0,2
41,19,2.0,2
41,43,2.0,2
41,25,2.0,2
41,39,2.0,2
41,30,2.0,2
41,24,2.0,2
41,36,2.0,2
41,11,2.0,2
41,31,2.0,2
41,21,2.0,2
41,7,2.0,2
41,15,2.0,2
41,32,2.0,2
41,38,2.0,2
41,6,2.0,2
41,3,2.0,2
41,2,2.0,2
12,8,1.0,2
12,40,2.0,2
12,4,2.0,2
12,49,2.0,2
12,43,2.0,2
12,29,2.0,2
12,36,2.0,2
12,28,2.0,2
12,9,2.0,2
12,13,2.0,2
12,7,2.0,2
12,38,2.0,2
12,6,2.0,2
12,23,2.0,2
12,2,2.0,2
12,26,2.0,2
8,17,2.0,2
8,5,2.0,2
8,49,2.0,2
8,1,2.0,2
8,43,2.0,2
8,25,2.0,2
8,30,2.0,2
8,16,2.0,2
8,9,2.0,2
8,46,2.0,2
8,31,2.0,2
8,7,2.0,2
8,6,2.0,2
8,23,2.0,2
8,45,2.0,2
8,2,2.0,2
8,26,2.0,2
40,4,2.0,2
40,5,2.0,2
40,43,2.0,2
40,25,2.0,2
40,39,2.0,2
40,29,2.0,2
40,30,2.0,2
40,24,2.0,2
40,36,2.0,2
40,11,2.0,2
40,13,2.0,2
40,50,2.0,2
40,10,2.0,2
40,31,2.0,2
40,38,2.0,2
40,23,2.0,2
40,3,2.0,2
40,45,2.0,2
40,2,2.0,2
4,34,2.0,2
4,1,2.0,2
4,20,2.0,2
4,25,2.0,2
4,30,2.0,2
4,10,2.0,2
4,7,2.0,2
4,38,2.0,2
4,6,2.0,2
4,35,2.0,2
4,23,2.0,2
4,3,2.0,2
4,26,2.0,2
17,37,2.0,2
17,34,2.0,2
17,49,2.0,2
17,19,2.0,2
17,20,1.0,2
17,43,2.0,2
17,18,2.0,2
17,25,2.0,2
17,29,2.0,2
17,30,2.0,2
17,16,2.0,2
17,28,2.0,2
17,9,2.0,2
17,13,2.0,2
17,10,2.0,2
17,38,2.0,2
17,3,1.0,2
17,26,2.0,2
5,37,2.0,2
5,19,2.0,2
5,18,2.0,2
5,24,2.0,2
5,36,2.0,2
5,13,2.0,2
5,15,2.0,2
5,6,2.0,2
5,22,2.0,2
5,45,2.0,2
37,49,2.0,2
37,25,2.0,2
37,30,2.0,2
37,16,2.0,2
37,24,2.0,2
37,36,2.0,2
37,11,2.0,2
37,13,2.0,2
37,46,2.0,2
37,50,2.0,2
37,44,2.0,2
37,15,2.0,2
37,32,2.0,2
37,38,2.0,2
37,35,2.0,2
37,22,2.0,2
37,23,2.0,2
37,45,2.0,2
37,2,2.0,2
37,26,2.0,2
34,1,2.0,2
34,25,2.0,2
34,29,2.0,2
34,16,2.0,2
34,24,2.0,2
34,36,2.0,2
34,28,2.0,2
34,11,2.0,2
34,48,2.0,2
34,13,2.0,2
34,10,2.0,2
34,31,2.0,2
34,21,2.0,2
34,44,2.0,2
34,6,2.0,2
34,2,2.0,2
49,20,2.0,2
49,43,2.0,2
49,25,2.0,2
49,30,2.0,2
49,48,2.0,2
49,31,2.0,2
49,7,2.0,2
49,22,2.0,2
49,2,2.0,2
1,43,2.0,2
1,18,2.0,2
1,29,2.0,2
1,14,2.0,2
1,16,2.0,2
1,28,2.0,2
1,46,2.0,2
1,10,2.0,2
1,31,2.0,2
1,7,2.0,2
1,26,2.0,2
19,18,2.0,2
19,27,2.0,2
19,30,2.0,2
19,16,2.0,2
19,11,2.0,2
19,50,2.0,2
19,31,2.0,2
19,7,2.0,2
19,44,2.0,2
19,32,2.0,2
19,45,2.0,2
19,2,2.0,2
20,18,2.0,2
20,25,2.0,2
20,29,2.0,2
20,30,2.0,2
20,24,2.0,2
20,28,2.0,2
20,9,2.0,2
20,50,2.0,2
20,10,2.0,2
20,31,2.0,2
20,44,2.0,2
20,38,2.0,2
20,6,2.0,2
43,14,2.0,2
43,30,2.0,2
43,24,2.0,2
43,36,2.0,2
43,9,2.0,2
43,48,2.0,2
43,13,2.0,2
43,21,2.0,2
43,38,2.0,2
43,35,2.0,2
43,22,2.0,2
43,23,2.0,2
43,45,2.0,2
43,2,2.0,2
18,24,2.0,2
18,36,2.0,2
18,28,2.0,2
18,13,2.0,2
18,21,2.0,2
18,7,2.0,2
18,44,2.0,2
18,15,2.0,2
18,38,2.0,2
18,22,2.0,2
18,3,2.0,2
18,2,2.0,2
25,48,2.0,2
25,13,2.0,2
25,10,2.0,2
25,31,2.0,2
25,23,2.0,2
25,3,2.0,2
25,45,2.0,2
25,2,2.0,2
25,26,2.0,2
39,29,2.0,2
39,16,2.0,2
39,24,2.0,2
39,36,2.0,2
39,28,2.0,2
39,9,2.0,2
39,11,2.0,2
39,46,2.0,2
39,21,2.0,2
39,7,2.0,2
39,44,2.0,2
39,32,2.0,2
39,22,2.0,2
39,3,2.0,2
39,2,2.0,2
29,24,2.0,2
29,36,2.0,2
29,48,2.0,2
29,13,2.0,2
29,50,2.0,2
29,10,1.0,2
29,21,2.0,2
29,44,2.0,2
29,22,2.0,2
29,3,2.0,2
29,2,2.0,2
29,26,2.0,2
14,30,2.0,2
14,50,2.0,2
14,10,2.0,2
14,15,1.0,2
14,23,2.0,2
30,36,2.0,2
30,28,2.0,2
30,11,2.0,2
30,48,2.0,2
30,31,2.0,2
30,21,2.0,2
30,7,2.0,2
30,35,2.0,2
30,45,2.0,2
16,28,2.0,2
16,35,2.0,2
16,22,2.0,2
16,23,2.0,2
16,2,2.0,2
24,36,2.0,2
24,9,2.0,2
24,48,2.0,2
24,13,2.0,2
24,10,2.0,2
24,35,2.0,2
24,45,2.0,2
24,26,2.0,2
36,28,2.0,2
36,9,2.0,2
36,13,2.0,2
36,31,2.0,2
36,21,2.0,2
36,7,2.0,2
36,38,2.0,2
36,6,2.0,2
36,22,2.0,2
36,23,2.0,2
36,3,2.0,2
36,2,2.0,2
28,11,2.0,2
28,48,2.0,2
28,46,2.0,2
28,21,2.0,2
28,7,2.0,2
28,15,2.0,2
28,32,2.0,2
28,38,2.0,2
28,35,1.0,2
28,3,2.0,2
28,45,2.0,2
28,2,2.0,2
28,26,2.0,2
9,13,2.0,2
9,50,2.0,2
9,2,2.0,2
11,46,2.0,2
11,50,2.0,2
11,7,2.0,2
11,44,2.0,2
48,7,2.0,2
48,44,2.0,2
48,15,2.0,2
48,6,2.0,2
48,22,2.0,2
48,23,2.0,2
48,45,2.0,2
13,50,2.0,2
13,10,2.0,2
13,7,2.0,2
13,38,2.0,2
13,6,2.0,2
13,35,2.0,2
13,23,2.0,2
13,3,2.0,2
13,26,2.0,2
46,50,2.0,2
46,31,2.0,2
46,7,2.0,2
46,44,2.0,2
46,6,2.0,2
46,35,2.0,2
46,23,2.0,2
46,26,2.0,2
50,10,2.0,2
50,31,2.0,2
50,7,2.0,2
50,35,2.0,2
50,3,2.0,2
50,2,2.0,2
10,31,2.0,2
10,38,2.0,2
10,3,2.0,2
31,44,2.0,2
31,15,2.0,2
31,32,2.0,2
31,6,2.0,2
31,35,2.0,2
31,22,2.0,2
31,23,2.0,2
21,44,2.0,2
21,35,2.0,2
7,32,2.0,2
7,3,1.0,2
7,45,2.0,2
7,26,2.0,2
44,38,2.0,2
44,35,2.0,2
44,3,2.0,2
15,38,2.0,2
15,23,2.0,2
15,3,2.0,2
15,2,2.0,2
32,6,2.0,2
32,23,2.0,2
38,3,2.0,2
38,2,2.0,2
6,2,2.0,2
35,3,2.0,2
22,23,2.0,2
22,3,2.0,2
23,3,2.0,2
23,2,2.0,2
3,45,2.0,2
45,26,2.0,2
41,4,2.0,3
41,34,2.0,3
41,19,2.0,3
41,18,2.0,3
41,25,2.0,3
41,39,2.0,3
41,14,2.0,3
41,30,2.0,3
41,16,2.0,3
41,24,2.0,3
41,28,2.0,3
41,10,2.0,3
41,31,2.0,3
41,7,2.0,3
41,38,2.0,3
41,35,2.0,3
41,22,2.0,3
41,3,2.0,3
41,45,2.0,3
41,2,2.0,3
12,40,2.0,3
12,19,2.0,3
12,43,2.0,3
12,14,2.0,3
12,30,2.0,3
12,16,2.0,3
12,24,2.0,3
12,9,2.0,3
12,13,2.0,3
12,50,2.0,3
12,10,2.0,3
12,31,2.0,3
12,32,2.0,3
12,38,2.0,3
12,6,2.0,3
12,2,2.0,3
12,26,2.0,3
8,17,2.0,3
8,5,2.0,3
8,34,2.0,3
8,18,2.0,3
8,29,2.0,3
8,30,2.0,3
8,36,2.0,3
8,9,2.0,3
8,48,2.0,3
8,13,2.0,3
8,46,2.0,3
8,50,2.0,3
8,31,2.0,3
8,21,2.0,3
8,44,2.0,3
8,32,2.0,3
8,22,2.0,3
8,2,2.0,3
40,34,2.0,3
40,19,2.0,3
40,20,2.0,3
40,18,2.0,3
40,25,2.0,3
40,39,2.0,3
40,14,2.0,3
40,36,2.0,3
40,9,2.0,3
40,11,2.0,3
40,46,2.0,3
40,10,2.0,3
40,31,2.0,3
40,7,2.0,3
40,44,2.0,3
40,6,2.0,3
40,35,2.0,3
40,3,2.0,3
40,2,2.0,3
40,26,2.0,3
4,17,2.0,3
4,18,2.0,3
4,25,2.0,3
4,29,2.0,3
4,30,2.0,3
4,28,2.0,3
4,13,2.0,3
4,31,2.0,3
4,15,2.0,3
4,32,2.0,3
4,35,2.0,3
4,23,2.0,3
4,2,2.0,3
4,26,2.0,3
17,5,2.0,3
17,34,2.0,3
17,20,1.0,3
17,18,2.0,3
17,14,2.0,3
17,24,2.0,3
17,28,2.0,3
17,9,2.0,3
17,50,2.0,3
17,10,2.0,3
17,15,2.0,3
