household_id_1,household_id_2,link_type,timestep
41,4,2.0,0
41,5,2.0,0
41,19,1.0,0
41,46,2.0,0
41,10,1.0,0
41,35,2.0,0
41,23,2.0,0
41,45,2.0,0
41,2,2.0,0
12,40,2.0,0
12,17,2.0,0
12,37,2.0,0
12,20,2.0,0
12,47,2.0,0
12,16,1.0,0
12,11,2.0,0
12,48,2.0,0
12,50,2.0,0
12,21,2.0,0
12,7,2.0,0
12,38,2.0,0
12,35,2.0,0
8,25,2.0,0
8,39,2.0,0
8,27,2.0,0
8,28,2.0,0
8,9,2.0,0
8,10,2.0,0
8,7,2.0,0
8,32,2.0,0
8,22,2.0,0
8,42,2.0,0
8,26,2.0,0
40,43,2.0,0
40,25,2.0,0
40,27,2.0,0
40,14,2.0,0
40,30,2.0,0
40,24,2.0,0
40,11,2.0,0
40,7,2.0,0
40,32,2.0,0
40,23,2.0,0
40,3,2.0,0
40,2,2.0,0
4,33,2.0,0
4,47,2.0,0
4,25,2.0,0
4,27,2.0,0
4,9,2.0,0
17,5,2.0,0
17,47,2.0,0
17,24,2.0,0
17,11,2.0,0
17,46,2.0,0
17,7,2.0,0
17,44,2.0,0
17,38,2.0,0
17,6,2.0,0
17,2,2.0,0
5,37,2.0,0
5,49,2.0,0
5,1,2.0,0
5,33,2.0,0
5,18,2.0,0
5,16,2.0,0
5,24,2.0,0
5,10,2.0,0
5,3,2.0,0
5,45,2.0,0
5,2,2.0,0
5,26,2.0,0
37,18,2.0,0
37,25,2.0,0
37,30,2.0,0
37,28,2.0,0
37,13,2.0,0
37,46,2.0,0
37,44,2.0,0
37,38,2.0,0
37,23,2.0,0
37,45,2.0,0
34,18,2.0,0
34,16,2.0,0
34,31,2.0,0
34,21,2.0,0
34,35,2.0,0
34,22,2.0,0
34,23,2.0,0
34,45,2.0,0
49,20,2.0,0
49,43,2.0,0
49,16,2.0,0
49,24,2.0,0
49,28,2.0,0
49,9,2.0,0
49,7,2.0,0
49,15,2.0,0
49,35,2.0,0
49,23,2.0,0
49,2,2.0,0
1,36,2.0,0
1,9,2.0,0
1,7,2.0,0
1,45,2.0,0
1,42,2.0,0
19,20,2.0,0
19,25,2.0,0
19,39,2.0,0
19,14,2.0,0
19,30,2.0,0
19,24,2.0,0
19,48,2.0,0
19,6,2.0,0
19,2,2.0,0
20,28,2.0,0
20,10,2.0,0
20,15,2.0,0
20,38,2.0,0
33,13,2.0,0
33,31,2.0,0
33,32,2.0,0
33,42,2.0,0
33,2,2.0,0
43,47,2.0,0
