home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,0.028556801302690456,0.021888862505648886,0.01904947715336431,0.017194697014641172,0.018872624159466316,0.022225707740308548,0.018719045019568177,0.015612803304526622,0.024369591615993932,0.021603395800690928,6.286603596097222e-08,0.02330264723751495,0.021556375762756614,0.020263577232659653,0.027307780625327186,0.024081137306691078,0.0215987020976873,0.009294760674496527,0.018228950940927156,0.012725330524844525,0.02134865174303527,0.019834427526217134,0.021517898650008336,0.021485326546686907,0.010837587083633788,0.014165977521917757,0.02065800977762244,0.021014368612850443,0.0241794527194317,0.026782960423679707,0.021230809681778838,0.025783707146620455,0.02293898969617547,0.02219844014569864,0.022077676376330645,0.02415739605847212,0.02053638026665479,0.027039232783186696,0.019552625379669907,0.017006525335718066,0.01461834638763285,0.018895685799965502,0.02261418072688973,0.022670605434744664,0.008899219013856718,0.020351067539918645,0.025719103905254444,0.023431051798708108,0.019604772335012604,0.012397192696787471
dqcnc7hq,0.019090384609635348,0.02490583144503769,0.024331352374950623,0.016234191841878593,0.0236887253477259,0.024493674720736238,0.02350738237853581,0.01836545357285731,0.02213196632942475,0.018599130007930488,9.45444926667043e-07,0.021453040399692796,0.02337933733606591,0.02227351540224225,0.015542885631682657,0.017384671318293732,0.023139014285301112,0.014852904748919059,0.017754222915903534,0.01655578413746379,0.022312930397933056,0.02342759426706035,0.022403176670580137,0.02166902773185183,0.014250370982817465,0.018507488432676533,0.020270773011521,0.024814986400913844,0.02256735898735403,0.015255648214570289,0.023893742222667633,0.017281127675259206,0.01778471334875137,0.024824705732315322,0.02244089521654387,0.023955986105709134,0.021864649427003512,0.015008051457373552,0.02385285136336628,0.019867161533331124,0.017738758384887112,0.023945195301840687,0.021449529708602498,0.022698523350145158,0.012751230273817698,0.02192901630213363,0.01693297445073099,0.019524047590350018,0.021804590915409334,0.017288480293279014
dqcnc29k,0.017419654391010807,0.025511220565204502,0.026113557091396646,0.015544235719431755,0.025204008355248452,0.024576128988995607,0.025072139138519512,0.018648759392654507,0.021142000963225133,0.017192494541153118,2.128102755089026e-06,0.021398736180566143,0.023473893059942477,0.02186704336912518,0.01345835795419242,0.015249660634695805,0.02333468666495123,0.016226249123107002,0.017107005673991333,0.017175568407470906,0.022300763144682226,0.02457036053584558,0.022396019388877586,0.022596037350679374,0.015416494574352168,0.01914124318745134,0.020350002799674693,0.02580838482662267,0.023229877300081348,0.013097483029335024,0.02426527447210161,0.015325063097932677,0.015689351505770367,0.02544995402637211,0.02229806663389953,0.02340286365352726,0.02338388703183986,0.012860425752523266,0.02498916554287852,0.019658827260398536,0.01783318130456416,0.02552018007468808,0.020359418651131812,0.022582086740621638,0.01418718604758739,0.02317486756675812,0.014799180758398471,0.017857062373547533,0.023590920581333295,0.018148842468886282
dqcngqhc,0.017000313987590894,0.018403549939231455,0.016806423943562694,0.028233971684037466,0.01358452361869811,0.020319820588868873,0.013883568793142459,0.025778775640263984,0.023966703827203194,0.021762818741266433,4.22840558019304e-07,0.020776571457436967,0.02160563126114465,0.024072944742726143,0.01542736151430682,0.01851495375644219,0.01863431393492018,0.020257436864121292,0.02732809427163545,0.024334038949961823,0.02432366550483825,0.020686393947052222,0.024251175571972396,0.021486371988499793,0.019775979032339467,0.025054058443677606,0.023668757628135008,0.018522388337800687,0.01774888773385161,0.01729231181391473,0.01989869506371461,0.019016319682018213,0.02169528485793531,0.01765431622442386,0.024534104594348644,0.019664802059775593,0.01590260171373958,0.015029611419637351,0.020725939102256168,0.02506381974788121,0.02551558804945316,0.015292672988676138,0.023787909385920566,0.019255855989056048,0.01790507148711238,0.018912059783638947,0.016615424836772603,0.02033887395345797,0.016039149910483923,0.023649668790496743
dqcnbbdq,0.01847109289328943,0.026583398953044395,0.02697574465604726,0.013447523111973593,0.02794923086160372,0.025364672729977975,0.027629639407999493,0.016937106564465187,0.020546590265471593,0.01666994282151525,2.000291174694492e-06,0.02207669032213373,0.023357012406002263,0.021518892241013655,0.014119892333580556,0.015282774350795038,0.02409396316905144,0.014288391434827432,0.015593404608428119,0.015441109190871077,0.021728479878810467,0.024527498706985663,0.021799349020312924,0.022127604981280885,0.01412651281920898,0.017208072754753792,0.019745456982097943,0.026565281881617536,0.024123547987819228,0.013353655119315688,0.025459698509522243,0.015260548539761153,0.01539901250030692,0.02659951959874858,0.021646066290560016,0.024255387990729516,0.024881277153281308,0.013530785450503922,0.024686011782401054,0.018680093323269975,0.01613715503913051,0.027525948767049214,0.020402034197268576,0.022682497752124567,0.012917242143994551,0.023735888489242626,0.015678475944656548,0.01800144248123419,0.024711979711756243,0.016154401588989148
dqcncsjm,0.018760026187237648,0.02370501869901461,0.022684794257110653,0.01734743604484237,0.02187493659900657,0.024103904654996507,0.02206839621480036,0.019500153893494347,0.022465491994337856,0.01987669639432476,7.089134319585919e-07,0.021682651677395505,0.023511204813903792,0.02291929889207162,0.015731526171117203,0.01811607518095087,0.02308341215031015,0.015007057835112508,0.019134768077943707,0.017609074162193233,0.022308045157921123,0.023146146977048032,0.02230990377838054,0.021289133840621862,0.014449510585568467,0.019230659223649256,0.020265660760098524,0.02359592594559394,0.02135412321275992,0.01572365629593081,0.023610436441618535,0.017912058199691393,0.019003750608003682,0.023440364971431444,0.022401477124927203,0.023612113812441785,0.020743410493187155,0.015208007740318248,0.02335578013490833,0.020952498387430164,0.019049313031926998,0.022641534365340124,0.022450204899575745,0.022516186532310935,0.013101879337019671,0.020999994069743646,0.01773225844475417,0.020537786694202125,0.020227620674971133,0.017647925445028908
dqcnbchm,0.01806306114648459,0.026008808092367178,0.026457120691858904,0.013550220572592715,0.027240970699809405,0.025229032425168427,0.02755606643070127,0.01747677747126123,0.020614142472229136,0.01758505547082972,1.7286815574415157e-06,0.022382812605319723,0.023906071334479296,0.021554328401439015,0.01403457501741317,0.015573400784140476,0.02492941630871194,0.01390701732244748,0.015967202786625365,0.015782324509106244,0.02124078071047861,0.02497479566432048,0.02125313950535695,0.02228045502257842,0.013730629497003044,0.017352631815422563,0.019170685433699826,0.026157851645577712,0.023787245949824665,0.013285299367242091,0.0252566550934465,0.015605404683327719,0.015728780934496853,0.02604697750189709,0.021167592710023494,0.024250246329039642,0.024863679843804203,0.01338349399018981,0.024936463776834002,0.01886683584150003,0.016686798447979143,0.027428054554017728,0.020671056716967954,0.023382621040042118,0.012864253124029909,0.02317923029374968,0.01612303739486974,0.01869547233795203,0.02396477807932629,0.015844919470458928
dqcng43b,0.014444652867764345,0.019482128107933903,0.018867731731286135,0.02412270982598674,0.01601050902782808,0.021374030205301202,0.016756368945989815,0.026420180526548365,0.021977920695129615,0.020332627733974002,1.4112403719856284e-06,0.02141463657549124,0.022586817312373275,0.024355851974266027,0.012137223173686715,0.015519995299607377,0.020324193211200374,0.02181228986261796,0.025441927634219253,0.02575928470405042,0.023643969016276117,0.022886409255786274,0.02342535611146751,0.02200248781968483,0.02093764227990706,0.025801708681926737,0.022548182945954197,0.01994676179705172,0.017944382663085852,0.013256140820152744,0.02170373127212648,0.01571317817587818,0.018568624910028864,0.018596511055792627,0.023425478722098294,0.01974742931315504,0.01796477812640636,0.011619951212855643,0.02257511096189735,0.025610968043105798,0.02620697611381413,0.018153175200174513,0.02323236942385456,0.019648968105640024,0.02036476866322607,0.020126658719983984,0.014499134538484875,0.0189797014460246,0.017599880005962947,0.024127073942569847
dqcnfpuz,0.02073610142835303,0.021592720991731852,0.019672903938395835,0.020626462477971428,0.01786316115632955,0.02264732696634086,0.018177596844885718,0.020213393845619685,0.024299000886550622,0.022506676990416852,2.1211532527596075e-07,0.021423930414093757,0.023111298920423226,0.022788915457226517,0.018998616310838875,0.021421269459660365,0.021986469649697263,0.013950752728913919,0.02140519216672661,0.017632357493230475,0.022345327530473358,0.021544404917845143,0.022386777137998606,0.021047399845365352,0.01363364254919011,0.01929176267849696,0.02059087450220968,0.021368933063509007,0.0205183455985662,0.019585090565340083,0.021473849043416114,0.021594089709195453,0.02233418210767729,0.021411736507681117,0.02278802294791367,0.023169031920324698,0.018372894654756153,0.01853569604893314,0.021792712072037774,0.02106921216502119,0.019774404353485937,0.018984587890788815,0.023321686701970122,0.022648256627783244,0.01199306210178449,0.019238119817554054,0.020393687257889075,0.022685884108818544,0.01775139527965444,0.01730057005158846
dqcp473c,0.020516271165260582,0.020252449285107117,0.01785495783999008,0.02090398753967642,0.016175220771739916,0.02236365434507284,0.017306629137463374,0.02087102105941287,0.02511938075838674,0.027119767861667664,7.420147936896442e-08,0.021156033337203457,0.024310335195812733,0.023073652699943912,0.020392443927884644,0.02507325855638525,0.023735671408979777,0.011915085873632237,0.022435781597499014,0.017418607168448324,0.02061228248100597,0.02133136993552235,0.02052935929391793,0.019700353990653664,0.011190455968316977,0.0188080831458206,0.018172329983580357,0.020068742070299444,0.01867168428647313,0.021122769933474308,0.020585004562728836,0.024686855886172608,0.02597692444396008,0.020150033187923737,0.021158427287030473,0.02375013251644922,0.016676973326861615,0.01984635104148289,0.021462485792617687,0.021457596629223717,0.020897793137086732,0.01800169525619735,0.02469322748661213,0.02454511110060001,0.010146478388989662,0.016622653150904516,0.023959682428704214,0.026706934692069216,0.014876315551462866,0.015597609312811452
