household_id_1,household_id_2,link_type,timestep
41,12,2.0,0
41,18,2.0,0
41,29,2.0,0
41,14,2.0,0
41,13,2.0,0
41,31,2.0,0
41,21,2.0,0
12,37,2.0,0
12,20,1.0,0
12,33,2.0,0
12,39,2.0,0
12,36,1.0,0
12,48,2.0,0
12,10,1.0,0
12,31,2.0,0
12,21,1.0,0
12,15,2.0,0
12,22,1.0,0
12,45,2.0,0
8,11,2.0,0
8,13,2.0,0
8,50,2.0,0
8,15,1.0,0
8,35,2.0,0
8,23,2.0,0
8,45,2.0,0
40,49,1.0,0
40,43,2.0,0
40,47,2.0,0
40,30,2.0,0
40,28,2.0,0
40,10,2.0,0
40,31,2.0,0
40,32,2.0,0
40,38,2.0,0
4,33,2.0,0
4,18,2.0,0
4,39,2.0,0
4,27,2.0,0
4,13,1.0,0
4,10,2.0,0
4,15,2.0,0
4,2,2.0,0
17,5,2.0,0
17,49,2.0,0
17,19,2.0,0
17,18,2.0,0
17,30,2.0,0
17,36,2.0,0
17,9,2.0,0
17,46,2.0,0
17,50,2.0,0
17,10,2.0,0
17,15,1.0,0
17,32,1.0,0
17,26,2.0,0
5,19,2.0,0
5,25,2.0,0
5,30,1.0,0
5,36,2.0,0
5,9,2.0,0
5,11,1.0,0
5,48,2.0,0
5,50,2.0,0
37,20,2.0,0
37,33,2.0,0
37,47,2.0,0
37,27,2.0,0
37,29,2.0,0
37,10,2.0,0
37,2,2.0,0
34,19,2.0,0
34,14,2.0,0
34,11,2.0,0
34,31,2.0,0
49,46,2.0,0
49,31,2.0,0
49,35,1.0,0
49,22,2.0,0
49,42,2.0,0
19,18,2.0,0
19,29,2.0,0
19,30,2.0,0
19,16,2.0,0
19,48,2.0,0
19,10,2.0,0
19,42,2.0,0
20,18,2.0,0
20,27,2.0,0
20,29,2.0,0
20,16,2.0,0
20,10,2.0,0
33,27,2.0,0
33,36,2.0,0
33,9,2.0,0
33,10,1.0,0
33,31,1.0,0
33,6,1.0,0
33,3,1.0,0
43,30,2.0,0
43,11,2.0,0
43,50,2.0,0
43,21,2.0,0
43,44,2.0,0
47,18,2.0,0
47,25,2.0,0
47,39,2.0,0
47,46,2.0,0
47,50,2.0,0
47,7,2.0,0
47,32,2.0,0
47,23,2.0,0
47,3,2.0,0
47,26,2.0,0
18,14,2.0,0
18,30,2.0,0
18,21,2.0,0
18,44,2.0,0
18,32,2.0,0
18,3,2.0,0
18,42,1.0,0
25,14,2.0,0
25,13,2.0,0
25,10,2.0,0
25,31,2.0,0
25,15,2.0,0
25,6,2.0,0
39,28,2.0,0
39,31,2.0,0
39,42,2.0,0
27,36,2.0,0
27,50,2.0,0
27,7,2.0,0
27,15,1.0,0
27,3,2.0,0
27,45,2.0,0
29,13,2.0,0
29,31,2.0,0
29,21,2.0,0
14,28,2.0,0
14,9,2.0,0
14,48,2.0,0
14,13,2.0,0
14,10,2.0,0
14,31,2.0,0
14,7,2.0,0
14,23,2.0,0
14,45,2.0,0
30,16,1.0,0
30,36,2.0,0
30,28,2.0,0
30,9,2.0,0
30,48,2.0,0
30,46,2.0,0
30,38,1.0,0
30,3,2.0,0
30,42,2.0,0
30,26,2.0,0
16,36,1.0,0
16,28,1.0,0
16,50,1.0,0
16,21,2.0,0
16,22,2.0,0
16,3,2.0,0
16,42,2.0,0
24,11,2.0,0
24,10,2.0,0
24,7,2.0,0
24,15,2.0,0
24,35,2.0,0
24,3,1.0,0
24,26,2.0,0
36,48,2.0,0
36,13,2.0,0
36,7,1.0,0
36,3,2.0,0
28,13,2.0,0
28,10,2.0,0
28,31,2.0,0
28,32,2.0,0
28,2,1.0,0
9,13,2.0,0
9,32,2.0,0
9,38,2.0,0
9,6,2.0,0
9,23,2.0,0
9,2,2.0,0
9,26,2.0,0
11,50,2.0,0
11,32,2.0,0
11,6,2.0,0
11,22,2.0,0
11,23,2.0,0
11,45,2.0,0
48,13,2.0,0
48,10,2.0,0
48,32,2.0,0
48,23,2.0,0
48,42,2.0,0
13,46,2.0,0
13,7,2.0,0
13,32,2.0,0
46,50,2.0,0
46,3,2.0,0
50,7,2.0,0
50,15,2.0,0
50,32,2.0,0
50,22,2.0,0
10,31,2.0,0
10,44,2.0,0
10,42,2.0,0
31,32,2.0,0
31,38,2.0,0
31,26,2.0,0
21,6,2.0,0
21,42,2.0,0
21,26,2.0,0
7,15,1.0,0
44,32,2.0,0
44,45,2.0,0
15,32,2.0,0
32,26,2.0,0
38,35,2.0,0
38,22,2.0,0
38,26,2.0,0
6,2,2.0,0
22,3,2.0,0
22,42,2.0,0
23,26,2.0,0
3,45,2.0,0
3,42,2.0,0
3,26,2.0,0
42,26,2.0,0
41,12,2.0,1
41,18,2.0,1
41,29,2.0,1
41,14,2.0,1
41,13,2.0,1
41,31,2.0,1
41,21,2.0,1
12,5,2.0,1
12,37,2.0,1
12,20,1.0,1
12,33,2.0,1
12,39,2.0,1
12,29,2.0,1
12,30,2.0,1
12,16,2.0,1
12,36,1.0,1
12,48,2.0,1
12,10,1.0,1
12,31,2.0,1
12,21,1.0,1
12,7,2.0,1
12,15,2.0,1
12,22,1.0,1
12,3,2.0,1
12,45,2.0,1
8,17,2.0,1
8,11,2.0,1
8,13,2.0,1
8,50,2.0,1
8,15,1.0,1
8,35,2.0,1
8,23,2.0,1
8,45,2.0,1
40,49,1.0,1
40,43,2.0,1
40,47,2.0,1
40,30,2.0,1
40,28,2.0,1
40,10,2.0,1
40,31,2.0,1
40,15,2.0,1
40,32,2.0,1
40,38,2.0,1
40,35,2.0,1
4,33,2.0,1
4,18,2.0,1
4,39,2.0,1
4,27,2.0,1
4,13,1.0,1
4,10,2.0,1
4,7,2.0,1
4,15,2.0,1
17,5,2.0,1
17,49,2.0,1
17,19,2.0,1
17,18,2.0,1
17,30,2.0,1
17,16,2.0,1
17,36,2.0,1
17,9,2.0,1
17,46,2.0,1
17,50,2.0,1
17,10,2.0,1
17,7,2.0,1
17,15,1.0,1
17,32,1.0,1
17,3,2.0,1
17,26,2.0,1
5,19,2.0,1
5,25,2.0,1
5,30,1.0,1
5,36,2.0,1
5,9,2.0,1
5,11,1.0,1
5,48,2.0,1
5,50,2.0,1
37,20,2.0,1
37,33,2.0,1
37,47,2.0,1
37,27,2.0,1
37,29,2.0,1
37,10,2.0,1
34,19,2.0,1
34,47,2.0,1
34,14,2.0,1
34,9,2.0,1
34,11,2.0,1
34,31,2.0,1
49,39,2.0,1
49,46,2.0,1
49,31,2.0,1
49,35,1.0,1
49,22,2.0,1
49,42,2.0,1
19,18,2.0,1
19,29,2.0,1
19,30,2.0,1
19,16,2.0,1
19,11,2.0,1
19,48,2.0,1
19,10,2.0,1
19,42,2.0,1
20,18,2.0,1
20,27,2.0,1
20,29,2.0,1
20,16,2.0,1
20,10,2.0,1
20,35,2.0,1
20,42,2.0,1
33,27,2.0,1
33,14,2.0,1
33,36,2.0,1
33,9,2.0,1
33,10,1.0,1
33,31,1.0,1
33,21,2.0,1
33,6,1.0,1
33,3,1.0,1
43,30,2.0,1
43,11,2.0,1
43,50,2.0,1
43,21,2.0,1
43,44,2.0,1
47,18,2.0,1
47,25,2.0,1
47,39,2.0,1
47,46,2.0,1
47,50,2.0,1
47,7,2.0,1
47,15,2.0,1
47,32,2.0,1
47,23,2.0,1
47,3,2.0,1
47,26,2.0,1
18,14,2.0,1
18,30,2.0,1
18,16,2.0,1
18,50,2.0,1
18,21,2.0,1
18,15,2.0,1
18,32,2.0,1
18,3,2.0,1
18,42,1.0,1
25,14,2.0,1
25,16,2.0,1
25,13,2.0,1
25,10,2.0,1
25,31,2.0,1
25,15,2.0,1
39,30,2.0,1
39,28,2.0,1
39,31,2.0,1
39,42,2.0,1
27,36,2.0,1
27,50,2.0,1
27,7,2.0,1
27,15,1.0,1
27,3,2.0,1
27,45,2.0,1
29,16,2.0,1
29,13,2.0,1
29,31,2.0,1
29,21,2.0,1
29,7,2.0,1
29,35,2.0,1
29,22,2.0,1
29,23,2.0,1
29,26,2.0,1
14,28,2.0,1
14,9,2.0,1
14,48,2.0,1
14,13,2.0,1
14,10,2.0,1
14,31,2.0,1
14,7,2.0,1
14,15,2.0,1
14,32,2.0,1
14,23,2.0,1
14,45,2.0,1
30,16,1.0,1
30,24,2.0,1
30,36,2.0,1
30,28,2.0,1
30,9,2.0,1
30,48,2.0,1
30,46,2.0,1
30,7,2.0,1
30,32,2.0,1
30,38,1.0,1
30,3,2.0,1
30,42,2.0,1
30,26,2.0,1
16,36,1.0,1
16,28,1.0,1
16,50,1.0,1
16,21,2.0,1
16,15,2.0,1
16,22,2.0,1
16,3,2.0,1
16,42,2.0,1
24,11,2.0,1
24,10,2.0,1
24,7,2.0,1
24,15,2.0,1
24,35,2.0,1
24,3,1.0,1
24,26,2.0,1
36,11,2.0,1
36,48,2.0,1
36,13,2.0,1
36,10,2.0,1
36,7,1.0,1
36,3,2.0,1
28,13,2.0,1
28,10,2.0,1
28,31,2.0,1
28,7,2.0,1
28,32,2.0,1
28,22,2.0,1
28,2,1.0,1
9,13,2.0,1
9,32,2.0,1
9,38,2.0,1
9,23,2.0,1
9,26,2.0,1
11,50,2.0,1
11,10,2.0,1
11,7,2.0,1
11,32,2.0,1
11,22,2.0,1
11,23,2.0,1
11,45,2.0,1
48,13,2.0,1
48,50,2.0,1
48,10,2.0,1
48,32,2.0,1
48,23,2.0,1
48,42,2.0,1
13,46,2.0,1
13,7,2.0,1
13,32,2.0,1
46,50,2.0,1
46,3,2.0,1
50,7,2.0,1
50,15,2.0,1
50,32,2.0,1
50,22,2.0,1
10,31,2.0,1
10,15,2.0,1
10,35,2.0,1
10,23,2.0,1
10,42,2.0,1
31,32,2.0,1
31,38,2.0,1
31,22,2.0,1
31,26,2.0,1
21,7,2.0,1
21,35,2.0,1
21,22,2.0,1
21,3,2.0,1
21,42,2.0,1
21,26,2.0,1
7,15,1.0,1
15,32,2.0,1
32,22,2.0,1
32,26,2.0,1
38,35,2.0,1
38,22,2.0,1
38,26,2.0,1
22,3,2.0,1
22,42,2.0,1
23,3,2.0,1
23,26,2.0,1
3,45,2.0,1
3,42,2.0,1
3,26,2.0,1
42,26,2.0,1
12,5,2.0,2
12,37,2.0,2
12,20,1.0,2
12,33,2.0,2
12,39,2.0,2
12,29,2.0,2
12,30,2.0,2
12,16,2.0,2
12,36,1.0,2
12,28,2.0,2
12,48,2.0,2
12,13,2.0,2
12,10,1.0,2
12,31,2.0,2
12,21,1.0,2
12,7,2.0,2
12,15,2.0,2
12,22,1.0,2
12,3,2.0,2
12,45,2.0,2
8,17,2.0,2
8,11,2.0,2
8,13,2.0,2
8,50,2.0,2
8,7,2.0,2
8,15,1.0,2
8,35,2.0,2
8,23,2.0,2
8,45,2.0,2
40,37,2.0,2
40,34,2.0,2
40,49,1.0,2
40,43,2.0,2
40,47,2.0,2
40,25,2.0,2
40,30,2.0,2
40,28,2.0,2
40,10,2.0,2
40,31,2.0,2
40,15,2.0,2
40,32,2.0,2
40,38,2.0,2
40,35,2.0,2
4,33,2.0,2
4,18,2.0,2
4,39,2.0,2
4,27,2.0,2
4,13,1.0,2
4,10,2.0,2
4,7,2.0,2
4,15,2.0,2
4,3,2.0,2
17,5,2.0,2
17,49,2.0,2
17,19,2.0,2
17,47,2.0,2
17,18,2.0,2
17,30,2.0,2
17,16,2.0,2
17,36,2.0,2
17,28,2.0,2
17,9,2.0,2
17,46,2.0,2
17,50,2.0,2
17,10,2.0,2
17,7,2.0,2
17,15,1.0,2
17,32,1.0,2
17,22,2.0,2
17,3,2.0,2
17,26,2.0,2
5,19,2.0,2
5,25,2.0,2
5,30,1.0,2
5,36,2.0,2
5,9,2.0,2
5,11,1.0,2
5,48,2.0,2
5,50,2.0,2
37,20,2.0,2
37,33,2.0,2
37,47,2.0,2
37,39,2.0,2
37,27,2.0,2
37,29,2.0,2
37,36,2.0,2
37,10,2.0,2
34,19,2.0,2
34,47,2.0,2
34,14,2.0,2
34,9,2.0,2
34,11,2.0,2
34,31,2.0,2
49,39,2.0,2
49,30,2.0,2
49,9,2.0,2
49,46,2.0,2
49,31,2.0,2
49,35,1.0,2
49,22,2.0,2
49,42,2.0,2
19,18,2.0,2
19,29,2.0,2
19,30,2.0,2
19,16,2.0,2
19,11,2.0,2
19,48,2.0,2
19,10,2.0,2
19,42,2.0,2
20,18,2.0,2
20,27,2.0,2
20,29,2.0,2
20,16,2.0,2
20,9,2.0,2
20,10,2.0,2
20,35,2.0,2
20,42,2.0,2
33,27,2.0,2
33,29,2.0,2
33,14,2.0,2
33,36,2.0,2
33,9,2.0,2
33,10,1.0,2
33,31,1.0,2
33,21,2.0,2
33,32,2.0,2
33,6,1.0,2
33,3,1.0,2
43,18,2.0,2
43,30,2.0,2
