household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnbbdq,2.0,0
dqcp176g,dqcnbchm,2.0,0
dqcp176g,dqcncu6f,1.0,0
dqcp176g,dqcp1ys8,2.0,0
dqcp176g,dqcnc78q,1.0,0
dqcp176g,dqcnfqc3,2.0,0
dqcp176g,dqcne1qu,2.0,0
dqcp176g,dqcp1wg8,2.0,0
dqcp176g,dqcn9r0y,2.0,0
dqcnc7hq,dqcngqhc,2.0,0
dqcnc7hq,dqcncsjm,2.0,0
dqcnc7hq,dqcng43b,2.0,0
dqcnc7hq,dqcncvkb,2.0,0
dqcnc7hq,dqcp1yv9,2.0,0
dqcnc7hq,dqcncfq5,1.0,0
dqcnc7hq,dqcnc7bc,2.0,0
dqcnc7hq,dqcp1z6r,2.0,0
dqcnc7hq,dqcp4kgx,2.0,0
dqcnc7hq,dqcncwc5,2.0,0
dqcnc7hq,dqcnc0y3,2.0,0
dqcnc7hq,dqcng4te,2.0,0
dqcnc7hq,dqcnfqc3,2.0,0
dqcnc29k,dqcne6ct,2.0,0
dqcnc29k,dqcngjkj,2.0,0
dqcnc29k,dqcner94,2.0,0
dqcnc29k,dqcnf3uz,2.0,0
dqcnc29k,dqcnc6tb,2.0,0
dqcnc29k,dqcnc78q,2.0,0
dqcnc29k,dqcnc0y3,2.0,0
dqcnc29k,dqcnfffs,2.0,0
dqcnc29k,dqcncx6x,2.0,0
dqcnc29k,dqcp1gxv,2.0,0
dqcnc29k,dqcnenmf,2.0,0
dqcngqhc,dqcp1rx0,2.0,0
dqcngqhc,dqcne6ct,2.0,0
dqcngqhc,dqcner94,2.0,0
dqcngqhc,dqcncf4c,2.0,0
dqcngqhc,dqcnf6cj,2.0,0
dqcngqhc,dqcne4gy,2.0,0
dqcngqhc,dqcnc7bc,2.0,0
dqcngqhc,dqcnc0y3,2.0,0
dqcngqhc,dqcnfffs,2.0,0
dqcngqhc,dqcne1qu,2.0,0
dqcngqhc,dqcn9xvx,2.0,0
dqcngqhc,dqcn9r0y,2.0,0
dqcnbbdq,dqcnfk5z,2.0,0
dqcnbbdq,dqcp1yv9,2.0,0
dqcnbbdq,dqcne6ct,2.0,0
dqcnbbdq,dqcner94,2.0,0
dqcnbbdq,dqcnc6tb,2.0,0
dqcncsjm,dqcnbchm,2.0,0
dqcncsjm,dqcp1yv9,2.0,0
dqcncsjm,dqcne4gy,2.0,0
dqcncsjm,dqcnc7bc,2.0,0
dqcncsjm,dqcp1ys8,2.0,0
dqcncsjm,dqcnc0y3,2.0,0
dqcncsjm,dqcp1rzr,2.0,0
dqcncsjm,dqcng4te,2.0,0
dqcncsjm,dqcnc0gn,2.0,0
dqcncsjm,dqcn9r0y,2.0,0
dqcnbchm,dqcng43b,2.0,0
dqcnbchm,dqcp473c,2.0,0
