household_id_1,household_id_2,link_type,timestep
41,1,2.0,0
41,43,1.0,0
41,27,2.0,0
41,30,2.0,0
41,11,2.0,0
41,48,2.0,0
41,13,2.0,0
41,21,2.0,0
41,44,1.0,0
41,23,2.0,0
12,8,2.0,0
12,17,2.0,0
12,5,2.0,0
12,1,2.0,0
12,20,2.0,0
12,18,1.0,0
12,14,2.0,0
12,36,2.0,0
12,11,2.0,0
12,31,2.0,0
12,32,1.0,0
12,6,2.0,0
12,35,2.0,0
12,22,2.0,0
12,23,2.0,0
8,40,2.0,0
8,34,2.0,0
8,19,2.0,0
8,18,2.0,0
8,30,2.0,0
8,16,2.0,0
8,28,2.0,0
8,13,1.0,0
8,50,2.0,0
8,10,2.0,0
8,32,2.0,0
8,35,2.0,0
8,42,2.0,0
40,4,2.0,0
40,34,2.0,0
40,19,2.0,0
40,47,2.0,0
40,39,2.0,0
40,30,2.0,0
40,9,2.0,0
40,46,2.0,0
40,15,1.0,0
40,38,1.0,0
40,3,2.0,0
40,45,2.0,0
40,2,2.0,0
4,17,2.0,0
4,20,2.0,0
4,47,2.0,0
4,25,2.0,0
4,24,2.0,0
4,36,2.0,0
4,9,2.0,0
4,11,2.0,0
4,46,2.0,0
4,50,2.0,0
4,7,2.0,0
4,32,2.0,0
4,38,2.0,0
4,35,2.0,0
4,23,2.0,0
4,45,2.0,0
4,26,2.0,0
17,19,2.0,0
17,33,2.0,0
17,47,2.0,0
17,27,2.0,0
17,30,2.0,0
17,24,2.0,0
17,11,2.0,0
17,10,2.0,0
17,21,2.0,0
17,44,2.0,0
17,15,2.0,0
17,38,2.0,0
17,22,2.0,0
5,37,2.0,0
5,34,2.0,0
5,49,2.0,0
5,1,2.0,0
5,36,2.0,0
5,11,2.0,0
5,32,2.0,0
5,22,2.0,0
37,1,2.0,0
37,43,2.0,0
37,25,2.0,0
37,27,2.0,0
37,24,2.0,0
37,50,2.0,0
37,7,2.0,0
37,15,2.0,0
37,35,2.0,0
37,45,2.0,0
37,42,2.0,0
34,19,2.0,0
34,32,2.0,0
34,22,2.0,0
34,45,2.0,0
34,42,2.0,0
49,27,2.0,0
49,14,2.0,0
49,21,2.0,0
49,44,2.0,0
49,23,2.0,0
1,27,2.0,0
1,14,2.0,0
1,30,2.0,0
1,28,2.0,0
1,48,2.0,0
1,31,2.0,0
1,21,2.0,0
1,2,2.0,0
19,18,2.0,0
19,27,2.0,0
19,11,2.0,0
19,13,1.0,0
19,10,1.0,0
19,7,2.0,0
19,44,2.0,0
19,22,2.0,0
19,23,2.0,0
19,42,2.0,0
19,2,2.0,0
20,18,2.0,0
20,28,2.0,0
20,46,2.0,0
20,7,2.0,0
20,44,2.0,0
20,6,2.0,0
20,35,2.0,0
20,23,2.0,0
20,45,2.0,0
20,2,2.0,0
33,18,2.0,0
33,25,2.0,0
33,39,2.0,0
33,16,2.0,0
33,24,2.0,0
33,48,2.0,0
33,10,2.0,0
33,31,2.0,0
33,21,2.0,0
33,42,2.0,0
33,26,2.0,0
43,18,2.0,0
43,16,2.0,0
43,36,2.0,0
43,28,2.0,0
43,22,2.0,0
43,42,2.0,0
47,24,2.0,0
47,10,2.0,0
47,44,2.0,0
47,22,2.0,0
18,27,2.0,0
18,14,2.0,0
18,16,2.0,0
18,24,2.0,0
18,48,2.0,0
18,10,2.0,0
18,21,2.0,0
18,7,2.0,0
18,38,2.0,0
18,6,2.0,0
18,42,2.0,0
25,27,2.0,0
25,11,2.0,0
25,31,2.0,0
25,23,2.0,0
39,14,2.0,0
39,16,2.0,0
39,24,2.0,0
39,36,2.0,0
39,13,2.0,0
39,50,2.0,0
39,10,2.0,0
39,45,2.0,0
39,2,2.0,0
27,29,2.0,0
27,16,2.0,0
27,24,2.0,0
27,48,2.0,0
27,46,2.0,0
27,31,2.0,0
27,6,2.0,0
27,23,1.0,0
27,26,2.0,0
29,16,1.0,0
29,11,2.0,0
29,50,2.0,0
29,31,2.0,0
29,21,2.0,0
29,32,2.0,0
29,38,2.0,0
29,35,2.0,0
29,23,2.0,0
29,3,2.0,0
