household_id_1,household_id_2,link_type,time_step
dqcp176g,dqchf7jt,2.0,0
dqcp176g,dqcp1rx0,1.0,0
dqcp176g,dqcner94,2.0,0
dqcp176g,dqcnf6cj,2.0,0
dqcp176g,dqcnc7bc,2.0,0
dqcp176g,dqcp1z6r,2.0,0
dqcp176g,dqcncdq7,2.0,0
dqcp176g,dqcncwc5,2.0,0
dqcp176g,dqcp1rzr,1.0,0
dqcp176g,dqcne1qu,2.0,0
dqcnc7hq,dqcnc29k,2.0,0
dqcnc7hq,dqcncsjm,2.0,0
dqcnc7hq,dqcnbchm,2.0,0
dqcnc7hq,dqchf7jt,2.0,0
dqcnc7hq,dqcncvkb,2.0,0
dqcnc7hq,dqcnctbb,1.0,0
dqcnc7hq,dqcncf4c,2.0,0
dqcnc7hq,dqcng06w,2.0,0
dqcnc7hq,dqcnc7bc,2.0,0
dqcnc7hq,dqcnf794,2.0,0
dqcnc7hq,dqcnfffs,1.0,0
dqcnc7hq,dqcnc0gn,2.0,0
dqcnc7hq,dqcnfqc3,2.0,0
dqcnc7hq,dqcncx6x,2.0,0
dqcnc7hq,dqcne1qu,2.0,0
dqcnc29k,dqcngqhc,2.0,0
dqcnc29k,dqcnfpuz,2.0,0
dqcnc29k,dqcncu6f,2.0,0
dqcnc29k,dqcnctbb,2.0,0
dqcnc29k,dqcnf6cj,2.0,0
dqcnc29k,dqcncfq5,2.0,0
dqcnc29k,dqcnf3uz,2.0,0
dqcnc29k,dqcncdq7,1.0,0
dqcnc29k,dqcp4kgx,2.0,0
dqcnc29k,dqcnc78q,2.0,0
dqcnc29k,dqcnfffs,2.0,0
dqcnc29k,dqcnfqc3,2.0,0
dqcnc29k,dqcp1gxv,2.0,0
dqcngqhc,dqcnbbdq,2.0,0
dqcngqhc,dqcnfpuz,2.0,0
dqcngqhc,dqcncu6f,2.0,0
dqcngqhc,dqcp1yv9,2.0,0
dqcngqhc,dqcngjkj,2.0,0
dqcngqhc,dqcnf6cj,2.0,0
dqcngqhc,dqcnc6tb,2.0,0
dqcngqhc,dqcp1ys8,2.0,0
dqcngqhc,dqcncf6c,1.0,0
dqcngqhc,dqcng4te,1.0,0
dqcngqhc,dqcn9xvx,2.0,0
dqcngqhc,dqcp1wg8,2.0,0
dqcngqhc,dqcn9r0y,2.0,0
dqcnbbdq,dqcncsjm,2.0,0
dqcnbbdq,dqcncvkb,2.0,0
dqcnbbdq,dqcp1yv9,2.0,0
dqcnbbdq,dqcne6ct,2.0,0
dqcnbbdq,dqcne4gy,2.0,0
dqcnbbdq,dqcng06w,2.0,0
dqcnbbdq,dqcnc6tb,2.0,0
dqcnbbdq,dqcnc7bc,2.0,0
dqcnbbdq,dqcp1ys8,2.0,0
dqcnbbdq,dqcp4kgx,2.0,0
dqcnbbdq,dqcnc0y3,2.0,0
dqcnbbdq,dqcnfffs,2.0,0
dqcnbbdq,dqcng4te,2.0,0
dqcnbbdq,dqcnfqc3,2.0,0
dqcnbbdq,dqcne1qu,2.0,0
dqcnbbdq,dqcp1wg8,2.0,0
dqcnbbdq,dqcnenmf,2.0,0
dqcncsjm,dqcncu6f,2.0,0
dqcncsjm,dqcnfk5z,2.0,0
dqcncsjm,dqcp1yv9,2.0,0
dqcncsjm,dqcner94,2.0,0
dqcncsjm,dqcnf6cj,2.0,0
dqcncsjm,dqcne4gy,2.0,0
dqcncsjm,dqcnc7bc,2.0,0
dqcncsjm,dqcnc78q,2.0,0
dqcncsjm,dqcncwc5,2.0,0
dqcncsjm,dqcp1rzr,2.0,0
dqcncsjm,dqcncf6c,2.0,0
dqcncsjm,dqcng4te,2.0,0
dqcncsjm,dqcncx6x,2.0,0
dqcnbchm,dqcng43b,2.0,0
dqcnbchm,dqcnfpuz,2.0,0
dqcnbchm,dqcp473c,2.0,0
dqcnbchm,dqchf7jt,2.0,0
dqcnbchm,dqcng06w,2.0,0
dqcnbchm,dqcnc7bc,2.0,0
dqcnbchm,dqcnfffs,2.0,0
dqcnbchm,dqcncx6x,2.0,0
dqcng43b,dqchf7jt,2.0,0
dqcng43b,dqcp1rx0,2.0,0
dqcng43b,dqcne6ct,2.0,0
dqcng43b,dqcner94,2.0,0
dqcng43b,dqcne4gy,2.0,0
dqcng43b,dqcp4kgx,2.0,0
dqcng43b,dqcnc0y3,2.0,0
dqcng43b,dqcncf6c,2.0,0
dqcng43b,dqcnfqc3,2.0,0
dqcng43b,dqcp1wg8,2.0,0
dqcng43b,dqcp1gxv,2.0,0
dqcnfpuz,dqcncu6f,2.0,0
dqcnfpuz,dqcnfffs,2.0,0
dqcnfpuz,dqcncx6x,2.0,0
dqcnfpuz,dqcp1wg8,2.0,0
dqcnfpuz,dqcp1gxv,2.0,0
dqcp473c,dqcner94,2.0,0
dqcp473c,dqcncf4c,2.0,0
dqcp473c,dqcncwc5,2.0,0
dqcp473c,dqcp1rzr,2.0,0
dqcp473c,dqcne1qu,2.0,0
dqchf7jt,dqcner94,2.0,0
dqchf7jt,dqcncf4c,2.0,0
dqchf7jt,dqcnf6cj,2.0,0
dqchf7jt,dqcnf3uz,2.0,0
dqchf7jt,dqcp1z6r,2.0,0
dqchf7jt,dqcnf794,2.0,0
dqchf7jt,dqcncwc5,2.0,0
dqchf7jt,dqcn9r0y,2.0,0
dqcncu6f,dqcnctbb,2.0,0
dqcncu6f,dqcner94,2.0,0
dqcncu6f,dqcnc7bc,2.0,0
dqcncu6f,dqcncdq7,1.0,0
dqcncu6f,dqcnc78q,1.0,0
dqcncu6f,dqcnc0y3,2.0,0
dqcncu6f,dqcp1rzr,2.0,0
dqcncu6f,dqcncx6x,2.0,0
dqcncu6f,dqcne1qu,2.0,0
dqcncu6f,dqcp1gxv,2.0,0
dqcncu6f,dqcn9r0y,2.0,0
dqcncvkb,dqcnctbb,2.0,0
dqcncvkb,dqcnf3uz,2.0,0
dqcncvkb,dqcp1ys8,2.0,0
dqcncvkb,dqcnc0y3,2.0,0
dqcncvkb,dqcp1rzr,2.0,0
dqcncvkb,dqcnc0gn,2.0,0
dqcncvkb,dqcnfqc3,2.0,0
dqcncvkb,dqcne1qu,2.0,0
dqcncvkb,dqcp1wg8,2.0,0
dqcncvkb,dqcn9r0y,2.0,0
dqcnfk5z,dqcnctbb,2.0,0
dqcnfk5z,dqcne6ct,2.0,0
dqcnfk5z,dqcngjkj,2.0,0
dqcnfk5z,dqcncfq5,2.0,0
dqcnfk5z,dqcne4gy,2.0,0
dqcnfk5z,dqcp1z6r,2.0,0
dqcnfk5z,dqcnc78q,2.0,0
dqcnfk5z,dqcnf794,2.0,0
dqcnfk5z,dqcncwc5,2.0,0
dqcnfk5z,dqcp1gxv,2.0,0
dqcnfk5z,dqcnenmf,2.0,0
dqcp1rx0,dqcnctbb,2.0,0
dqcp1rx0,dqcncfq5,2.0,0
dqcp1rx0,dqcng06w,2.0,0
dqcp1rx0,dqcnf3uz,2.0,0
dqcp1rx0,dqcncx6x,2.0,0
dqcp1rx0,dqcp1gxv,2.0,0
dqcp1yv9,dqcne4gy,2.0,0
dqcp1yv9,dqcnc78q,2.0,0
dqcp1yv9,dqcp1rzr,2.0,0
dqcp1yv9,dqcncx6x,2.0,0
dqcnctbb,dqcner94,2.0,0
dqcnctbb,dqcncf4c,2.0,0
dqcnctbb,dqcncfq5,2.0,0
dqcnctbb,dqcne4gy,2.0,0
dqcnctbb,dqcp1z6r,2.0,0
dqcnctbb,dqcnc78q,2.0,0
dqcnctbb,dqcncwc5,2.0,0
dqcnctbb,dqcnc0y3,2.0,0
dqcnctbb,dqcng4te,2.0,0
dqcnctbb,dqcnc0gn,2.0,0
dqcnctbb,dqcp1gxv,2.0,0
dqcne6ct,dqcner94,2.0,0
dqcne6ct,dqcnc7bc,2.0,0
dqcne6ct,dqcnf794,2.0,0
dqcne6ct,dqcne1qu,2.0,0
dqcngjkj,dqcncf4c,2.0,0
dqcngjkj,dqcncfq5,2.0,0
dqcngjkj,dqcne4gy,2.0,0
dqcngjkj,dqcng06w,2.0,0
dqcngjkj,dqcncdq7,2.0,0
dqcngjkj,dqcp4kgx,2.0,0
dqcngjkj,dqcnc78q,2.0,0
dqcngjkj,dqcp1wg8,2.0,0
dqcngjkj,dqcn9r0y,2.0,0
dqcner94,dqcnf6cg,2.0,0
dqcner94,dqcncfq5,2.0,0
dqcner94,dqcne4gy,2.0,0
dqcner94,dqcp1z6r,2.0,0
dqcner94,dqcp1ys8,2.0,0
dqcner94,dqcnf794,2.0,0
dqcner94,dqcnc0gn,2.0,0
dqcner94,dqcne1qu,1.0,0
dqcner94,dqcnenmf,2.0,0
dqcnf6cg,dqcncfq5,1.0,0
dqcnf6cg,dqcnc7bc,2.0,0
dqcnf6cg,dqcp4kgx,2.0,0
dqcnf6cg,dqcnf794,2.0,0
dqcnf6cg,dqcncwc5,2.0,0
dqcnf6cg,dqcnfffs,2.0,0
dqcnf6cg,dqcng4te,2.0,0
dqcnf6cg,dqcnfqc3,2.0,0
dqcnf6cg,dqcne1qu,2.0,0
dqcnf6cg,dqcn9xvx,2.0,0
dqcnf6cg,dqcp1gxv,2.0,0
dqcnf6cg,dqcnenmf,2.0,0
dqcncf4c,dqcnf3uz,2.0,0
dqcncf4c,dqcnc7bc,2.0,0
dqcncf4c,dqcp4kgx,2.0,0
dqcncf4c,dqcnc0y3,2.0,0
dqcncf4c,dqcncf6c,2.0,0
dqcncf4c,dqcnfffs,2.0,0
dqcncf4c,dqcn9xvx,2.0,0
dqcncf4c,dqcnenmf,2.0,0
dqcnf6cj,dqcnc7bc,2.0,0
dqcnf6cj,dqcnfffs,1.0,0
dqcnf6cj,dqcnc0gn,2.0,0
dqcnf6cj,dqcp1wg8,2.0,0
dqcnf6cj,dqcp1gxv,1.0,0
dqcncfq5,dqcnc6tb,2.0,0
dqcncfq5,dqcp1z6r,2.0,0
dqcncfq5,dqcncf6c,1.0,0
dqcncfq5,dqcnfffs,2.0,0
dqcncfq5,dqcn9r0y,2.0,0
dqcncfq5,dqcnenmf,2.0,0
dqcne4gy,dqcp1ys8,2.0,0
dqcne4gy,dqcp4kgx,2.0,0
