home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.21677644685784786,0.061667186704441185,0.015799463893869117,0.0020927729734427514,0.060808598382855565,0.2090992427988941,0.030654770099998768,0.18907254372913077,0.24953294094325074,6.386869606234373e-29,0.35795666883748534,0.0884156119514036,0.12346605807526503,0.7797639172422681,0.002446798322404606,0.1644298657154696,0.0021700095434733038,0.014566766529988643,0.007537904833417845,0.03472439828413455,0.10082138729160357,0.04550083711567452,0.07288342473445909,0.0018548253745414064,0.05214509867941982,0.19367882557109134,0.009402370523395072,0.30655680354683856,0.3102411499738173,0.21698892582675472,0.0013970385967459287,0.008819716251369202,0.3479896105627649,0.30369723001463916,0.056762841496863274,0.09647152243439396,0.6696378874592775,0.03253640110375999,0.036161712414263025,0.021297705608800836,0.009306065438823187,0.15722757491275857,0.4789819411958826,0.002991108187179652,0.17026806140721334,0.42305210988878417,0.581441014834567,0.005839428383950374,0.003177904129618682
dqcnc7hq,0.21677644685784786,1.0,0.7434650312378589,0.09208642302572248,0.01486269892456557,0.27210217966498446,0.6214156581758222,0.2493147758334098,0.49328342804175995,0.19494896324385294,3.93347712702049e-23,0.559187288375584,0.5339344364865111,0.1282265816504828,0.07193173190754268,0.0026923708150610086,0.8068819385896359,0.07170335678402572,0.07463976590963788,0.056760222200460224,0.29132967717011543,0.7897250483775982,0.3135763704415855,0.629520548798104,0.07608345290583277,0.16150970947426838,0.25648201337754295,0.05059342602659208,0.9673675224556129,0.140519885826484,0.7391525106775093,0.0022678732118782707,0.008072609931332752,0.7760960253615617,0.4140353248934822,0.28281369753936053,0.658017955374851,0.06862375994275825,0.3499549384762331,0.28706814191040825,0.19807838611163825,0.03544444624537873,0.4501853039835868,0.7696903227472017,0.05181584352583672,0.4493796880338984,0.13226859174698521,0.308351086028957,0.018621199383640347,0.06690522226912203
dqcnc29k,0.061667186704441185,0.7434650312378589,1.0,0.06233509360789589,0.028711336803017944,0.33205685968708454,0.34758879392198183,0.1661121052122888,0.2227468617820815,0.10814601557945827,1.620969979944006e-21,0.2578421811379778,0.6172340799521164,0.07669250591637336,0.013616552782604943,0.0024821157992064758,0.6526485097924892,0.06969645756771742,0.07168049948737272,0.05803659896401711,0.22102635541196297,0.525769369823414,0.25839124698666077,0.3730510303475675,0.06507184562529286,0.09283370205421002,0.10278939163229525,0.03438830405586385,0.6511080852176355,0.05271661983965173,0.356697788606859,0.0023944454314823818,0.0023077580295731304,0.5931000262954659,0.2021909959535549,0.27721860409772003,0.4242786598658867,0.019688334643433815,0.27028619616227173,0.15656971710517764,0.14047180974421786,0.019025697073584,0.31210808980176735,0.421374354441659,0.05265010449222742,0.21077404556783472,0.06224876179066292,0.09479241064862616,0.019428817064441037,0.05439908151555694
dqcngqhc,0.015799463893869117,0.09208642302572248,0.06233509360789589,1.0,0.0018557143995761502,0.11075130624505475,0.012326732115956909,0.5962568557232785,0.3156466684832852,0.25123932843424274,1.8404841241488789e-25,0.12124057739286251,0.22302222839123328,0.09277268223278856,0.00875944474456264,0.011540844878292522,0.15632771895199857,0.15578572821336192,0.6186316140124408,0.2813027693755103,0.40076926615503566,0.17732581459511404,0.3850220756670996,0.18622043209703715,0.12839059522574198,0.18618727975278912,0.06815333976580322,0.020949462354918368,0.06637193804988167,0.0755586610073032,0.08751252078466194,0.01063855711496493,0.04578190104157649,0.044074580491758844,0.12029302302111197,0.14458087882100357,0.04783169613418271,0.010188742361640045,0.2021623709868688,0.47870337335832824,0.6729159683558443,0.004913235693831118,0.4901284721354288,0.12585494146640505,0.05499371128766955,0.030043221448804017,0.036634748310192464,0.12546564381736705,0.0027063783982461675,0.3446171341586325
dqcnbbdq,0.0020927729734427514,0.01486269892456557,0.028711336803017944,0.0018557143995761502,1.0,0.2652436231743325,0.008240355980158043,0.001160862433601266,0.0018611001887653147,0.012628634924175892,5.518279468551033e-23,0.021497317242393114,0.01578089022934997,0.05540448602816108,0.00035690756082002383,0.03660010928916511,0.01153003759858302,0.0004167683082658494,0.021331628267308795,0.0196677040826457,0.04138463025618666,0.00523258338429116,0.06661995983661294,0.0026553421783472556,0.00026852698726321085,0.0013466171442676341,0.0018291301917507973,0.1924020695949718,0.015198007505988166,0.0009900423388122216,0.004358734771410498,0.03235394784530567,0.005433531372992526,0.023753259088238887,0.004541517966437744,0.11829887982357634,0.025266040478309645,0.0009283022216201004,0.04886730077012501,0.0008029697881704271,0.0009189599725735523,0.1171646344999021,0.022946761498491723,0.009043101360460175,0.000688620753145656,0.0036565934374664143,0.0026678850069492203,0.0013696478359846301,0.47552363285042465,0.005536411629999204
dqcncsjm,0.060808598382855565,0.27210217966498446,0.33205685968708454,0.11075130624505475,0.2652436231743325,1.0,0.0891285766435781,0.08545871849539013,0.12061844013043467,0.33384487393903944,6.087894047717526e-24,0.283487118056702,0.40806480708991755,0.346796450431782,0.018124206944769676,0.09120456963125541,0.29825077565937846,0.02032102914083906,0.33431810297862163,0.19664021386506605,0.400126357561687,0.15632341526558932,0.5516656261142152,0.1009518488564459,0.01399161069951594,0.06313750783979583,0.06039074444626534,0.20257473508300305,0.25695789295110677,0.0691149772566246,0.1141230662015168,0.07979412324354389,0.036300454419995895,0.3087405699952908,0.1423303443850237,0.6869812179936199,0.19371691342690245,0.037124524537119376,0.3460123221825096,0.06302187221703837,0.076598649133117,0.08612559414047617,0.5029159647342846,0.2608630273724903,0.01982923029048436,0.06654624721021074,0.10611113647686725,0.08778593266822084,0.17640050883484684,0.08105268898892158
dqcnbchm,0.2090992427988941,0.6214156581758222,0.34758879392198183,0.012326732115956909,0.008240355980158043,0.0891285766435781,1.0,0.06693372728386077,0.1621088990621265,0.045598570867069324,5.072967813178797e-22,0.4690611143484452,0.12049682129097536,0.08011422741994194,0.05871582354874963,0.0002670775240432624,0.281248033945313,0.02661449303971645,0.010484296601858874,0.016128245448250377,0.09451837902008445,0.4196114908416871,0.10326300531918005,0.315495141154466,0.031199656130616923,0.0906316713821207,0.27716473909789147,0.034633063116371196,0.7081856746252413,0.03371856981292822,0.67669679400286,0.00018956667585033957,0.0020803833014999096,0.6031635083863429,0.31493187069881823,0.0712645747479436,0.644195387212602,0.03721424234791759,0.14357216134466944,0.09063947490730528,0.04313369306674862,0.0499127192018894,0.12014319307178019,0.38432261852595195,0.03167948729749333,0.6898627026785872,0.038901328350242945,0.13814453836601956,0.021420745059924598,0.019990078637240866
dqcng43b,0.030654770099998768,0.2493147758334098,0.1661121052122888,0.5962568557232785,0.001160862433601266,0.08545871849539013,0.06693372728386077,1.0,0.44118666927717404,0.14268856032869687,1.4759200292546495e-22,0.23877489136693306,0.2785499561865103,0.09566573620295049,0.011948344051595153,0.0010744776004348877,0.2591909242865742,0.4991092296171384,0.25950745206529774,0.2478900814167116,0.3600864367430457,0.48390116440452446,0.3377173897732903,0.4925388111160105,0.4581270977355842,0.49183868636559647,0.24681613056804896,0.014637108163089094,0.18868241300837552,0.05212476538814636,0.3148492209503974,0.0009281567452468286,0.009276846809401638,0.12393523965524567,0.3199778030556616,0.08719968892877991,0.1426637296501855,0.010147926637443537,0.22618000568092236,0.889723895323005,0.9767681041651797,0.005819011030679649,0.4203606053390608,0.22223776522676125,0.24031333119990195,0.16289194468741883,0.02800229072951724,0.15797340396413886,0.002760379990008093,0.38426812871606375
dqcnfpuz,0.18907254372913077,0.49328342804175995,0.2227468617820815,0.3156466684832852,0.0018611001887653147,0.12061844013043467,0.1621088990621265,0.44118666927717404,1.0,0.33798951248383796,1.190502363999177e-26,0.3788741344859884,0.4036682133211793,0.07677406837593428,0.12455297540322299,0.00510332948098268,0.6416859796492381,0.06466538820629807,0.1341133501517551,0.04884242923265159,0.3240261007472711,0.6179008902110513,0.2916857398403178,0.6438424065519959,0.07714142483161411,0.14655375319432026,0.17237605227131086,0.02682118510902983,0.43990877164797654,0.38377934011535525,0.4767777630234712,0.004384281285627321,0.03708291411014706,0.256960044548746,0.28925761194647986,0.23182192353983735,0.267651187452761,0.09524483981739663,0.2965217453380588,0.5751426043549115,0.40609344315672713,0.011996843783398594,0.5912052241959985,0.6601421577154235,0.023492543945846458,0.17186283392525808,0.18997063638107178,0.6375597969198923,0.0026925711949579547,0.09156426926365274
dqcp473c,0.24953294094325074,0.19494896324385294,0.10814601557945827,0.25123932843424274,0.012628634924175892,0.33384487393903944,0.045598570867069324,0.14268856032869687,0.33798951248383796,1.0,1.1142964028358542e-28,0.29429018690555003,0.37924934826929835,0.2864313360585569,0.18148016273049533,0.08206236574043504,0.3024166693810323,0.011345216135636552,0.33774450898292596,0.09761163160525356,0.2099882953877152,0.12976926787413665,0.2762297975075303,0.09865866995240291,0.007608665982751962,0.0973027830236845,0.10095004865174571,0.032854691385079376,0.20228026673843086,0.5087215276811983,0.11571537702426836,0.06148763569287682,0.06881425445614561,0.223705247865964,0.24115133876666156,0.34142137427647756,0.06845786648635467,0.30477422483918754,0.1276039507233958,0.11387655732932661,0.13626914374720098,0.011196265037185155,0.6923459508279682,0.45469021793331077,0.008719040620802507,0.05077358925315879,0.5612298783366798,0.49209609965644396,0.013555409439620776,0.03566273814285236
