home,community,building_value,income,damage_level,population_scaled,age,race,household_id
dqcp176g,dqcp17,0.34957998545786517,0.38707086142340025,0.0,0.8571428571428571,0.13580984341486804,0.0,41
dqcnc7hq,dqcnc7,0.5509466387546155,0.8215078384028401,0.75,1.0,0.12209346865378139,0.0,12
dqcnc29k,dqcnc2,0.5702156611919931,0.435474934713518,0.0,0.8571428571428571,0.24641826099177536,0.0,8
dqcngqhc,dqcngq,0.4321018723048732,0.6300128622976087,0.75,1.0,0.5317721514154788,0.0,40
dqcnbbdq,dqcnbb,0.4354596128226431,0.0,0.0,1.0,0.8514234339601487,0.5,4
dqcncsjm,dqcncs,0.784828457278249,0.472490111442131,0.5,0.7142857142857143,0.5256394253928108,0.0,17
dqcnbchm,dqcnbc,0.7063107748931183,0.38509289626986437,0.0,0.2857142857142857,0.870246837926325,0.25,5
dqcng43b,dqcng4,0.7327778038740376,0.8376846296798068,0.0,0.14285714285714285,0.16161357116684336,1.0,37
dqcnfpuz,dqcnfp,0.3313862794487019,0.803482189812218,0.0,1.0,0.7826856668138124,0.0,34
dqcp473c,dqcp47,0.31892315748034916,0.695328199743688,1.0,0.5714285714285714,0.1604512164601814,0.5,49
dqchf7jt,dqchf7,0.4700808334393649,0.8524826300679281,0.0,0.42857142857142855,0.8360943057601071,1.0,1
dqcncu6f,dqcncu,0.3064492604834905,0.8374473360945514,0.0,0.2857142857142857,0.13209275402353773,0.25,19
dqcncvkb,dqcncv,0.3721397565678402,0.4400545658955817,0.75,0.7142857142857143,0.6261735385220722,0.0,20
dqcnfk5z,dqcnfk,0.8189781229592189,0.3940412519928306,1.0,0.7142857142857143,0.12083862930213757,0.5,33
dqcp1rx0,dqcp1r,0.26103977967389214,0.523091370269047,0.5,1.0,0.1429082901949583,0.0,43
dqcp1yv9,dqcp1y,0.24057013142680478,0.0029237937254843445,0.0,1.0,0.8254743538159087,1.0,47
dqcnctbb,dqcnct,0.6087029699340281,0.0,0.0,0.14285714285714285,0.6987474462025702,0.5,18
dqcne6ct,dqcne6,0.9347398190709814,0.35187478966321745,0.5,0.5714285714285714,0.7422857778256912,0.25,25
dqcngjkj,dqcngj,0.5723562440752373,0.9147165766978609,0.25,0.7142857142857143,0.1889725692652522,0.5,39
dqcner94,dqcner,0.8470775983757839,0.3170785398441523,0.75,0.7142857142857143,0.3997711679667144,0.0,27
dqcnf6cg,dqcnf6,0.5621996068557849,0.33574157772156726,0.5,0.5714285714285714,0.34926661490133215,0.0,29
dqcncf4c,dqcncf,0.5974281201811791,0.4792514882417063,0.0,0.42857142857142855,0.7939115655278153,0.0,14
dqcnf6cj,dqcnf6,0.6013933818182408,0.16859505089160629,0.0,0.5714285714285714,0.22915139344993554,0.0,30
dqcncfq5,dqcncf,0.6510984272682513,0.42160240593453696,0.0,0.42857142857142855,0.798094623299323,0.0,16
dqcne4gy,dqcne4,0.712706959553619,0.0,0.25,0.42857142857142855,0.3095237573982513,0.0,24
dqcng06w,dqcng0,0.4230953476921861,0.4486656979944755,0.0,0.14285714285714285,0.39295167108023155,0.5,36
dqcnf3uz,dqcnf3,0.3965901249866867,0.13796246705389592,0.5,1.0,0.17355642567088916,0.0,28
dqcnc6tb,dqcnc6,0.3391087985443319,0.0,0.0,0.2857142857142857,0.2174495418282181,1.0,9
dqcnc7bc,dqcnc7,0.436143097871164,0.8425710835550709,0.75,0.42857142857142855,0.22494424646541436,0.25,11
dqcp1z6r,dqcp1z,0.4512449130913135,0.0,0.0,1.0,0.6025157197485295,0.5,48
dqcncdq7,dqcncd,0.49551646316951253,0.10347237743379134,1.0,0.5714285714285714,0.16766851213609077,0.0,13
dqcp1ys8,dqcp1y,0.2718685865496835,0.23473863195257305,0.25,0.42857142857142855,0.8197958889898185,0.0,46
dqcp4kgx,dqcp4k,0.4440926198306434,0.0,1.0,0.2857142857142857,0.4516469940502779,0.0,50
dqcnc78q,dqcnc7,0.37734409166077,0.9382470163681504,0.0,1.0,0.23373440347752833,0.0,10
dqcnf794,dqcnf7,0.36523899015060096,0.31037657284001413,0.0,0.14285714285714285,0.4548568132856072,0.5,31
dqcncwc5,dqcncw,0.3838030821939168,0.2549925946845238,0.75,0.7142857142857143,0.645746921362655,0.0,21
dqcnc0y3,dqcnc0,0.6374224026138035,0.0,0.0,1.0,0.3898860771395913,0.0,7
dqcp1rzr,dqcp1r,0.18489518248703804,0.1907693397334026,0.0,0.14285714285714285,0.2266379904130453,0.5,44
dqcncf6c,dqcncf,0.6018527678687611,0.3310486254123929,0.5,0.2857142857142857,0.787913923936356,0.0,15
dqcnfffs,dqcnff,0.7044079097758198,0.06478827666591742,0.0,0.2857142857142857,0.544866357565754,0.25,32
dqcng4te,dqcng4,0.6453073581492317,0.6981778782892738,0.0,0.2857142857142857,0.2514636268717976,0.5,38
dqcnc0gn,dqcnc0,0.45115301308469563,0.017264896898580188,0.0,0.5714285714285714,0.5580775725194806,0.0,6
dqcnfqc3,dqcnfq,0.5171862051135799,0.0,0.5,0.5714285714285714,0.4757187537659314,0.0,35
dqcncx6x,dqcncx,0.41160926646536283,0.025577711278755896,0.5,0.8571428571428571,0.8993184264209194,0.5,22
dqcne1qu,dqcne1,0.4374779633598966,0.14884354773790004,0.75,0.7142857142857143,0.8611846758774231,0.0,23
dqcn9xvx,dqcn9x,0.5770570143117599,0.35289487535096153,0.0,0.2857142857142857,0.13415248727798765,0.5,3
dqcp1wg8,dqcp1w,0.5109618823851462,0.11192185010326895,0.5,0.7142857142857143,0.8042500222854954,1.0,45
dqcp1gxv,dqcp1g,0.8698020097121038,0.0,0.25,0.14285714285714285,0.38666356312723743,0.25,42
dqcn9r0y,dqcn9r,0.37580033600618673,0.3012666882993158,0.0,1.0,0.8042538125707992,0.0,2
dqcnenmf,dqcnen,0.5968071077695315,0.20813305793941878,0.5,0.5714285714285714,0.14540494661712555,1.0,26
