household_id_1,household_id_2,link_type,timestep
41,12,2.0,0
41,16,2.0,0
41,36,2.0,0
41,10,2.0,0
41,44,2.0,0
41,22,2.0,0
41,2,2.0,0
12,8,2.0,0
12,24,2.0,0
12,32,2.0,0
8,5,2.0,0
8,47,2.0,0
8,18,2.0,0
8,14,1.0,0
8,30,1.0,0
8,16,2.0,0
8,13,2.0,0
8,21,2.0,0
8,2,2.0,0
40,27,1.0,0
40,29,2.0,0
40,16,1.0,0
40,44,2.0,0
40,32,2.0,0
40,23,2.0,0
40,45,2.0,0
4,31,2.0,0
4,44,2.0,0
17,43,2.0,0
17,11,2.0,0
17,6,2.0,0
5,1,2.0,0
5,16,2.0,0
5,36,2.0,0
5,13,2.0,0
5,10,2.0,0
5,15,1.0,0
5,38,2.0,0
37,34,2.0,0
37,18,2.0,0
37,30,2.0,0
37,10,2.0,0
37,38,2.0,0
37,26,2.0,0
34,19,2.0,0
34,27,2.0,0
34,29,2.0,0
34,16,1.0,0
34,13,2.0,0
34,7,2.0,0
34,15,2.0,0
34,45,2.0,0
34,26,2.0,0
49,24,2.0,0
49,48,2.0,0
49,10,2.0,0
1,20,2.0,0
1,43,2.0,0
1,29,2.0,0
1,36,2.0,0
19,29,2.0,0
19,11,2.0,0
19,48,2.0,0
19,6,2.0,0
20,29,1.0,0
20,36,2.0,0
20,48,2.0,0
20,15,2.0,0
20,6,2.0,0
33,18,2.0,0
33,25,2.0,0
33,27,2.0,0
33,30,1.0,0
33,11,2.0,0
33,38,2.0,0
33,6,2.0,0
33,22,1.0,0
43,39,2.0,0
43,11,2.0,0
43,6,2.0,0
47,10,2.0,0
47,31,2.0,0
47,35,2.0,0
47,45,2.0,0
18,28,2.0,0
18,48,1.0,0
18,7,2.0,0
18,44,2.0,0
25,39,2.0,0
25,16,2.0,0
25,50,2.0,0
25,7,2.0,0
25,35,2.0,0
39,30,2.0,0
39,9,2.0,0
39,32,2.0,0
39,38,2.0,0
39,2,2.0,0
27,14,2.0,0
27,10,2.0,0
27,35,2.0,0
29,24,2.0,0
29,48,2.0,0
29,10,2.0,0
29,7,2.0,0
29,32,2.0,0
29,38,2.0,0
29,35,2.0,0
14,16,2.0,0
14,24,2.0,0
14,13,2.0,0
14,50,2.0,0
30,16,2.0,0
30,36,2.0,0
