household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnc7hq,2.0,0
dqcp176g,dqcncfq5,2.0,0
dqcp176g,dqcng06w,2.0,0
dqcp176g,dqcnc78q,2.0,0
dqcp176g,dqcp1rzr,2.0,0
dqcp176g,dqcncx6x,2.0,0
dqcp176g,dqcn9r0y,2.0,0
dqcnc7hq,dqcnc29k,2.0,0
dqcnc7hq,dqcne4gy,2.0,0
dqcnc7hq,dqcnfffs,2.0,0
dqcnc29k,dqcnbchm,2.0,0
dqcnc29k,dqcp1yv9,2.0,0
dqcnc29k,dqcnctbb,2.0,0
dqcnc29k,dqcncf4c,1.0,0
dqcnc29k,dqcnf6cj,1.0,0
dqcnc29k,dqcncfq5,2.0,0
dqcnc29k,dqcncdq7,2.0,0
dqcnc29k,dqcncwc5,2.0,0
dqcnc29k,dqcn9r0y,2.0,0
dqcngqhc,dqcner94,1.0,0
dqcngqhc,dqcnf6cg,2.0,0
dqcngqhc,dqcncfq5,1.0,0
dqcngqhc,dqcp1rzr,2.0,0
dqcngqhc,dqcnfffs,2.0,0
dqcngqhc,dqcne1qu,2.0,0
dqcngqhc,dqcp1wg8,2.0,0
dqcnbbdq,dqcnf794,2.0,0
dqcnbbdq,dqcp1rzr,2.0,0
dqcncsjm,dqcp1rx0,2.0,0
dqcncsjm,dqcnc7bc,2.0,0
dqcncsjm,dqcnc0gn,2.0,0
dqcnbchm,dqchf7jt,2.0,0
dqcnbchm,dqcncfq5,2.0,0
dqcnbchm,dqcng06w,2.0,0
dqcnbchm,dqcncdq7,2.0,0
dqcnbchm,dqcnc78q,2.0,0
dqcnbchm,dqcncf6c,1.0,0
dqcnbchm,dqcng4te,2.0,0
dqcng43b,dqcnfpuz,2.0,0
dqcng43b,dqcnctbb,2.0,0
dqcng43b,dqcnf6cj,2.0,0
dqcng43b,dqcnc78q,2.0,0
dqcng43b,dqcng4te,2.0,0
dqcng43b,dqcnenmf,2.0,0
dqcnfpuz,dqcncu6f,2.0,0
dqcnfpuz,dqcner94,2.0,0
dqcnfpuz,dqcnf6cg,2.0,0
dqcnfpuz,dqcncfq5,1.0,0
dqcnfpuz,dqcncdq7,2.0,0
dqcnfpuz,dqcnc0y3,2.0,0
dqcnfpuz,dqcncf6c,2.0,0
dqcnfpuz,dqcp1wg8,2.0,0
dqcnfpuz,dqcnenmf,2.0,0
dqcp473c,dqcne4gy,2.0,0
dqcp473c,dqcp1z6r,2.0,0
dqcp473c,dqcnc78q,2.0,0
dqchf7jt,dqcncvkb,2.0,0
dqchf7jt,dqcp1rx0,2.0,0
dqchf7jt,dqcnf6cg,2.0,0
dqchf7jt,dqcng06w,2.0,0
dqcncu6f,dqcnf6cg,2.0,0
dqcncu6f,dqcnc7bc,2.0,0
dqcncu6f,dqcp1z6r,2.0,0
dqcncu6f,dqcnc0gn,2.0,0
dqcncvkb,dqcnf6cg,1.0,0
dqcncvkb,dqcng06w,2.0,0
dqcncvkb,dqcp1z6r,2.0,0
dqcncvkb,dqcncf6c,2.0,0
dqcncvkb,dqcnc0gn,2.0,0
dqcnfk5z,dqcnctbb,2.0,0
dqcnfk5z,dqcne6ct,2.0,0
dqcnfk5z,dqcner94,2.0,0
dqcnfk5z,dqcnf6cj,1.0,0
dqcnfk5z,dqcnc7bc,2.0,0
dqcnfk5z,dqcng4te,2.0,0
dqcnfk5z,dqcnc0gn,2.0,0
dqcnfk5z,dqcncx6x,1.0,0
dqcp1rx0,dqcngjkj,2.0,0
dqcp1rx0,dqcnc7bc,2.0,0
dqcp1rx0,dqcnc0gn,2.0,0
dqcp1yv9,dqcnc78q,2.0,0
dqcp1yv9,dqcnf794,2.0,0
dqcp1yv9,dqcnfqc3,2.0,0
dqcp1yv9,dqcp1wg8,2.0,0
dqcnctbb,dqcnf3uz,2.0,0
dqcnctbb,dqcp1z6r,1.0,0
dqcnctbb,dqcnc0y3,2.0,0
dqcnctbb,dqcp1rzr,2.0,0
dqcne6ct,dqcngjkj,2.0,0
dqcne6ct,dqcncfq5,2.0,0
dqcne6ct,dqcp4kgx,2.0,0
dqcne6ct,dqcnc0y3,2.0,0
dqcne6ct,dqcnfqc3,2.0,0
dqcngjkj,dqcnf6cj,2.0,0
dqcngjkj,dqcnc6tb,2.0,0
dqcngjkj,dqcnfffs,2.0,0
dqcngjkj,dqcng4te,2.0,0
dqcngjkj,dqcn9r0y,2.0,0
dqcner94,dqcncf4c,2.0,0
dqcner94,dqcnc78q,2.0,0
dqcner94,dqcnfqc3,2.0,0
dqcnf6cg,dqcne4gy,2.0,0
dqcnf6cg,dqcp1z6r,2.0,0
dqcnf6cg,dqcnc78q,2.0,0
dqcnf6cg,dqcnc0y3,2.0,0
dqcnf6cg,dqcnfffs,2.0,0
dqcnf6cg,dqcng4te,2.0,0
dqcnf6cg,dqcnfqc3,2.0,0
dqcncf4c,dqcncfq5,2.0,0
dqcncf4c,dqcne4gy,2.0,0
dqcncf4c,dqcncdq7,2.0,0
dqcncf4c,dqcp4kgx,2.0,0
dqcnf6cj,dqcncfq5,2.0,0
dqcnf6cj,dqcng06w,2.0,0
dqcnf6cj,dqcp1gxv,2.0,0
dqcnf6cj,dqcn9r0y,2.0,0
dqcncfq5,dqcnf794,2.0,0
dqcncfq5,dqcncwc5,2.0,0
dqcncfq5,dqcnfffs,2.0,0
dqcncfq5,dqcnc0gn,2.0,0
dqcne4gy,dqcng06w,2.0,0
dqcne4gy,dqcp1rzr,2.0,0
dqcne4gy,dqcncf6c,2.0,0
dqcne4gy,dqcne1qu,2.0,0
dqcne4gy,dqcp1wg8,2.0,0
dqcng06w,dqcp1z6r,2.0,0
dqcng06w,dqcncf6c,2.0,0
dqcnf3uz,dqcnf794,2.0,0
dqcnf3uz,dqcncwc5,2.0,0
dqcnf3uz,dqcne1qu,2.0,0
dqcnc6tb,dqcnc0y3,2.0,0
dqcnc6tb,dqcp1rzr,2.0,0
dqcnc6tb,dqcn9xvx,2.0,0
dqcnc7bc,dqcncdq7,2.0,0
dqcnc7bc,dqcnc78q,2.0,0
dqcnc7bc,dqcp1gxv,2.0,0
dqcp1z6r,dqcp4kgx,2.0,0
dqcp1z6r,dqcnf794,2.0,0
dqcp1z6r,dqcncf6c,2.0,0
dqcp1z6r,dqcncx6x,2.0,0
dqcp1z6r,dqcnenmf,2.0,0
dqcncdq7,dqcnfqc3,2.0,0
dqcncdq7,dqcn9r0y,2.0,0
dqcncdq7,dqcnenmf,2.0,0
dqcp1ys8,dqcnc0y3,2.0,0
dqcp4kgx,dqcnc78q,2.0,0
dqcp4kgx,dqcnf794,2.0,0
dqcp4kgx,dqcnc0y3,2.0,0
dqcp4kgx,dqcng4te,2.0,0
dqcnc78q,dqcng4te,2.0,0
dqcnc78q,dqcnenmf,2.0,0
dqcncwc5,dqcnfqc3,2.0,0
dqcnc0y3,dqcnc0gn,2.0,0
dqcnc0y3,dqcnfqc3,2.0,0
dqcp1rzr,dqcng4te,2.0,0
dqcp1rzr,dqcnfqc3,2.0,0
dqcncf6c,dqcncx6x,2.0,0
dqcncf6c,dqcne1qu,2.0,0
dqcncf6c,dqcp1wg8,2.0,0
dqcnfffs,dqcn9r0y,2.0,0
dqcng4te,dqcn9xvx,2.0,0
dqcnc0gn,dqcn9xvx,2.0,0
dqcnc0gn,dqcp1gxv,2.0,0
dqcncx6x,dqcp1gxv,2.0,0
dqcp1gxv,dqcn9r0y,2.0,0
dqcp1gxv,dqcnenmf,2.0,0
dqcp176g,dqcnc7hq,2.0,1
dqcp176g,dqcnc29k,2.0,1
dqcp176g,dqcnbbdq,2.0,1
dqcp176g,dqcnfk5z,2.0,1
dqcp176g,dqcncfq5,2.0,1
dqcp176g,dqcnf3uz,2.0,1
dqcp176g,dqcnc78q,2.0,1
dqcp176g,dqcnf794,2.0,1
dqcp176g,dqcncwc5,2.0,1
dqcp176g,dqcnc0y3,2.0,1
dqcp176g,dqcnfffs,2.0,1
dqcp176g,dqcnc0gn,1.0,1
dqcp176g,dqcne1qu,2.0,1
dqcp176g,dqcp1gxv,2.0,1
dqcnc7hq,dqcnfpuz,2.0,1
dqcnc7hq,dqcp473c,2.0,1
dqcnc7hq,dqcner94,2.0,1
dqcnc7hq,dqcncf4c,2.0,1
dqcnc7hq,dqcnf3uz,2.0,1
dqcnc7hq,dqcnc78q,2.0,1
dqcnc29k,dqcngqhc,2.0,1
dqcnc29k,dqcncsjm,2.0,1
dqcnc29k,dqcnbchm,2.0,1
dqcnc29k,dqcp473c,2.0,1
dqcnc29k,dqcp1yv9,2.0,1
dqcnc29k,dqcner94,2.0,1
dqcnc29k,dqcnf6cj,1.0,1
dqcnc29k,dqcp1z6r,2.0,1
dqcnc29k,dqcncdq7,2.0,1
dqcnc29k,dqcp4kgx,2.0,1
dqcnc29k,dqcncwc5,2.0,1
dqcnc29k,dqcn9r0y,2.0,1
dqcngqhc,dqcncsjm,2.0,1
dqcngqhc,dqcnbchm,2.0,1
dqcngqhc,dqcp1rx0,2.0,1
dqcngqhc,dqcne6ct,2.0,1
dqcngqhc,dqcner94,1.0,1
dqcngqhc,dqcncf4c,2.0,1
dqcngqhc,dqcnc7bc,2.0,1
dqcngqhc,dqcnc78q,2.0,1
dqcngqhc,dqcne1qu,2.0,1
dqcngqhc,dqcn9r0y,2.0,1
dqcngqhc,dqcnenmf,2.0,1
dqcnbbdq,dqcng43b,2.0,1
dqcnbbdq,dqcnfpuz,2.0,1
dqcnbbdq,dqcnf3uz,2.0,1
dqcnbbdq,dqcnf794,2.0,1
dqcnbbdq,dqcp1rzr,2.0,1
dqcnbbdq,dqcp1gxv,2.0,1
dqcnbbdq,dqcn9r0y,2.0,1
dqcnbbdq,dqcnenmf,2.0,1
dqcncsjm,dqcnfpuz,2.0,1
dqcncsjm,dqchf7jt,2.0,1
dqcncsjm,dqcp1rx0,2.0,1
dqcncsjm,dqcncfq5,2.0,1
dqcncsjm,dqcng06w,2.0,1
dqcncsjm,dqcnc6tb,2.0,1
dqcncsjm,dqcnc7bc,2.0,1
dqcncsjm,dqcnc0gn,2.0,1
dqcnbchm,dqcng43b,2.0,1
dqcnbchm,dqchf7jt,2.0,1
dqcnbchm,dqcp1yv9,2.0,1
dqcnbchm,dqcner94,2.0,1
dqcnbchm,dqcncfq5,2.0,1
dqcnbchm,dqcng06w,2.0,1
dqcnbchm,dqcp4kgx,2.0,1
dqcnbchm,dqcncwc5,2.0,1
dqcnbchm,dqcp1rzr,2.0,1
dqcnbchm,dqcn9r0y,2.0,1
dqcnbchm,dqcnenmf,2.0,1
dqcng43b,dqchf7jt,2.0,1
dqcng43b,dqcncu6f,2.0,1
dqcng43b,dqcne6ct,2.0,1
dqcng43b,dqcngjkj,2.0,1
dqcng43b,dqcnc6tb,2.0,1
dqcng43b,dqcp1z6r,2.0,1
dqcng43b,dqcp1ys8,2.0,1
dqcng43b,dqcnfffs,2.0,1
dqcng43b,dqcng4te,2.0,1
dqcng43b,dqcn9r0y,2.0,1
dqcnfpuz,dqcp1rx0,2.0,1
dqcnfpuz,dqcne6ct,2.0,1
dqcnfpuz,dqcnf6cg,2.0,1
dqcnfpuz,dqcncf4c,2.0,1
dqcnfpuz,dqcncfq5,1.0,1
dqcnfpuz,dqcng06w,2.0,1
dqcnfpuz,dqcnc78q,2.0,1
dqcnfpuz,dqcncwc5,2.0,1
dqcnfpuz,dqcnc0y3,2.0,1
dqcnfpuz,dqcp1rzr,2.0,1
dqcnfpuz,dqcnc0gn,2.0,1
dqcnfpuz,dqcn9xvx,2.0,1
dqcnfpuz,dqcp1wg8,2.0,1
dqcp473c,dqcp1yv9,2.0,1
dqcp473c,dqcne6ct,2.0,1
dqcp473c,dqcp1z6r,2.0,1
dqcp473c,dqcncwc5,2.0,1
dqcp473c,dqcp1rzr,2.0,1
dqcp473c,dqcng4te,2.0,1
dqcp473c,dqcnc0gn,2.0,1
dqcp473c,dqcnfqc3,2.0,1
dqchf7jt,dqcp1rx0,2.0,1
dqchf7jt,dqcncfq5,2.0,1
dqchf7jt,dqcng06w,2.0,1
dqchf7jt,dqcn9xvx,2.0,1
dqchf7jt,dqcnenmf,2.0,1
dqcncu6f,dqcnfk5z,2.0,1
dqcncu6f,dqcp1yv9,2.0,1
dqcncu6f,dqcnctbb,2.0,1
dqcncu6f,dqcne6ct,2.0,1
dqcncu6f,dqcnf6cg,2.0,1
dqcncu6f,dqcnc6tb,2.0,1
dqcncu6f,dqcp1z6r,2.0,1
dqcncu6f,dqcp1ys8,2.0,1
dqcncu6f,dqcp4kgx,2.0,1
dqcncu6f,dqcnc0gn,2.0,1
dqcncu6f,dqcne1qu,2.0,1
dqcncu6f,dqcn9xvx,2.0,1
dqcncu6f,dqcn9r0y,2.0,1
dqcncvkb,dqcp1yv9,2.0,1
dqcncvkb,dqcnf6cg,1.0,1
dqcnfk5z,dqcne6ct,2.0,1
dqcnfk5z,dqcne4gy,2.0,1
dqcnfk5z,dqcnc7bc,2.0,1
dqcnfk5z,dqcnc78q,2.0,1
dqcnfk5z,dqcnf794,2.0,1
dqcnfk5z,dqcncwc5,2.0,1
dqcnfk5z,dqcncf6c,2.0,1
dqcnfk5z,dqcnfqc3,2.0,1
dqcnfk5z,dqcncx6x,1.0,1
dqcnfk5z,dqcp1wg8,2.0,1
dqcnfk5z,dqcn9r0y,2.0,1
dqcp1rx0,dqcne6ct,2.0,1
dqcp1rx0,dqcncf4c,2.0,1
dqcp1rx0,dqcnf3uz,2.0,1
dqcp1rx0,dqcnc7bc,2.0,1
dqcp1rx0,dqcncdq7,2.0,1
dqcp1rx0,dqcp1ys8,2.0,1
dqcp1rx0,dqcng4te,2.0,1
dqcp1rx0,dqcnfqc3,2.0,1
dqcp1rx0,dqcne1qu,2.0,1
dqcp1yv9,dqcng06w,2.0,1
dqcp1yv9,dqcnc6tb,2.0,1
dqcp1yv9,dqcp1ys8,2.0,1
dqcp1yv9,dqcp4kgx,2.0,1
