home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.28453403028317203,0.2354886032168787,0.05750528218335066,0.026299952859828817,0.34810971609349006,0.06268799336284014,0.005482878220416477,0.16105973228228512,0.28778151906925936,1.728189378557846e-30,0.26144664438436227,0.3102338445381948,0.18143501592316236,0.7682924297847881,0.016961726462613028,0.12676365006747373,0.0021599230698061854,0.041680433929856424,0.02559736135773434,0.2363389616500199,0.10983174870068786,0.23991947859862262,0.11223045319464565,0.005390143591136345,0.026321801279655225,0.17203803861362033,0.025974848713465632,0.25930017557268736,0.1730695755055473,0.28792977059740055,0.2446590366149787,0.33081006852825867,0.23441076431568172,0.13584179134272684,0.40206158364835,0.15296199044837866,0.38239084162329684,0.11982965788738398,0.06672234429296316,0.03444537310136352,0.12374673549804568,0.2723246430045816,0.08629194933950649,0.00092956725457082,0.10796988181695104,0.024388281255600063,0.43014117962441667,0.05660144827599788,0.002269033974794006
dqcnc7hq,0.28453403028317203,1.0,0.6270127289468025,0.08263711302362431,0.02706476911696881,0.49164846102309506,0.127940518538862,0.02578175258136773,0.2076647697020468,0.16091393649870023,2.4132754734572366e-24,0.7721990916660366,0.33092236533914327,0.22859793143206208,0.12576206659775577,0.0010964060516280977,0.049283350579390296,0.016163527771868056,0.12180056294589114,0.07174574071872587,0.34272089205789075,0.23843476460648869,0.24684974833110865,0.20457956596551372,0.020101047757293947,0.08006966606956514,0.20252977054375157,0.019887597502129806,0.8346625292396969,0.009785122630684156,0.2844862160619959,0.02668376990616486,0.031907936198237556,0.9314177062384806,0.16080479759435246,0.210814339945469,0.1617678400365196,0.02899652407521365,0.1835442428122925,0.056233815876646526,0.11401961858632383,0.12934906334125146,0.09033076005668705,0.024775833781068127,0.0062058624624981755,0.28431707581527504,0.0019522625604282016,0.0533289817134912,0.14786766638005353,0.006635555806821075
dqcnc29k,0.2354886032168787,0.6270127289468025,1.0,0.06469302009545105,0.13876531055575436,0.6677401279177073,0.321006470305651,0.01469198649432178,0.13619376010197098,0.0716124329891194,1.1094944556601059e-22,0.4235476842912051,0.46155527009249886,0.2647254542771773,0.06230362317627222,0.0020577274646968497,0.15806618054290322,0.04781910052546981,0.05003881183760461,0.13848228312495217,0.5512459945293183,0.4205424461996715,0.49896135676310555,0.38975139612227866,0.08827757034867327,0.11717096273411369,0.43968611284701864,0.059768888155054094,0.5201811664928425,0.015684059682833068,0.6806772793368127,0.033621400854708765,0.052304605544302815,0.49505513501884246,0.2755448595832159,0.38724125282035166,0.610993979070145,0.02654440590524842,0.4142367864717489,0.15681997768599443,0.08511247272822314,0.5215297828649427,0.2230301579449339,0.07611290212388509,0.03140240412043045,0.49645635844326497,0.0030664280888394106,0.09447770399582457,0.4538416378513639,0.014676108950140859
dqcngqhc,0.05750528218335066,0.08263711302362431,0.06469302009545105,1.0,0.005350328614606113,0.21835505477157033,0.02166429372296205,0.051191398936344966,0.36789044195821735,0.16300675777829693,6.232223456671302e-26,0.16440254253168926,0.3089417845991138,0.19306590849706928,0.03931457564853587,0.004492842671678272,0.039622122220367186,0.14187568261691957,0.3389666356570008,0.45459220356229385,0.37971411841502933,0.2096758328027338,0.24252892617283928,0.2367322272328836,0.07535370373085634,0.32157281554760353,0.21537132625344724,0.004263408533279146,0.06968741581916361,0.022748836648472198,0.08299598404153173,0.08131967144291682,0.1303617343380405,0.07003619094620901,0.2240269594405915,0.1338266417691601,0.027318852093606842,0.014983670470672384,0.1852699973585059,0.31239177984247646,0.38936078703937627,0.024683687128359146,0.21933471972494906,0.035693565995955294,0.062424643880647064,0.0504897785963034,0.0038396588304402783,0.08734019745035974,0.043616674616715784,0.021561983934409567
dqcnbbdq,0.026299952859828817,0.02706476911696881,0.13876531055575436,0.005350328614606113,1.0,0.16045822016312586,0.6096210107892411,0.0033305275907769103,0.028007786249205906,0.009555483222184562,1.9457985056196097e-22,0.026666432721437018,0.1418462402750461,0.055912941220071156,0.005116073520351927,0.027464513579702473,0.5474394783578636,0.02302803674829503,0.0031976913421841212,0.015514078716824024,0.0799527851354891,0.19566823310869197,0.07317199051160853,0.1972036477518205,0.015556894069193392,0.034533261339876796,0.055627546939434114,0.1773114609656213,0.053937504831524714,0.036897710600311315,0.12409219847746368,0.027457022556310197,0.01978475022717102,0.02442676829443104,0.18286316629982438,0.21564372903991127,0.3192204969544197,0.01720354867361367,0.2558563287995612,0.09662280834324664,0.00979538943582299,0.44164996351452523,0.09221646470608834,0.4304339331352948,0.018467111515612054,0.15991210234319936,0.0355152170957334,0.06246834134012922,0.39802672354826746,0.010677803848034989
dqcncsjm,0.34810971609349006,0.49164846102309506,0.6677401279177073,0.21835505477157033,0.16045822016312586,1.0,0.4327427250979804,0.020279683351246528,0.4979744544249872,0.16154986369666574,1.2368984412343524e-24,0.4367397347356735,0.9356103999784974,0.2984878903111564,0.14302856804358685,0.011548168520273943,0.2984382003636594,0.0743327722009559,0.09775300476721907,0.20434582874540577,0.7184091361284365,0.7892519798386178,0.5391426816172032,0.7756268708590035,0.06932276012625288,0.17596060574373507,0.42258718479029816,0.04410978971843665,0.47377871540024125,0.06746259833801414,0.5196197348922398,0.18812680882915092,0.18027174922489642,0.4573334366016287,0.43277273868265737,0.7863064968824881,0.44709011491957434,0.06700237386826757,0.7684719098685426,0.30350493529001016,0.1384095580270708,0.465497288327334,0.4523159663061848,0.22157419641045248,0.04671358179106457,0.30569834370716653,0.015230193985453448,0.2345208957267097,0.5359487242858444,0.013226835259496821
dqcnbchm,0.06268799336284014,0.127940518538862,0.321006470305651,0.02166429372296205,0.6096210107892411,0.4327427250979804,1.0,0.005560613268624934,0.15014549966080645,0.023456412046761983,1.649025617985462e-22,0.10104351485252316,0.3739292496133324,0.07383815802839533,0.016454457018207046,0.011794860512648915,0.3638759373089434,0.03778242745923998,0.011430086517365257,0.032708432683490676,0.17008281662325608,0.5390324494546801,0.11415130165184804,0.494943247995723,0.017329929538397112,0.05142019052929597,0.08144091209634807,0.060572406056831035,0.1999169726473346,0.027679924577721414,0.16447694031853421,0.05669248343683026,0.026257108927524364,0.14344498023429994,0.2113975719019416,0.40760530926863,0.3418742763626011,0.017313644161359918,0.5419855479042851,0.09939803145854424,0.023203329518996885,0.49297708315097033,0.11373893173189167,0.31189223838203356,0.027825661983196148,0.17951392035399966,0.018156424151681057,0.059436611890939114,0.7472806269103061,0.005558708278190866
dqcng43b,0.005482878220416477,0.02578175258136773,0.01469198649432178,0.051191398936344966,0.0033305275907769103,0.020279683351246528,0.005560613268624934,1.0,0.018124062445247835,0.15030283678810002,1.6714617891814131e-22,0.1271535561098109,0.01958685979360228,0.2691571417889584,0.0027484863324114045,0.005648421734542141,0.015948715757182264,0.035876801869534854,0.4863576288215781,0.04090447280860776,0.038411902385498874,0.014240061023152855,0.025717086794282605,0.014191419377278258,0.00945241027472595,0.3338869085002912,0.025623391190354828,0.05583332991593537,0.058217589394423896,0.003977157901726316,0.01170593538404951,0.001286786678173773,0.003067648834593327,0.020064321053664822,0.17731240907609794,0.006666285953966106,0.0032361673751886214,0.0064121440323075055,0.010766472238108641,0.04670862297548587,0.5207512861605262,0.00226788618121337,0.00900259025714008,0.008734961530432846,0.003926753421909407,0.12297459666632497,0.006172373277140877,0.009340339149086621,0.003831338211529077,0.32664879435694594
dqcnfpuz,0.16105973228228512,0.2076647697020468,0.13619376010197098,0.36789044195821735,0.028007786249205906,0.4979744544249872,0.15014549966080645,0.018124062445247835,1.0,0.1914307393927876,5.146199725591246e-27,0.2615470301280874,0.6163556720986483,0.1127538246367406,0.12901577656427587,0.012163643794439107,0.09621582536260506,0.035376967894262215,0.1410090188114781,0.09402819177316483,0.27845300950830787,0.4850132794797045,0.13934322594713341,0.47289456937776064,0.010582681405014336,0.09722868408040407,0.09422990116415834,0.005656258974223105,0.23502008681721392,0.05518932578645334,0.08191741910636628,0.26989172769475384,0.12469767744105918,0.26138624578533465,0.19365383230129143,0.39156248784415254,0.05386530798239279,0.04202056654703664,0.3821850066879507,0.12485167268504464,0.12108379515179864,0.06819426488704979,0.17468276297883129,0.11370228312143693,0.015621385616928853,0.05381087183448512,0.015985074766317643,0.11222962388495984,0.15021780798009715,0.003226205220002254
dqcp473c,0.28778151906925936,0.16091393649870023,0.0716124329891194,0.16300675777829693,0.009555483222184562,0.16154986369666574,0.023456412046761983,0.15030283678810002,0.1914307393927876,1.0,3.2366563803104814e-29,0.4089513967305756,0.17198227753643644,0.4365042760407692,0.3016667321851674,0.05282973053042781,0.08546223367127155,0.006985322738335491,0.4251631028783691,0.0414576390185918,0.15911670746470497,0.062309538782025824,0.12274024055865511,0.06433422492110603,0.004758075711477272,0.13619719051265952,0.09331145352113597,0.04881988294202791,0.24704829698086916,0.1491620351784912,0.07802588413648522,0.10116262914571884,0.14417350107644344,0.1414459235594036,0.27873238238758424,0.12220273104525894,0.02325915008045356,0.3027745407884834,0.05492514939171281,0.08990423147918501,0.2721613237010694,0.017913552257083656,0.11269200246145115,0.06474606595726054,0.0011815851573958311,0.1306901041795781,0.06657194775525081,0.2382051458448552,0.014957072817751466,0.02844365773132721
