household_id_1,household_id_2,link_type,timestep
157,15,2.0,0
157,1,2.0,0
157,122,2.0,0
157,42,2.0,0
157,166,2.0,0
157,146,2.0,0
157,173,1.0,0
157,161,1.0,0
157,163,1.0,0
44,15,2.0,0
44,18,1.0,0
44,131,2.0,0
44,1,2.0,0
44,75,1.0,0
44,122,2.0,0
44,72,1.0,0
44,103,2.0,0
44,55,1.0,0
44,37,1.0,0
44,42,2.0,0
44,52,2.0,0
44,40,1.0,0
44,21,2.0,0
44,166,2.0,0
44,146,2.0,0
44,99,2.0,0
44,10,2.0,0
44,64,1.0,0
44,142,2.0,0
44,48,2.0,0
44,27,1.0,0
44,36,1.0,0
44,46,2.0,0
44,130,2.0,0
44,81,1.0,0
44,78,1.0,0
44,77,1.0,0
44,114,2.0,0
44,129,2.0,0
44,94,2.0,0
44,136,2.0,0
44,33,1.0,0
44,69,2.0,0
44,91,2.0,0
44,32,1.0,0
44,112,2.0,0
44,41,1.0,0
44,74,1.0,0
44,79,1.0,0
44,47,2.0,0
44,29,2.0,0
44,150,2.0,0
44,12,2.0,0
44,70,1.0,0
44,63,2.0,0
44,45,1.0,0
44,171,2.0,0
44,51,2.0,0
44,139,2.0,0
44,50,2.0,0
44,19,1.0,0
44,168,2.0,0
44,170,2.0,0
44,35,1.0,0
44,71,2.0,0
44,56,2.0,0
44,76,1.0,0
24,15,2.0,0
24,131,2.0,0
24,1,2.0,0
24,122,2.0,0
24,146,2.0,0
24,25,1.0,0
24,114,2.0,0
24,31,1.0,0
24,34,1.0,0
24,30,1.0,0
24,47,2.0,0
24,43,1.0,0
24,17,1.0,0
24,56,2.0,0
155,15,2.0,0
155,131,2.0,0
155,1,2.0,0
155,122,2.0,0
155,103,2.0,0
155,153,1.0,0
155,42,2.0,0
155,181,2.0,0
155,52,2.0,0
155,166,2.0,0
155,146,2.0,0
155,99,2.0,0
155,172,2.0,0
155,10,2.0,0
155,48,2.0,0
155,141,2.0,0
155,46,2.0,0
155,156,1.0,0
155,130,2.0,0
155,162,2.0,0
155,114,2.0,0
155,129,2.0,0
155,94,2.0,0
155,136,2.0,0
155,106,2.0,0
155,112,2.0,0
155,47,2.0,0
155,150,2.0,0
155,63,2.0,0
155,51,2.0,0
155,139,2.0,0
155,50,2.0,0
155,168,2.0,0
155,152,1.0,0
155,170,2.0,0
155,148,1.0,0
155,56,2.0,0
15,67,2.0,0
15,18,2.0,0
15,145,2.0,0
15,131,2.0,0
15,188,2.0,0
15,1,2.0,0
15,75,2.0,0
15,86,2.0,0
15,122,2.0,0
15,165,2.0,0
15,180,2.0,0
15,72,2.0,0
15,103,2.0,0
15,153,2.0,0
15,108,2.0,0
15,115,2.0,0
15,55,2.0,0
15,116,2.0,0
15,61,2.0,0
15,102,2.0,0
15,137,2.0,0
15,110,2.0,0
15,37,2.0,0
15,42,2.0,0
15,181,2.0,0
15,52,2.0,0
15,178,2.0,0
15,199,2.0,0
15,40,2.0,0
15,117,2.0,0
15,88,2.0,0
15,21,2.0,0
15,166,2.0,0
15,58,2.0,0
15,120,2.0,0
15,146,2.0,0
15,20,2.0,0
15,134,2.0,0
15,90,2.0,0
15,99,2.0,0
15,13,2.0,0
15,172,2.0,0
15,164,2.0,0
15,10,2.0,0
15,105,2.0,0
15,25,2.0,0
15,64,2.0,0
15,59,2.0,0
15,197,2.0,0
15,83,2.0,0
15,87,2.0,0
15,143,2.0,0
15,57,2.0,0
15,142,2.0,0
15,48,2.0,0
15,85,2.0,0
15,141,2.0,0
15,109,2.0,0
15,192,2.0,0
15,113,2.0,0
15,173,2.0,0
15,147,2.0,0
15,27,2.0,0
15,123,2.0,0
15,175,2.0,0
15,23,2.0,0
15,124,2.0,0
15,169,2.0,0
15,36,2.0,0
15,46,2.0,0
15,156,2.0,0
15,174,2.0,0
15,125,2.0,0
15,135,2.0,0
15,130,2.0,0
15,128,2.0,0
15,38,2.0,0
15,161,2.0,0
15,196,2.0,0
15,5,2.0,0
15,162,2.0,0
15,39,2.0,0
15,81,2.0,0
15,78,2.0,0
15,194,2.0,0
15,60,2.0,0
15,132,2.0,0
15,77,2.0,0
15,114,2.0,0
15,176,2.0,0
15,31,2.0,0
15,107,2.0,0
15,129,2.0,0
15,94,2.0,0
15,136,2.0,0
15,121,2.0,0
15,126,2.0,0
15,33,2.0,0
15,8,2.0,0
15,69,2.0,0
15,91,2.0,0
15,53,2.0,0
15,84,2.0,0
15,106,2.0,0
15,95,2.0,0
15,11,2.0,0
15,167,2.0,0
15,4,2.0,0
15,32,2.0,0
15,111,2.0,0
15,34,2.0,0
15,16,2.0,0
15,7,2.0,0
15,26,2.0,0
15,163,2.0,0
15,93,2.0,0
15,112,2.0,0
15,159,2.0,0
15,177,2.0,0
15,41,2.0,0
15,30,2.0,0
15,133,2.0,0
15,74,2.0,0
15,195,2.0,0
15,100,2.0,0
15,186,2.0,0
15,158,2.0,0
15,49,2.0,0
15,184,2.0,0
15,198,2.0,0
15,79,2.0,0
15,101,2.0,0
15,73,2.0,0
15,47,2.0,0
15,144,2.0,0
15,151,2.0,0
15,29,2.0,0
15,14,2.0,0
15,98,2.0,0
15,9,2.0,0
15,150,2.0,0
15,2,2.0,0
15,66,2.0,0
15,179,2.0,0
15,12,2.0,0
15,70,2.0,0
15,63,2.0,0
15,43,2.0,0
15,193,2.0,0
15,45,2.0,0
15,80,2.0,0
15,182,2.0,0
