household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnbbdq,2.0,0
dqcp176g,dqchf7jt,2.0,0
dqcp176g,dqcnfk5z,2.0,0
dqcp176g,dqcnc7bc,2.0,0
dqcp176g,dqcp1rzr,2.0,0
dqcp176g,dqcng4te,2.0,0
dqcp176g,dqcp1wk6,1.0,0
dqcp176g,dqcp1gmx,1.0,0
dqcp176g,dqcp1gtj,1.0,0
dqcnc7hq,dqcnbbdq,2.0,0
dqcnc7hq,dqcnbchm,1.0,0
dqcnc7hq,dqcnfpuz,2.0,0
dqcnc7hq,dqchf7jt,2.0,0
dqcnc7hq,dqcncu6f,1.0,0
dqcnc7hq,dqcnfk5z,2.0,0
dqcnc7hq,dqcnctbb,1.0,0
dqcnc7hq,dqcne6ct,2.0,0
dqcnc7hq,dqcncf4c,1.0,0
dqcnc7hq,dqcnc6tb,1.0,0
dqcnc7hq,dqcnc7bc,2.0,0
dqcnc7hq,dqcncdq7,2.0,0
dqcnc7hq,dqcnc78q,1.0,0
dqcnc7hq,dqcnc0y3,2.0,0
dqcnc7hq,dqcp1rzr,2.0,0
dqcnc7hq,dqcng4te,2.0,0
dqcnc7hq,dqcne1qu,2.0,0
dqcnc7hq,dqcn9r0y,2.0,0
dqcnc7hq,dqcncgsj,1.0,0
dqcnc7hq,dqcng0x3,2.0,0
dqcnc7hq,dqcnc9vh,2.0,0
dqcnc7hq,dqcnc3fk,1.0,0
dqcnc7hq,dqcnc6ht,1.0,0
dqcnc7hq,dqcnc8ft,2.0,0
dqcnc7hq,dqcnfpuy,2.0,0
dqcnc7hq,dqcncum1,1.0,0
dqcnc7hq,dqcncuc6,1.0,0
dqcnc7hq,dqcncu74,1.0,0
dqcnc7hq,dqcnf69x,2.0,0
dqcnc7hq,dqcnfnyk,2.0,0
dqcnc7hq,dqcnczy0,2.0,0
dqcnc7hq,dqcnft40,2.0,0
dqcnc7hq,dqcnc5rf,1.0,0
dqcnc7hq,dqcncsvg,2.0,0
dqcnc7hq,dqcncxc2,2.0,0
dqcnc7hq,dqcnc5r3,1.0,0
dqcnc7hq,dqcnf4v1,2.0,0
dqcnc7hq,dqcnc78x,1.0,0
dqcnc7hq,dqcnctq4,1.0,0
dqcnc7hq,dqcncucd,1.0,0
dqcnc7hq,dqcnc9je,2.0,0
dqcnc7hq,dqcnc4u8,2.0,0
dqcnc7hq,dqcngfnt,2.0,0
dqcnc7hq,dqcn9rqs,2.0,0
dqcnc7hq,dqcnct4r,1.0,0
dqcnc7hq,dqcncgpy,2.0,0
dqcnc7hq,dqcnc7y0,1.0,0
dqcnc7hq,dqcp1wg7,2.0,0
dqcnc7hq,dqcncc0x,2.0,0
dqcnc7hq,dqcng0g7,2.0,0
dqcnc7hq,dqcncc0t,2.0,0
dqcnc7hq,dqcnbchx,1.0,0
dqcnc7hq,dqcp1w9k,2.0,0
dqcnc7hq,dqcp1wft,2.0,0
dqcnc7hq,dqcnc6ex,1.0,0
dqcnc7hq,dqcnct6t,2.0,0
dqcnc7hq,dqcncf58,2.0,0
dqcnc7hq,dqcncu6h,1.0,0
dqcnc29k,dqcnbbdq,2.0,0
dqcnc29k,dqcnfpuz,2.0,0
dqcnc29k,dqchf7jt,2.0,0
dqcnc29k,dqcnfk5z,2.0,0
dqcnc29k,dqcng4te,2.0,0
dqcnc29k,dqcnc2sv,1.0,0
dqcnc29k,dqcnf69x,2.0,0
dqcnc29k,dqcnc5jg,1.0,0
dqcnc29k,dqcnc60q,1.0,0
dqcnc29k,dqcnc5hk,1.0,0
dqcnc29k,dqcnc9je,2.0,0
dqcnc29k,dqcnc7bd,1.0,0
dqcnc29k,dqcnbbzc,1.0,0
dqcnc29k,dqcncf58,2.0,0
dqcngqhc,dqcnbbdq,2.0,0
dqcngqhc,dqcnfpuz,2.0,0
dqcngqhc,dqchf7jt,2.0,0
dqcngqhc,dqcnfk5z,2.0,0
dqcngqhc,dqcne6ct,2.0,0
dqcngqhc,dqcngjkj,1.0,0
dqcngqhc,dqcnc7bc,2.0,0
dqcngqhc,dqcp1z6r,2.0,0
dqcngqhc,dqcncdq7,2.0,0
dqcngqhc,dqcp1rzr,2.0,0
dqcngqhc,dqcng4te,2.0,0
dqcngqhc,dqcne1qu,2.0,0
dqcngqhc,dqcp1wg8,2.0,0
dqcngqhc,dqcn9r0y,2.0,0
dqcngqhc,dqcnc9vh,2.0,0
dqcngqhc,dqcng0rh,2.0,0
dqcngqhc,dqcnc8ft,2.0,0
dqcngqhc,dqcngqwq,1.0,0
dqcngqhc,dqcnfpuy,2.0,0
dqcngqhc,dqcp1gsz,2.0,0
dqcngqhc,dqcnf69x,2.0,0
dqcngqhc,dqcnfnyk,2.0,0
dqcngqhc,dqcnczy0,2.0,0
dqcngqhc,dqcnft40,2.0,0
dqcngqhc,dqcnennp,2.0,0
dqcngqhc,dqcnf4v1,2.0,0
dqcngqhc,dqcnc9je,2.0,0
dqcngqhc,dqcngfnt,2.0,0
dqcngqhc,dqcncgpy,2.0,0
dqcngqhc,dqcncc0x,2.0,0
dqcngqhc,dqcng0g7,2.0,0
dqcngqhc,dqcncc0t,2.0,0
dqcngqhc,dqcp1w9k,2.0,0
dqcngqhc,dqcngjgx,1.0,0
dqcngqhc,dqcp1wft,2.0,0
dqcngqhc,dqcng74n,1.0,0
dqcngqhc,dqcncf58,2.0,0
dqcnbbdq,dqcncsjm,2.0,0
dqcnbbdq,dqcnbchm,2.0,0
dqcnbbdq,dqcng43b,2.0,0
dqcnbbdq,dqcnfpuz,2.0,0
dqcnbbdq,dqcp473c,2.0,0
dqcnbbdq,dqchf7jt,2.0,0
dqcnbbdq,dqcncu6f,2.0,0
