household_id,community,building_value,income,damage_level,population_scaled,age,race
dqcp176g,dqcp17,0.21596543664022685,0.21596543664022685,1.0,0.5714285714285714,0.2934426343804214,0.25
dqcnc7hq,dqcnc7,0.17858757711614362,0.17858757711614362,1.0,0.5714285714285714,0.8157733256525296,0.0
dqcnc29k,dqcnc2,0.3903149787331877,0.19515748936659386,0.5,0.5714285714285714,0.8232647718463902,0.25
dqcngqhc,dqcngq,0.1366114879104878,0.1366114879104878,1.0,1.0,0.7491599339893937,0.5
dqcnbbdq,dqcnbb,0.7313829175767329,0.7313829175767329,1.0,0.42857142857142855,0.9082795539020898,0.5
dqcncsjm,dqcncs,0.22674636931448058,0.11337318465724029,0.5,0.14285714285714285,0.8215001026576185,1.0
dqcnbchm,dqcnbc,0.32019197608920563,0.0960575928267617,0.25,0.5714285714285714,0.8191906064497523,0.0
dqcng43b,dqcng4,0.286414147219987,0.286414147219987,1.0,0.2857142857142857,0.44348328048673835,0.5
dqcnfpuz,dqcnfp,0.5227133386979347,0.5227133386979347,1.0,0.8571428571428571,0.42717270480720915,0.0
dqcp473c,dqcp47,0.38096907690539145,0.11429072307161743,0.25,0.7142857142857143,0.7950643114782602,0.0
dqchf7jt,dqchf7,1.0,1.0,1.0,0.14285714285714285,0.5288451182766117,0.25
dqcncu6f,dqcncu,0.20596811894087444,0.20596811894087444,1.0,0.14285714285714285,0.8652144963620836,0.0
dqcncvkb,dqcncv,0.38096907690539145,0.11429072307161743,0.25,0.7142857142857143,0.16724563897791722,0.25
dqcnfk5z,dqcnfk,0.5555983446373146,0.5555983446373146,1.0,0.7142857142857143,0.5341043065497282,0.0
dqcp1rx0,dqcp1r,0.25210752193738745,0.25210752193738745,1.0,0.7142857142857143,0.5401674461884367,1.0
dqcp1yv9,dqcp1y,0.3970973675135073,0.1191292102540522,0.25,1.0,0.8780051170079677,0.0
dqcnctbb,dqcnct,0.34713951795225506,0.17356975897612753,0.5,0.42857142857142855,0.917815350349562,0.0
dqcne6ct,dqcne6,0.358225083342913,0.358225083342913,1.0,0.7142857142857143,0.4153073090680934,0.25
dqcngjkj,dqcngj,0.38462275357320763,0.1153868260719623,0.25,0.14285714285714285,0.8590955175753822,0.5
dqcner94,dqcner,0.20713491972257347,0.20713491972257347,1.0,1.0,0.7823590976127553,0.0
dqcnf6cg,dqcnf6,0.17975246196880867,0.17975246196880867,1.0,0.42857142857142855,0.7780298873415343,0.0
dqcncf4c,dqcncf,0.5362991914779477,0.1608897574433843,0.25,0.7142857142857143,0.8856133120327878,0.0
dqcnf6cj,dqcnf6,0.4432731731616661,0.13298195194849985,0.25,0.8571428571428571,0.9066011168439201,0.0
dqcncfq5,dqcncf,0.3086925700272062,0.3086925700272062,1.0,0.8571428571428571,0.6607866593915843,0.5
dqcne4gy,dqcne4,0.14200865999923362,0.14200865999923362,1.0,0.42857142857142855,0.44626658014859377,0.5
dqcng06w,dqcng0,0.19773728781085947,0.0,0.0,0.8571428571428571,0.2987513980453965,0.0
dqcnf3uz,dqcnf3,0.44809173468214736,0.0,0.0,0.5714285714285714,1.0,0.0
dqcnc6tb,dqcnc6,0.14471586772425948,0.07235793386212974,0.5,0.2857142857142857,0.8528029079391767,0.0
dqcnc7bc,dqcnc7,0.4457447216155114,0.4457447216155114,1.0,0.5714285714285714,0.6895807061129287,0.25
dqcp1z6r,dqcp1z,0.28745449668544276,0.08623634900563283,0.25,0.5714285714285714,0.16426783716615212,0.0
dqcncdq7,dqcncd,0.13743725332413687,0.13743725332413687,1.0,0.2857142857142857,0.024667144393082048,0.0
dqcp1ys8,dqcp1y,0.7466203011840441,0.22398609035521325,0.25,0.8571428571428571,1.0,0.5
dqcp4kgx,dqcp4k,0.10930758324711652,0.05465379162355826,0.5,0.7142857142857143,0.7206736167016781,0.25
dqcnc78q,dqcnc7,0.15419013679733304,0.15419013679733304,1.0,0.14285714285714285,0.9670680628314547,0.0
dqcnf794,dqcnf7,0.08673793922673104,0.08673793922673104,1.0,1.0,0.8671105768327099,0.0
dqcncwc5,dqcncw,0.22596658619764723,0.0,0.0,0.14285714285714285,0.9563676936904427,0.5
dqcnc0y3,dqcnc0,0.3029026324864927,0.15145131624324634,0.5,0.8571428571428571,0.28310352741352296,1.0
dqcp1rzr,dqcp1r,0.6234413917308503,0.6234413917308503,1.0,0.8571428571428571,0.6779240386115657,0.25
dqcncf6c,dqcncf,0.16174272904931603,0.08087136452465801,0.5,0.5714285714285714,0.5981652776324164,0.0
dqcnfffs,dqcnff,0.5549890792045062,0.16649672376135188,0.25,0.8571428571428571,0.692228798698187,1.0
dqcng4te,dqcng4,0.34729662413304213,0.34729662413304213,1.0,0.14285714285714285,0.4364691732672527,1.0
dqcnc0gn,dqcnc0,0.10047898225849715,0.030143694677549144,0.25,0.5714285714285714,0.5965292199079336,0.5
