household_id_1,household_id_2,link_type,timestep
157,15,2.0,0
157,1,2.0,0
157,166,2.0,0
157,173,1.0,0
157,163,1.0,0
44,18,1.0,0
44,1,2.0,0
44,72,1.0,0
44,103,2.0,0
44,37,1.0,0
44,99,2.0,0
44,10,2.0,0
44,64,1.0,0
44,142,2.0,0
44,27,1.0,0
44,36,1.0,0
44,46,2.0,0
44,130,2.0,0
44,77,1.0,0
44,114,2.0,0
44,91,2.0,0
44,32,1.0,0
44,41,1.0,0
44,70,1.0,0
44,45,1.0,0
44,171,2.0,0
44,139,2.0,0
44,50,2.0,0
44,19,1.0,0
44,35,1.0,0
44,71,2.0,0
44,76,1.0,0
24,15,2.0,0
24,122,2.0,0
24,146,2.0,0
24,25,1.0,0
24,114,2.0,0
24,30,1.0,0
24,56,2.0,0
155,1,2.0,0
155,122,2.0,0
155,153,1.0,0
155,146,2.0,0
155,99,2.0,0
155,48,2.0,0
155,162,2.0,0
155,129,2.0,0
155,94,2.0,0
155,136,2.0,0
155,112,2.0,0
155,63,2.0,0
155,51,2.0,0
155,168,2.0,0
155,170,2.0,0
155,56,2.0,0
15,67,2.0,0
15,145,2.0,0
15,188,2.0,0
15,1,2.0,0
15,75,2.0,0
15,86,2.0,0
15,153,2.0,0
15,55,2.0,0
15,116,2.0,0
15,61,2.0,0
15,102,2.0,0
15,137,2.0,0
15,110,2.0,0
15,37,2.0,0
15,42,2.0,0
15,181,2.0,0
15,178,2.0,0
15,40,2.0,0
15,166,2.0,0
15,58,2.0,0
15,146,2.0,0
15,20,2.0,0
15,90,2.0,0
15,99,2.0,0
15,172,2.0,0
15,59,2.0,0
15,83,2.0,0
15,57,2.0,0
15,142,2.0,0
15,48,2.0,0
15,109,2.0,0
15,147,2.0,0
15,27,2.0,0
15,175,2.0,0
15,23,2.0,0
15,36,2.0,0
15,46,2.0,0
15,125,2.0,0
15,135,2.0,0
15,130,2.0,0
15,38,2.0,0
15,161,2.0,0
15,5,2.0,0
15,162,2.0,0
15,39,2.0,0
15,81,2.0,0
15,194,2.0,0
15,132,2.0,0
15,77,2.0,0
15,176,2.0,0
15,31,2.0,0
15,129,2.0,0
15,94,2.0,0
15,33,2.0,0
15,69,2.0,0
15,91,2.0,0
15,53,2.0,0
15,84,2.0,0
15,106,2.0,0
15,95,2.0,0
15,4,2.0,0
15,34,2.0,0
15,16,2.0,0
15,26,2.0,0
15,163,2.0,0
15,93,2.0,0
15,112,2.0,0
15,177,2.0,0
15,41,2.0,0
15,30,2.0,0
15,133,2.0,0
15,74,2.0,0
15,100,2.0,0
15,186,2.0,0
15,73,2.0,0
15,151,2.0,0
15,29,2.0,0
15,14,2.0,0
15,98,2.0,0
15,9,2.0,0
15,150,2.0,0
15,2,2.0,0
15,66,2.0,0
15,179,2.0,0
15,12,2.0,0
15,63,2.0,0
15,43,2.0,0
15,45,2.0,0
15,182,2.0,0
15,104,2.0,0
15,138,2.0,0
15,185,2.0,0
15,51,2.0,0
15,82,2.0,0
15,191,2.0,0
15,127,2.0,0
15,19,2.0,0
15,168,2.0,0
15,152,2.0,0
15,54,2.0,0
15,35,2.0,0
15,89,2.0,0
15,17,2.0,0
15,71,2.0,0
15,62,2.0,0
15,200,2.0,0
67,131,2.0,0
67,1,2.0,0
67,103,2.0,0
67,166,2.0,0
67,10,2.0,0
67,59,1.0,0
67,114,2.0,0
67,56,2.0,0
18,1,2.0,0
18,122,2.0,0
18,40,1.0,0
18,166,2.0,0
18,146,2.0,0
18,36,1.0,0
18,41,1.0,0
18,14,1.0,0
18,19,1.0,0
145,1,2.0,0
145,166,2.0,0
131,122,2.0,0
131,180,2.0,0
131,72,2.0,0
131,103,2.0,0
131,153,2.0,0
131,108,2.0,0
131,116,2.0,0
131,61,2.0,0
131,42,2.0,0
131,181,2.0,0
131,199,2.0,0
131,40,2.0,0
131,88,2.0,0
131,166,2.0,0
131,58,2.0,0
131,120,2.0,0
131,146,2.0,0
131,20,2.0,0
131,90,2.0,0
131,99,2.0,0
131,13,2.0,0
131,172,2.0,0
131,10,2.0,0
131,105,2.0,0
131,64,2.0,0
131,83,2.0,0
131,85,2.0,0
131,109,2.0,0
131,192,2.0,0
131,123,2.0,0
131,175,2.0,0
131,23,2.0,0
131,169,2.0,0
131,36,2.0,0
131,156,2.0,0
131,135,2.0,0
131,130,2.0,0
131,161,2.0,0
131,162,2.0,0
131,78,2.0,0
131,60,2.0,0
131,176,2.0,0
131,136,2.0,0
131,121,2.0,0
131,33,2.0,0
131,8,2.0,0
131,69,2.0,0
131,53,2.0,0
131,84,2.0,0
131,106,2.0,0
131,95,2.0,0
131,167,2.0,0
131,4,2.0,0
131,32,2.0,0
131,16,2.0,0
131,159,2.0,0
131,177,2.0,0
131,41,2.0,0
131,186,2.0,0
131,101,2.0,0
131,47,2.0,0
131,150,2.0,0
131,66,2.0,0
131,12,2.0,0
131,43,2.0,0
131,45,2.0,0
131,80,2.0,0
131,104,2.0,0
131,190,2.0,0
131,68,2.0,0
131,96,2.0,0
131,119,2.0,0
131,51,2.0,0
131,82,2.0,0
131,6,2.0,0
131,28,2.0,0
131,127,2.0,0
131,92,2.0,0
131,3,2.0,0
131,50,2.0,0
131,97,2.0,0
131,170,2.0,0
131,54,2.0,0
131,35,2.0,0
131,17,2.0,0
131,71,2.0,0
131,56,2.0,0
131,200,2.0,0
131,118,2.0,0
188,122,2.0,0
