household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnbbdq,2.0,0
dqcp176g,dqchf7jt,2.0,0
dqcp176g,dqcp1rzr,2.0,0
dqcp176g,dqcp1wk6,1.0,0
dqcp176g,dqcp1gtj,1.0,0
dqcnc7hq,dqcnbchm,1.0,0
dqcnc7hq,dqchf7jt,2.0,0
dqcnc7hq,dqcnctbb,1.0,0
dqcnc7hq,dqcne6ct,2.0,0
dqcnc7hq,dqcnc6tb,1.0,0
dqcnc7hq,dqcne1qu,2.0,0
dqcnc7hq,dqcn9r0y,2.0,0
dqcnc7hq,dqcncgsj,1.0,0
dqcnc7hq,dqcng0x3,2.0,0
dqcnc7hq,dqcnc3fk,1.0,0
dqcnc7hq,dqcnc6ht,1.0,0
dqcnc7hq,dqcnc8ft,2.0,0
dqcnc7hq,dqcnfpuy,2.0,0
dqcnc7hq,dqcncu74,1.0,0
dqcnc7hq,dqcnf69x,2.0,0
dqcnc7hq,dqcncxc2,2.0,0
dqcnc7hq,dqcnc5r3,1.0,0
dqcnc7hq,dqcnc78x,1.0,0
dqcnc7hq,dqcnct4r,1.0,0
dqcnc7hq,dqcnc7y0,1.0,0
dqcnc7hq,dqcp1wg7,2.0,0
dqcnc7hq,dqcng0g7,2.0,0
dqcnc7hq,dqcncc0t,2.0,0
dqcnc7hq,dqcnbchx,1.0,0
dqcnc7hq,dqcnc6ex,1.0,0
dqcnc7hq,dqcnct6t,2.0,0
dqcnc7hq,dqcncu6h,1.0,0
dqcnc29k,dqcnbbdq,2.0,0
dqcnc29k,dqcnfk5z,2.0,0
dqcnc29k,dqcng4te,2.0,0
dqcnc29k,dqcnc2sv,1.0,0
dqcnc29k,dqcnf69x,2.0,0
dqcnc29k,dqcnc5hk,1.0,0
dqcnc29k,dqcncf58,2.0,0
dqcngqhc,dqchf7jt,2.0,0
dqcngqhc,dqcnfk5z,2.0,0
dqcngqhc,dqcngjkj,1.0,0
dqcngqhc,dqcng4te,2.0,0
dqcngqhc,dqcne1qu,2.0,0
dqcngqhc,dqcnc9vh,2.0,0
dqcngqhc,dqcp1gsz,2.0,0
dqcngqhc,dqcnfnyk,2.0,0
dqcngqhc,dqcnczy0,2.0,0
dqcngqhc,dqcnft40,2.0,0
dqcngqhc,dqcnf4v1,2.0,0
dqcngqhc,dqcncgpy,2.0,0
dqcngqhc,dqcncc0x,2.0,0
dqcngqhc,dqcp1w9k,2.0,0
dqcngqhc,dqcp1wft,2.0,0
dqcngqhc,dqcncf58,2.0,0
dqcnbbdq,dqcncsjm,2.0,0
dqcnbbdq,dqcng43b,2.0,0
dqcnbbdq,dqcp473c,2.0,0
dqcnbbdq,dqchf7jt,2.0,0
dqcnbbdq,dqcncu6f,2.0,0
dqcnbbdq,dqcncvkb,2.0,0
dqcnbbdq,dqcngjkj,2.0,0
dqcnbbdq,dqcncf4c,2.0,0
dqcnbbdq,dqcnf6cj,2.0,0
dqcnbbdq,dqcncfq5,2.0,0
dqcnbbdq,dqcne4gy,2.0,0
dqcnbbdq,dqcng06w,2.0,0
dqcnbbdq,dqcnf3uz,2.0,0
dqcnbbdq,dqcnc6tb,2.0,0
dqcnbbdq,dqcnc7bc,2.0,0
dqcnbbdq,dqcp1z6r,2.0,0
dqcnbbdq,dqcp1ys8,2.0,0
dqcnbbdq,dqcnc78q,2.0,0
dqcnbbdq,dqcp1rzr,2.0,0
dqcnbbdq,dqcncf6c,2.0,0
dqcnbbdq,dqcng4te,2.0,0
dqcnbbdq,dqcnc0gn,2.0,0
dqcnbbdq,dqcncx6x,2.0,0
dqcnbbdq,dqcne1qu,2.0,0
dqcnbbdq,dqcp1wg8,2.0,0
dqcnbbdq,dqcncfjz,2.0,0
dqcnbbdq,dqcncv9e,2.0,0
dqcnbbdq,dqcncf69,2.0,0
dqcnbbdq,dqcng0x3,2.0,0
dqcnbbdq,dqcnc9vh,2.0,0
dqcnbbdq,dqcnf1g2,2.0,0
dqcnbbdq,dqcng5m8,2.0,0
dqcnbbdq,dqcnc3fk,2.0,0
dqcnbbdq,dqcp1yek,2.0,0
dqcnbbdq,dqcnc1m6,2.0,0
dqcnbbdq,dqcnc6ht,2.0,0
dqcnbbdq,dqcnc8ft,2.0,0
dqcnbbdq,dqcnfmdf,2.0,0
dqcnbbdq,dqcnfs2t,2.0,0
dqcnbbdq,dqcnfpuy,2.0,0
dqcnbbdq,dqcnc778,2.0,0
dqcnbbdq,dqcp1gmx,2.0,0
dqcnbbdq,dqcn7m99,2.0,0
dqcnbbdq,dqcp1gsz,2.0,0
dqcnbbdq,dqcnc77d,2.0,0
dqcnbbdq,dqcncum1,2.0,0
dqcnbbdq,dqcp4j1c,2.0,0
dqcnbbdq,dqcnfq3v,2.0,0
dqcnbbdq,dqcncu74,2.0,0
dqcnbbdq,dqcp1ym5,2.0,0
dqcnbbdq,dqcnc5jg,2.0,0
dqcnbbdq,dqcnfnyk,2.0,0
dqcnbbdq,dqcnczy0,2.0,0
dqcnbbdq,dqcnc5rf,2.0,0
dqcnbbdq,dqcncsvg,2.0,0
dqcnbbdq,dqcncxc2,2.0,0
dqcnbbdq,dqcncesv,2.0,0
dqcnbbdq,dqcncv9s,2.0,0
dqcnbbdq,dqcnennp,2.0,0
dqcnbbdq,dqcndk23,2.0,0
dqcnbbdq,dqcn7m93,2.0,0
dqcnbbdq,dqcnc60q,2.0,0
dqcnbbdq,dqcnbbe7,2.0,0
dqcnbbdq,dqcnc2w6,2.0,0
dqcnbbdq,dqcp1gtj,2.0,0
dqcnbbdq,dqcncxy1,2.0,0
dqcnbbdq,dqcnf4v1,2.0,0
dqcnbbdq,dqcp1ymn,2.0,0
